municipality,group,variable,month,Ingresos espontáneos,TOTAL
ACACIO,internaciones,ingresos espontaneos,2008-01-01,5,5
ACHACACHI,internaciones,ingresos espontaneos,2008-01-01,48,48
ACHOCALLA,internaciones,ingresos espontaneos,2008-01-01,5,5
AIQUILE,internaciones,ingresos espontaneos,2008-01-01,103,103
ALCALA,internaciones,ingresos espontaneos,2008-01-01,7,7
ANCORAIMES,internaciones,ingresos espontaneos,2008-01-01,2,2
ANTEQUERA,internaciones,ingresos espontaneos,2008-01-01,2,2
ANZALDO,internaciones,ingresos espontaneos,2008-01-01,4,4
APOLO,internaciones,ingresos espontaneos,2008-01-01,22,22
ARAMPAMPA,internaciones,ingresos espontaneos,2008-01-01,2,2
ARANI,internaciones,ingresos espontaneos,2008-01-01,5,5
ARQUE,internaciones,ingresos espontaneos,2008-01-01,4,4
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2008-01-01,180,180
ATOCHA,internaciones,ingresos espontaneos,2008-01-01,176,176
AYATA,internaciones,ingresos espontaneos,2008-01-01,1,1
AYO AYO,internaciones,ingresos espontaneos,2008-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2008-01-01,54,54
AZURDUY,internaciones,ingresos espontaneos,2008-01-01,14,14
BAURES,internaciones,ingresos espontaneos,2008-01-01,12,12
BERMEJO,internaciones,ingresos espontaneos,2008-01-01,239,239
BETANZOS,internaciones,ingresos espontaneos,2008-01-01,40,40
BOLIVAR,internaciones,ingresos espontaneos,2008-01-01,1,1
BOYUIBE,internaciones,ingresos espontaneos,2008-01-01,37,37
BUENA VISTA,internaciones,ingresos espontaneos,2008-01-01,26,26
CABEZAS,internaciones,ingresos espontaneos,2008-01-01,24,24
CAIROMA,internaciones,ingresos espontaneos,2008-01-01,3,3
"CAIZA ""D""",internaciones,ingresos espontaneos,2008-01-01,1,1
CAJUATA,internaciones,ingresos espontaneos,2008-01-01,8,8
CALAMARCA,internaciones,ingresos espontaneos,2008-01-01,2,2
CAMARGO,internaciones,ingresos espontaneos,2008-01-01,209,209
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos espontaneos,2008-01-01,8,8
CAMIRI,internaciones,ingresos espontaneos,2008-01-01,457,457
CAPINOTA,internaciones,ingresos espontaneos,2008-01-01,63,63
CAQUIAVIRI,internaciones,ingresos espontaneos,2008-01-01,1,1
CARACOLLO,internaciones,ingresos espontaneos,2008-01-01,32,32
CARANAVI,internaciones,ingresos espontaneos,2008-01-01,138,138
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2008-01-01,16,16
CHALLAPATA,internaciones,ingresos espontaneos,2008-01-01,72,72
CHARAGUA,internaciones,ingresos espontaneos,2008-01-01,113,113
CHARAÑA,internaciones,ingresos espontaneos,2008-01-01,4,4
CHIMORE,internaciones,ingresos espontaneos,2008-01-01,17,17
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos espontaneos,2008-01-01,146,146
CHUMA,internaciones,ingresos espontaneos,2008-01-01,2,2
CLIZA,internaciones,ingresos espontaneos,2008-01-01,35,35
COBIJA,internaciones,ingresos espontaneos,2008-01-01,351,351
COCHABAMBA,internaciones,ingresos espontaneos,2008-01-01,6788,6788
COLCAPIRHUA,internaciones,ingresos espontaneos,2008-01-01,117,117
"COLCHA ""K""",internaciones,ingresos espontaneos,2008-01-01,1,1
COLLANA,internaciones,ingresos espontaneos,2008-01-01,2,2
COLOMI,internaciones,ingresos espontaneos,2008-01-01,32,32
COLPA BELGICA,internaciones,ingresos espontaneos,2008-01-01,20,20
COLQUENCHA,internaciones,ingresos espontaneos,2008-01-01,8,8
COLQUIRI,internaciones,ingresos espontaneos,2008-01-01,19,19
COMARAPA,internaciones,ingresos espontaneos,2008-01-01,107,107
CONCEPCION,internaciones,ingresos espontaneos,2008-01-01,67,67
COPACABANA,internaciones,ingresos espontaneos,2008-01-01,25,25
CORIPATA,internaciones,ingresos espontaneos,2008-01-01,22,22
COROICO,internaciones,ingresos espontaneos,2008-01-01,63,63
COTAGAITA,internaciones,ingresos espontaneos,2008-01-01,25,25
COTOCA,internaciones,ingresos espontaneos,2008-01-01,140,140
CUATRO CAÑADAS,internaciones,ingresos espontaneos,2008-01-01,63,63
CUEVO,internaciones,ingresos espontaneos,2008-01-01,6,6
CULPINA,internaciones,ingresos espontaneos,2008-01-01,26,26
CURAHUARA DE CARANGAS,internaciones,ingresos espontaneos,2008-01-01,14,14
DESAGUADERO,internaciones,ingresos espontaneos,2008-01-01,9,9
EL ALTO,internaciones,ingresos espontaneos,2008-01-01,2856,2856
EL CHORO,internaciones,ingresos espontaneos,2008-01-01,1,1
EL PUENTE(STC),internaciones,ingresos espontaneos,2008-01-01,8,8
EL TORNO,internaciones,ingresos espontaneos,2008-01-01,159,159
EL VILLAR,internaciones,ingresos espontaneos,2008-01-01,7,7
ENTRE RIOS,internaciones,ingresos espontaneos,2008-01-01,27,27
ENTRE RIOS,internaciones,ingresos espontaneos,2008-01-01,23,23
EUCALIPTUS,internaciones,ingresos espontaneos,2008-01-01,4,4
FERNANDEZ ALONSO,internaciones,ingresos espontaneos,2008-01-01,41,41
GENERAL SAAVEDRA,internaciones,ingresos espontaneos,2008-01-01,17,17
GRAL. J.J. PEREZ (CHARAZANI),internaciones,ingresos espontaneos,2008-01-01,1,1
GUANAY,internaciones,ingresos espontaneos,2008-01-01,30,30
GUAQUI,internaciones,ingresos espontaneos,2008-01-01,2,2
GUAYARAMERIN,internaciones,ingresos espontaneos,2008-01-01,499,499
GUTIERREZ,internaciones,ingresos espontaneos,2008-01-01,35,35
HUACARETA,internaciones,ingresos espontaneos,2008-01-01,16,16
HUACAYA (VILLA DE HUACAYA),internaciones,ingresos espontaneos,2008-01-01,2,2
HUACHACALLA,internaciones,ingresos espontaneos,2008-01-01,11,11
HUANUNI,internaciones,ingresos espontaneos,2008-01-01,64,64
HUARACAJE,internaciones,ingresos espontaneos,2008-01-01,11,11
ICLA,internaciones,ingresos espontaneos,2008-01-01,1,1
INCAHUASI,internaciones,ingresos espontaneos,2008-01-01,14,14
INQUISIVI,internaciones,ingresos espontaneos,2008-01-01,5,5
IRUPANA (VILLA DE LANZA),internaciones,ingresos espontaneos,2008-01-01,25,25
IXIAMAS,internaciones,ingresos espontaneos,2008-01-01,26,26
JESUS DE MACHACA,internaciones,ingresos espontaneos,2008-01-01,6,6
LA ASUNTA,internaciones,ingresos espontaneos,2008-01-01,47,47
LA GUARDIA,internaciones,ingresos espontaneos,2008-01-01,211,211
LA PAZ,internaciones,ingresos espontaneos,2008-01-01,5940,5940
LAGUNILLAS,internaciones,ingresos espontaneos,2008-01-01,11,11
LAJA,internaciones,ingresos espontaneos,2008-01-01,5,5
LICOMA PAMPA,internaciones,ingresos espontaneos,2008-01-01,2,2
LLALLAGUA,internaciones,ingresos espontaneos,2008-01-01,200,200
LLICA,internaciones,ingresos espontaneos,2008-01-01,5,5
LURIBAY,internaciones,ingresos espontaneos,2008-01-01,11,11
MACHACAMARCA,internaciones,ingresos espontaneos,2008-01-01,5,5
MACHARETI,internaciones,ingresos espontaneos,2008-01-01,14,14
MAGDALENA,internaciones,ingresos espontaneos,2008-01-01,54,54
MAIRANA,internaciones,ingresos espontaneos,2008-01-01,49,49
MAPIRI,internaciones,ingresos espontaneos,2008-01-01,28,28
MECAPACA,internaciones,ingresos espontaneos,2008-01-01,1,1
MINEROS,internaciones,ingresos espontaneos,2008-01-01,8,8
MIZQUE,internaciones,ingresos espontaneos,2008-01-01,55,55
MOCOMOCO,internaciones,ingresos espontaneos,2008-01-01,3,3
