municipality,group,variable,month,Total 8.3 Niños (as) de 6 meses a menores de 2 años con dosis completa de hierro,TOTAL
ACACIO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,20,20
ACHACACHI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,103,103
ACHOCALLA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,41,41
AIQUILE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,105,105
ALALAY,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,8,8
ALCALA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,22,22
ALTO BENI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,51,51
ANCORAIMES,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,58,58
ANDAMARCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,9,9
ANTEQUERA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,8,8
ANZALDO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,11,11
APOLO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,75,75
ARAMPAMPA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,8,8
ARANI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,25,25
ARBIETO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,55,55
ARQUE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,29,29
ASCENCION DE GUARAYOS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,66,66
ATOCHA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,40,40
AUCAPATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,6,6
AYATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,15,15
AYO AYO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,36,36
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,85,85
AZURDUY,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,29,29
BATALLAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,66,66
BAURES,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,13,13
BELEN DE ANDAMARCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,1,1
BELEN DE URMIRI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,10,10
BELLA FLOR,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,10,10
BERMEJO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,166,166
BETANZOS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,38,38
