municipality,group,variable,month,Total 8.5 Mujeres puérperas con dosis única de vitamina A,TOTAL
CHUMA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,8,8
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,10,10
CKOCHAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,32,32
CLIZA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,1,1
COBIJA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,159,159
COCAPATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,20,20
COCHABAMBA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,913,913
COIPASA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,2,2
COLCAPIRHUA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,40,40
"COLCHA ""K""",micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,13,13
COLLANA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,2,2
COLOMI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,22,22
COLPA BELGICA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,10,10
COLQUECHACA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,67,67
COLQUENCHA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,10,10
COLQUIRI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,19,19
COMANCHE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,4,4
COMARAPA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,27,27
COMBAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,3,3
CONCEPCION,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,31,31
COPACABANA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,15,15
CORIPATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,12,12
CORO CORO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,11,11
COROICO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,31,31
CORQUE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,8,8
COTAGAITA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,24,24
COTOCA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,101,101
CUATRO CAÑADAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,26,26
CUEVO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,3,3
CULPINA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,28,28
CURAHUARA DE CARANGAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,4,4
CURVA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,5,5
DESAGUADERO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,6,6
EL ALTO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,1348,1348
EL CHORO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,3,3
EL PUENTE(STC),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,8,8
EL PUENTE(TJA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,13,13
EL TORNO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,89,89
EL VILLAR,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,3,3
ENTRE RIOS TRJ,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,28,28
ENTRE RIOS CBBA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,23,23
ESCOMA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,8,8
EUCALIPTUS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,2,2
EUREKA (SANTOS MERCADO),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,3,3
EXALTACION,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,2,2
FERNANDEZ ALONSO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,18,18
FILADELFIA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,7,7
GENERAL SAAVEDRA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,17,17
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,7,7
GUANAY,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,34,34
GUAQUI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,9,9
GUAYARAMERIN,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,66,66
GUTIERREZ,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,19,19
HUACARETA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,8,8
HUACAYA (VILLA DE HUACAYA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,9,9
HUANUNI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,29,29
HUARACAJE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,3,3
HUATAJATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,3,3
HUAYLLAMARCA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,3,3
HUMANATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,4,4
ICHOCA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,6,6
ICLA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,11,11
INCAHUASI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,14,14
INGAVI (HUMAITA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,1,1
INQUISIVI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,6,6
IRUPANA (VILLA DE LANZA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,10,10
IXIAMAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,12,12
JESUS DE MACHACA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,13,13
LA ASUNTA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,66,66
LA GUARDIA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,83,83
LA PAZ,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,1460,1460
LAGUNILLAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,8,8
LAJA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,17,17
LAS CARRERAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,3,3
LICOMA PAMPA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,5,5
LLALLAGUA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,64,64
LLICA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,4,4
LORETO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,6,6
LURIBAY,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,3,3
MACHACAMARCA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,3,3
MACHARETI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,8,8
MAGDALENA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,24,24
MAIRANA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,35,35
MALLA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,1,1
MAPIRI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,16,16
MECAPACA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,8,8
MINEROS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,27,27
MIZQUE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,46,46
MOCOMOCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,19,19
MOJOCOYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,12,12
MONTEAGUDO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,45,45
MONTERO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,305,305
MORO MORO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,3,3
MOROCHATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,17,17
NAZACARA DE PACAJES,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,1,1
OCURI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,25,25
OKINAWA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,15,15
OMEREQUE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,8,8
ORURO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,443,443
PADCAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,15,15
PADILLA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,25,25
PAILON,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,37,37
PALCA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,18,18
PALOS BLANCOS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,51,51
PAMPA AULLAGAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,7,7
PAMPA GRANDE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,7,7
PAPEL PAMPA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,2,2
PASORAPA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,3,3
PATACAMAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,25,25
PAZÑA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,9,9
PELECHUCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,4,4
POCOATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,36,36
POCONA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,14,14
POJO (CBBA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,8,8
POOPO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,5,5
PORCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,10,10
POROMA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,23,23
PORONGO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,9,9
PORTACHUELO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,49,49
PORVENIR,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,4,4
POTOSI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,344,344
PRESTO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,10,10
PUCARA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,2,2
PUCARANI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,34,34
PUERTO ACOSTA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,10,10
PUERTO CARABUCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,10,10
PUERTO GONZALO MORENO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,10,10
PUERTO PEREZ,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,6,6
PUERTO QUIJARRO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,12,12
PUERTO RICO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,10,10
PUERTO SUAREZ,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,39,39
PUERTO VILLARROEL,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,143,143
PUNA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,19,19
QUIABAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,2,2
QUILLACOLLO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,164,164
QUIME,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,6,6
RAVELO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,11,11
REYES,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,14,14
RIBERALTA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,251,251
ROBORE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,25,25
RURRENABAQUE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,45,45
SABAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,5,5
SACABA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,182,182
SACABAMBA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,6,6
SACACA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,38,38
SAIPINA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,4,4
SALINAS DE GARCI MENDOZA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,20,20
SAMAIPATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,15,15
SAN ANDRES,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,3,3
SAN ANDRES DE MACHACA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,2,2
SAN ANTONIO DE ESMORUCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,1,1
SAN ANTONIO DE LOMERIO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,8,8
SAN BENITO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,8,8
SAN BORJA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,78,78
SAN BUENA VENTURA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,17,17
SAN CARLOS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,28,28
SAN IGNACIO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,43,43
SAN IGNACIO DE VELASCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,120,120
SAN JAVIER(BNI),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,3,3
SAN JAVIER(STC),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,31,31
SAN JOAQUIN,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,3,3
SAN JOSE DE CHIQUITOS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,43,43
SAN JUAN DE YAPACANI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,8,8
SAN JULIAN,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,75,75
SAN LORENZO(PND),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,5,5
SAN LORENZO(TJA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,14,14
SAN LUCAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,66,66
SAN MATIAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,21,21
SAN MIGUEL DE VELASCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,13,13
SAN PABLO DE LIPEZ,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,1,1
SAN PEDRO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,17,17
SAN PEDRO DE BUENA VISTA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,34,34
SAN PEDRO DE CURAHUARA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,7,7
SAN PEDRO DE QUEMES,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,1,1
SAN PEDRO DE TIQUINA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,5,5
SAN PEDRO(PND),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,2,2
SAN RAFAEL,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,7,7
SAN RAMON BENI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,7,7
SAN RAMON SCZ,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,19,19
SANTA ANA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,38,38
SANTA CRUZ DE LA SIERRA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,955,955
SANTA ROSA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,21,21
SANTA ROSA DEL SARA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,17,17
SANTIAGO DE CALLAPA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,2,2
SANTIAGO DE HUARI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,6,6
SANTIAGO DE HUATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,5,5
SANTIAGO DE MACHACA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,2,2
SANTIVAÑES,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,3,3
SANTUARIO DE QUILLACAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,4,4
SAPAHAQUI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,5,5
SENA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,17,17
SHINAOTA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,25,25
SICA SICA (VILLA AROMA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,20,20
SICAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,3,3
SIPE SIPE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,42,42
SOPACHUY,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,7,7
SORACACHI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,7,7
SORATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,13,13
SUCRE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,222,222
TACACHI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,1,1
TACACOMA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,5,5
TACOBAMBA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,14,14
TACOPAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,14,14
TAHUA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,2,2
TAPACARI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,36,36
TARABUCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,23,23
TARACO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,4,4
TARATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,15,15
TARIJA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,310,310
TARVITA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,22,22
TEOPONTE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,19,19
TIAWANACU,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,18,18
TINGUIPAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,30,30
TIPUANI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,13,13
TIQUIPAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,91,91
TIRAQUE (CBBA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,27,27
TITO YUPANQUI (PARQUIPUJIO),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,1,1
TOCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,4,4
TOLATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,9,9
TOMAVE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,15,15
TOMINA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,10,10
TORO TORO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,15,15
TOTORA(CBBA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,28,28
TOTORA(ORR),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,6,6
TRIGAL,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,2,2
TRINIDAD,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,343,343
TUPIZA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-01-01,114,114
