municipality,group,variable,month,Total 8.1 Mujeres embarazadas con dosis completa de hierro,TOTAL
ACACIO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,3,3
ACHACACHI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,63,63
ACHOCALLA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,31,31
AIQUILE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,45,45
ALALAY,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,3,3
ALCALA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,6,6
ALTO BENI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,15,15
ANCORAIMES,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,34,34
ANDAMARCA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,8,8
ANTEQUERA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,4,4
ANZALDO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,1,1
APOLO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,38,38
ARAMPAMPA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,6,6
ARANI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,26,26
ARBIETO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,30,30
ARQUE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,16,16
ASCENCION DE GUARAYOS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,19,19
ATOCHA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,27,27
AUCAPATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,12,12
AYATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,10,10
AYO AYO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,38,38
AZURDUY,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,19,19
BATALLAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,29,29
BAURES,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,11,11
BELEN DE ANDAMARCA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,3,3
BELEN DE URMIRI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,3,3
BELLA FLOR,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,2,2
BERMEJO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,61,61
BETANZOS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,58,58
BOLIVAR,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,5,5
BOLPEBRA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,4,4
BOYUIBE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,11,11
BUENA VISTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,26,26
CABEZAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,56,56
CAIROMA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,22,22
"CAIZA ""D""",micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,22,22
CAJUATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,25,25
CALACOTO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,5,5
CALAMARCA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,34,34
CAMARGO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,42,42
CAMATAQUI (C. VILLA ABECIA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,1,1
CAMIRI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,104,104
CAPINOTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,66,66
CAQUIAVIRI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,17,17
CARACOLLO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,39,39
CARANAVI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,134,134
CARAPARI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,30,30
CARIPUYO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,16,16
CARMEN RIVERO TORREZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,15,15
CATACORA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,4,4
CHACARILLA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,1,1
CHALLAPATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,47,47
CHAQUI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,11,11
CHARAGUA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,100,100
