municipality,group,variable,month,Total 8.9 Niños (as) de 6 m. a menores de años que reciben alimento complementario (Nutribebé),TOTAL
SANTIVAÑES,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,81,81
SANTUARIO DE QUILLACAS,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,98,98
SAPAHAQUI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,134,134
SENA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,106,106
SHINAOTA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,188,188
SICA SICA (VILLA AROMA),micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,243,243
SICAYA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,94,94
SIPE SIPE,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,314,314
SOPACHUY,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,150,150
SORACACHI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,272,272
SORATA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,1,1
SUCRE,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,4634,4634
TACACHI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,17,17
TACACOMA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,78,78
TACOBAMBA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,249,249
TACOPAYA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,171,171
TAHUA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,19,19
TAPACARI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,666,666
TARABUCO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,298,298
TARACO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,62,62
TARATA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,176,176
TARIJA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,2495,2495
TARVITA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,307,307
TEOPONTE,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,99,99
TIAWANACU,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,204,204
TINGUIPAYA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,676,676
TIPUANI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,94,94
TIQUIPAYA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,313,313
TIRAQUE (CBBA),micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,303,303
TITO YUPANQUI (PARQUIPUJIO),micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,6,6
TOCO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,73,73
TODOS SANTOS,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,6,6
TOLATA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,81,81
TOLEDO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,85,85
TOMAVE,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,286,286
TOMINA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,212,212
TORO TORO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,275,275
TOTORA(CBBA),micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,69,69
TOTORA(ORR),micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,60,60
TRIGAL,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,30,30
TRINIDAD,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,1080,1080
TURCO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,75,75
UMALA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,107,107
UNCIA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,496,496
URIONDO (A. CONCEPCION),micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,310,310
UYUNI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,428,428
VACAS,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,202,202
VALLEGRANDE,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,41,41
VIACHA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,259,259
VILA VILA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,113,113
VILLA CHARCAS,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,309,309
VILLA MONTES,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,50,50
VILLA NUEVA (LOMA ALTA),micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,16,16
VILLA RIVERO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,170,170
VILLA SERRANO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,185,185
VILLA TUNARI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,1127,1127
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,221,221
VILLAZON,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,820,820
VINTO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,86,86
VITICHI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,217,217
WALDO BALLIVIAN,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,42,42
WARNES,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,1194,1194
YACO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,149,149
YACUIBA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,1326,1326
YAMPARAEZ,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,143,143
YAPACANI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,5,5
YOCALLA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,197,197
YOTALA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,158,158
ZUDAÑEZ,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-04-01,152,152
ACACIO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,148,148
ACHACACHI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,265,265
ACHOCALLA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,276,276
AIQUILE,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,544,544
ALALAY,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,87,87
ALCALA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,82,82
ANCORAIMES,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,63,63
ANDAMARCA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,64,64
ANTEQUERA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,12,12
ANZALDO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,59,59
ARAMPAMPA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,66,66
ARANI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,193,193
ARBIETO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,256,256
ARQUE,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,343,343
ASCENCION DE GUARAYOS,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,431,431
ATOCHA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,22,22
AYATA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,1,1
AYO AYO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,204,204
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,650,650
AZURDUY,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,275,275
BATALLAS,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,359,359
BAURES,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,25,25
BELEN DE ANDAMARCA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,32,32
BELEN DE URMIRI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,40,40
BELLA FLOR,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,78,78
BERMEJO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,130,130
BETANZOS,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,556,556
BOLIVAR,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,189,189
BOLPEBRA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,37,37
BOYUIBE,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,73,73
BUENA VISTA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,236,236
"CAIZA ""D""",micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,122,122
CALACOTO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,90,90
CALAMARCA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,84,84
CAMARGO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,367,367
CAMATAQUI (C. VILLA ABECIA),micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,64,64
CAMIRI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,34,34
CAPINOTA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,382,382
CAQUIAVIRI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,63,63
CARACOLLO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,436,436
CARAPARI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,80,80
CARIPUYO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,200,200
CATACORA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,13,13
CHALLAPATA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,789,789
CHAQUI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,217,217
CHARAGUA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,68,68
CHARAÑA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,31,31
CHAYANTA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,348,348
CHIMORE,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,190,190
CHIPAYA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,36,36
CHOQUE COTA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,19,19
CHUMA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,167,167
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,218,218
CKOCHAS,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,430,430
CLIZA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,280,280
COBIJA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,1113,1113
COCAPATA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,440,440
COCHABAMBA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,4003,4003
COIPASA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,18,18
COLCAPIRHUA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,503,503
"COLCHA ""K""",micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,316,316
COLLANA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,39,39
COLOMI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,624,624
COLPA BELGICA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,2,2
COLQUECHACA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,1037,1037
COLQUENCHA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,190,190
COLQUIRI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,185,185
COMANCHE,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,62,62
COMARAPA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,314,314
COPACABANA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,24,24
CORIPATA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,5,5
CORO CORO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,135,135
COROICO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,3,3
CORQUE,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,114,114
COTAGAITA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,443,443
CRUZ DE MACHACAMARCA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,4,4
CUATRO CAÑADAS,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,250,250
CUCHUMUELA (V. G. VILLARROEL),micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,21,21
CUEVO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,8,8
CULPINA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,508,508
CURAHUARA DE CARANGAS,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,105,105
CURVA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,53,53
EL ALTO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,280,280
EL CHORO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,128,128
EL PUENTE(STC),micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,252,252
EL PUENTE(TJA),micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,268,268
EL TORNO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,13,13
EL VILLAR,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,90,90
ENTRE RIOS CBBA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,46,46
ESCARA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,12,12
ESCOMA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,60,60
ESMERALDA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,9,9
EUCALIPTUS,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,104,104
EUREKA (SANTOS MERCADO),micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,7,7
EXALTACION,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,54,54
FERNANDEZ ALONSO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,74,74
FILADELFIA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,184,184
GENERAL SAAVEDRA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,75,75
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,200,200
GUANAY,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,6,6
GUAQUI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,58,58
GUAYARAMERIN,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,1296,1296
GUTIERREZ,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,305,305
HUACARETA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,215,215
HUACAYA (VILLA DE HUACAYA),micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,78,78
HUACHACALLA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,18,18
HUANUNI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,87,87
HUARINA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,65,65
HUATAJATA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,44,44
HUAYLLAMARCA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,61,61
HUMANATA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,48,48
ICHOCA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,82,82
ICLA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,201,201
INCAHUASI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,351,351
INGAVI (HUMAITA),micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,57,57
INQUISIVI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,205,205
LA ASUNTA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,348,348
LA GUARDIA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,982,982
LA PAZ,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,5970,5970
LA RIVERA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,3,3
LAGUNILLAS,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,105,105
LAJA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,311,311
LAS CARRERAS,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,64,64
LICOMA PAMPA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,34,34
LLALLAGUA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,989,989
LLICA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,98,98
LORETO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,28,28
LURIBAY,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,121,121
MACHACAMARCA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,89,89
MACHARETI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,161,161
MAGDALENA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,200,200
MAIRANA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,12,12
MALLA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,52,52
MINEROS,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,10,10
MIZQUE,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,30,30
MOCOMOCO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,18,18
MOJINETE,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,4,4
MOJOCOYA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,162,162
MONTEAGUDO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,608,608
MONTERO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,1344,1344
MORO MORO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,62,62
MOROCHATA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,261,261
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,18,18
NAZACARA DE PACAJES,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,9,9
OCURI,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,467,467
OKINAWA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,139,139
OMEREQUE,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,121,121
ORURO,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,4338,4338
PADCAYA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,403,403
PADILLA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,189,189
PAILON,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,219,219
PALCA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,282,282
PAMPA AULLAGAS,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,88,88
PAMPA GRANDE,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,59,59
PASORAPA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,70,70
PAZÑA,micronutrientes, ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2014-05-01,37,37
