municipality,group,variable,month,Total 8.2 Mujeres puérperas con dosis completa de hierro,TOTAL
MAGDALENA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,26,26
MAIRANA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,23,23
MALLA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,6,6
MAPIRI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,23,23
MECAPACA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,9,9
MINEROS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,21,21
MIZQUE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,52,52
MOCOMOCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,15,15
MOJOCOYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,9,9
MONTEAGUDO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,53,53
MONTERO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,100,100
MORO MORO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,3,3
MOROCHATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,18,18
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,3,3
NAZACARA DE PACAJES,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,1,1
OCURI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,28,28
OKINAWA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,13,13
OMEREQUE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,6,6
ORURO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,389,389
PADCAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,20,20
PADILLA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,21,21
PAILON,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,50,50
PALCA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,10,10
PALOS BLANCOS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,47,47
PAMPA AULLAGAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,3,3
PAMPA GRANDE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,8,8
PAPEL PAMPA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,5,5
PASORAPA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,3,3
PATACAMAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,28,28
PAZÑA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,2,2
PELECHUCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,9,9
POCOATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,27,27
POCONA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,14,14
POJO (CBBA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,16,16
POOPO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,3,3
PORCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,6,6
POROMA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,16,16
PORONGO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,5,5
PORTACHUELO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,43,43
PORVENIR,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,2,2
POSTRER VALLE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,3,3
POTOSI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,363,363
PRESTO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,23,23
PUCARA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,1,1
PUCARANI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,40,40
PUERTO ACOSTA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,10,10
PUERTO CARABUCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,17,17
PUERTO GONZALO MORENO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,10,10
PUERTO PEREZ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,7,7
PUERTO QUIJARRO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,18,18
PUERTO RICO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,17,17
PUERTO SUAREZ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,32,32
PUERTO VILLARROEL,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,129,129
PUNA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,22,22
PUNATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,85,85
QUIABAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,3,3
QUILLACOLLO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,196,196
QUIME,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,15,15
QUIRUSILLAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,1,1
RAVELO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,28,28
REYES,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,26,26
RIBERALTA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,251,251
ROBORE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,31,31
RURRENABAQUE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,46,46
SABAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,4,4
SACABA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,202,202
SACABAMBA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,5,5
SACACA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,26,26
SAIPINA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,4,4
SALINAS DE GARCI MENDOZA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,11,11
SAMAIPATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,4,4
SAN AGUSTIN,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,4,4
SAN ANDRES,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,10,10
SAN ANDRES DE MACHACA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,3,3
SAN ANTONIO DE ESMORUCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,3,3
SAN ANTONIO DE LOMERIO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,17,17
SAN BENITO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,10,10
SAN BORJA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,122,122
SAN BUENA VENTURA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,27,27
SAN CARLOS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,35,35
SAN IGNACIO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,48,48
SAN IGNACIO DE VELASCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,160,160
SAN JAVIER(BNI),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,4,4
SAN JAVIER(STC),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,39,39
SAN JOAQUIN,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,3,3
SAN JOSE DE CHIQUITOS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,37,37
SAN JUAN DE YAPACANI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,6,6
SAN JULIAN,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,95,95
SAN LORENZO(PND),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,5,5
SAN LORENZO(TJA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,9,9
SAN LUCAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,42,42
SAN MATIAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,37,37
SAN MIGUEL DE VELASCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,18,18
SAN PABLO DE LIPEZ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,2,2
SAN PEDRO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,19,19
SAN PEDRO DE BUENA VISTA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,53,53
SAN PEDRO DE CURAHUARA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,5,5
SAN PEDRO DE TIQUINA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,5,5
SAN RAFAEL,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,11,11
SAN RAMON BENI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,9,9
SAN RAMON SCZ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,19,19
SANTA ANA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,18,18
SANTA CRUZ DE LA SIERRA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,1376,1376
SANTA ROSA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,23,23
SANTA ROSA DEL SARA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,11,11
SANTIAGO DE CALLAPA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,3,3
SANTIAGO DE HUARI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,5,5
SANTIAGO DE HUATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,4,4
SANTIAGO DE MACHACA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,4,4
SANTIVAÑES,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,12,12
SANTUARIO DE QUILLACAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,5,5
SAPAHAQUI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,6,6
SENA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,7,7
SHINAOTA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,43,43
SICA SICA (VILLA AROMA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,24,24
SICAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,2,2
SIPE SIPE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,55,55
SOPACHUY,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,8,8
SORACACHI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,13,13
SORATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,14,14
SUCRE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,349,349
TACACOMA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,5,5
TACOBAMBA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,10,10
TACOPAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,12,12
TAHUA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,1,1
TAPACARI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,26,26
TARABUCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,15,15
TARACO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,1,1
TARATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,7,7
TARIJA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,212,212
TARVITA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,26,26
TEOPONTE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,19,19
TIAWANACU,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,22,22
TINGUIPAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,39,39
TIPUANI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,16,16
TIQUIPAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,101,101
TIRAQUE (CBBA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,19,19
TITO YUPANQUI (PARQUIPUJIO),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,5,5
TOCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,6,6
TOLATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,5,5
TOLEDO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,7,7
TOMAVE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,14,14
TOMINA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,14,14
TORO TORO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,23,23
TOTORA(CBBA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,17,17
TOTORA(ORR),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,7,7
TRIGAL,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,2,2
TRINIDAD,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,77,77
TUPIZA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,50,50
TURCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,2,2
UMALA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,5,5
UNCIA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,26,26
URIONDO (A. CONCEPCION),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,6,6
URUBICHA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,2,2
UYUNI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,52,52
VACAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,6,6
VALLEGRANDE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,33,33
VIACHA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,65,65
VILA VILA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,4,4
VILLA CHARCAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,16,16
VILLA MONTES,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,9,9
VILLA NUEVA (LOMA ALTA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,2,2
VILLA RIVERO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,4,4
VILLA SERRANO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,9,9
VILLA TUNARI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,181,181
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,11,11
VILLAZON,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,56,56
VINTO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,73,73
VITICHI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,7,7
WALDO BALLIVIAN,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,4,4
WARNES,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,83,83
YACO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,9,9
YACUIBA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,115,115
YAMPARAEZ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,12,12
YANACACHI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,2,2
YAPACANI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,93,93
YOCALLA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,7,7
YOTALA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,6,6
YUNCHARA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,9,9
ZUDAÑEZ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-03-01,4,4
ACACIO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,8,8
ACHACACHI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,43,43
AIQUILE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,32,32
ALALAY,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,2,2
ALCALA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,4,4
ALTO BENI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,11,11
ANCORAIMES,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,23,23
ANDAMARCA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,4,4
ANTEQUERA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,4,4
ANZALDO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,5,5
APOLO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,26,26
ARAMPAMPA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,8,8
ARANI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,7,7
ARBIETO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,18,18
ARQUE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,10,10
ASCENCION DE GUARAYOS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,84,84
ATOCHA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,10,10
AUCAPATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,8,8
AYATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,11,11
AYO AYO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,31,31
AZURDUY,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,9,9
BATALLAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,21,21
BAURES,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,8,8
BELEN DE ANDAMARCA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,2,2
BELEN DE URMIRI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,2,2
BERMEJO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,5,5
BETANZOS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,38,38
BOLIVAR,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,10,10
BOYUIBE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,4,4
BUENA VISTA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,33,33
CABEZAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,49,49
CAIROMA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,11,11
"CAIZA ""D""",micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,5,5
CAJUATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,11,11
CALACOTO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,2,2
CALAMARCA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,20,20
CAMARGO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,42,42
CAMATAQUI (C. VILLA ABECIA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,4,4
CAMIRI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,68,68
CAPINOTA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,17,17
CAQUIAVIRI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,17,17
CARACOLLO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,26,26
CARANAVI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,110,110
CARANGAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,1,1
CARAPARI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,11,11
CARIPUYO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,7,7
CARMEN RIVERO TORREZ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,12,12
CHACARILLA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,4,4
CHALLAPATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,65,65
CHAQUI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,6,6
CHARAGUA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,70,70
CHARAÑA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,3,3
CHAYANTA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,23,23
CHIMORE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,12,12
CHIPAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,2,2
CHUA COCANI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,5,5
CHULUMANI (V. DE LA LIBERTAD),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,37,37
CHUMA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,9,9
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,9,9
CKOCHAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,21,21
CLIZA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,24,24
COBIJA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,155,155
COCAPATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,22,22
COCHABAMBA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,302,302
COLCAPIRHUA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,41,41
"COLCHA ""K""",micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,16,16
COLLANA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,1,1
COLOMI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,35,35
COLPA BELGICA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,9,9
COLQUECHACA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,50,50
COLQUENCHA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,9,9
COLQUIRI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,19,19
COMANCHE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,4,4
COMARAPA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,23,23
COMBAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,4,4
CONCEPCION,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,30,30
COPACABANA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,20,20
CORIPATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,13,13
CORO CORO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,10,10
COROICO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,25,25
CORQUE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,11,11
COTAGAITA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,25,25
COTOCA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,132,132
CUATRO CAÑADAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,27,27
CUCHUMUELA (V. G. VILLARROEL),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,2,2
CUEVO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,2,2
CULPINA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,23,23
CURAHUARA DE CARANGAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,5,5
CURVA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,3,3
DESAGUADERO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,6,6
EL ALTO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,1247,1247
EL CHORO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,2,2
EL PUENTE(STC),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,16,16
EL PUENTE(TJA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,13,13
EL TORNO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,103,103
ENTRE RIOS TRJ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,12,12
ENTRE RIOS CBBA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,25,25
ESCOMA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,6,6
EUCALIPTUS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,4,4
EUREKA (SANTOS MERCADO),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,4,4
EXALTACION,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,4,4
FERNANDEZ ALONSO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,19,19
FILADELFIA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,2,2
GENERAL SAAVEDRA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,9,9
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,9,9
GUANAY,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,15,15
GUAQUI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,9,9
GUAYARAMERIN,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,205,205
GUTIERREZ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,15,15
HUACARETA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,17,17
HUACAYA (VILLA DE HUACAYA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,1,1
HUACHACALLA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,1,1
HUANUNI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,30,30
HUARACAJE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,7,7
HUARINA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,7,7
HUATAJATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,6,6
HUAYLLAMARCA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,5,5
HUMANATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,3,3
ICHOCA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-04-01,4,4
