municipality,group,variable,month,Total 8.2 Mujeres puérperas con dosis completa de hierro,TOTAL
COLPA BELGICA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,10,10
COLQUECHACA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,64,64
COLQUENCHA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,10,10
COLQUIRI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,25,25
COMANCHE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,4,4
COMARAPA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,28,28
COMBAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,3,3
CONCEPCION,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,31,31
COPACABANA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,15,15
CORIPATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,12,12
CORO CORO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,10,10
COROICO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,31,31
CORQUE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,8,8
COTAGAITA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,20,20
COTOCA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,101,101
CUATRO CAÑADAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,29,29
CUEVO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,4,4
CULPINA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,28,28
CURAHUARA DE CARANGAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,4,4
CURVA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,5,5
DESAGUADERO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,6,6
EL ALTO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,1352,1352
EL CHORO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,3,3
EL PUENTE(STC),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,9,9
EL PUENTE(TJA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,14,14
EL TORNO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,109,109
EL VILLAR,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,3,3
ENTRE RIOS TRJ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,29,29
ENTRE RIOS CBBA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,20,20
ESCOMA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,8,8
EUCALIPTUS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,2,2
EUREKA (SANTOS MERCADO),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,3,3
EXALTACION,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,1,1
FERNANDEZ ALONSO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,19,19
