,group,variable,month,ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
AIQUILE,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,5,47,5,47,52
ALALAY,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,51,0,51,51
ANCORAIMES,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,42,0,42,42
ANDAMARCA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,2,0,2,2
ANTEQUERA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,12,0,12,12
ANZALDO,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,54,0,54,54
ARBIETO,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,13,1250,13,1250,1263
ARQUE,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,20,20,20,20,40
ATOCHA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,20,43,20,43,63
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,68,0,68,68
BATALLAS,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,208,0,208,208
BELEN DE ANDAMARCA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,1,0,1,0,1
BOLIVAR,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,15,0,15,15
BOYUIBE,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,252,0,252,252
CABEZAS,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,2,12,2,12,14
CALAMARCA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,10,52,10,52,62
CAPINOTA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,1,0,1,1
CARACOLLO,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,20,0,20,0,20
CARAPARI,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,10,0,10,10
CHARAÑA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,2,4,2,4,6
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica en perros y gatos,2011-01-01,2,53,2,53,55
CLIZA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,42,412,42,412,454
COCAPATA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,8,157,8,157,165
COCHABAMBA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,974,0,974,0,974
COLCAPIRHUA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,226,31,226,31,257
"COLCHA ""K""",otras vacunaciones,antirrabica en perros y gatos,2011-01-01,12,62,12,62,74
COLOMI,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,25,1,25,1,26
COLQUECHACA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,15,0,15,15
COLQUENCHA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,21,0,21,0,21
CORIPATA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,10,0,10,10
CUATRO CAÑADAS,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,20,20,20,20,40
EL ALTO,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,316,900,316,900,1216
EL PUENTE(STC),otras vacunaciones,antirrabica en perros y gatos,2011-01-01,39,0,39,0,39
EL PUENTE(TJA),otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,100,0,100,100
EL TORNO,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,8,45,8,45,53
ENTRE RIOS CBBA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,135,0,135,135
ESCOMA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,10,0,10,10
FERNANDEZ ALONSO,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,48,0,48,48
GENERAL SAAVEDRA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,80,333,80,333,413
GUTIERREZ,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,138,0,138,138
HUACARETA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,130,0,130,130
HUACHACALLA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,1,0,1,0,1
ICLA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,7,0,7,7
IXIAMAS,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,10,0,10,10
LA GUARDIA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,301,59,301,59,360
LA PAZ,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,56,0,56,0,56
LAGUNILLAS,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,2,0,2,0,2
MACHACAMARCA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,20,0,20,20
MALLA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,25,0,25,25
MIZQUE,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,160,0,160,160
MOCOMOCO,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,20,0,20,20
MONTERO,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,92,2467,92,2467,2559
MOROCHATA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,10,0,10,0,10
OCURI,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,10,0,10,10
OMEREQUE,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,10,0,10,10
PADCAYA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,6,89,6,89,95
PADILLA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,30,20,30,20,50
PALCA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,6,0,6,6
PAPEL PAMPA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,10,5,10,5,15
PAZÑA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,1,0,1,0,1
POJO (CBBA),otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,40,0,40,40
POROMA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,10,0,10,10
PORTACHUELO,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,15,5,15,5,20
POTOSI,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,6,0,6,0,6
PUERTO CARABUCO,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,7,13,7,13,20
PUERTO PEREZ,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,30,0,30,30
PUERTO VILLARROEL,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,15,185,15,185,200
PUNATA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,64,5,64,5,69
QUILLACOLLO,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,198,2892,198,2892,3090
RAVELO,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,41,0,41,41
ROBORE,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,23,0,23,0,23
SACABA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,41,146,41,146,187
SALINAS DE GARCI MENDOZA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,5,6,5,6,11
SAN BENITO,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,25,14,25,14,39
SAN BORJA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,10,1884,10,1884,1894
SAN BUENA VENTURA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,5,0,5,0,5
SAN CARLOS,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,540,0,540,0,540
SAN IGNACIO,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,20,0,20,20
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,22,10,22,10,32
SAN JAVIER(STC),otras vacunaciones,antirrabica en perros y gatos,2011-01-01,7,0,7,0,7
SAN JULIAN,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,14,0,14,14
SAN LORENZO(TJA),otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,1716,0,1716,1716
SAN LUCAS,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,60,0,60,60
SAN PEDRO DE BUENA VISTA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,10,0,10,10
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,6435,7817,6435,7817,14252
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,3,0,3,0,3
SANTIVAÑES,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,47,0,47,47
SAPAHAQUI,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,22,0,22,22
SICA SICA (VILLA AROMA),otras vacunaciones,antirrabica en perros y gatos,2011-01-01,165,0,165,0,165
SIPE SIPE,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,15,0,15,15
SORACACHI,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,77,0,77,77
SORATA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,25,0,25,25
SUCRE,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,174,1083,174,1083,1257
TACACOMA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,3,0,3,3
TACOPAYA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,2,7,2,7,9
TAPACARI,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,23,143,23,143,166
TARABUCO,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,60,7,60,7,67
TARATA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,42,14,42,14,56
TARIJA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,33,126,33,126,159
TIQUIPAYA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,69,598,69,598,667
TIRAQUE (CBBA),otras vacunaciones,antirrabica en perros y gatos,2011-01-01,10,20,10,20,30
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,antirrabica en perros y gatos,2011-01-01,3,0,3,0,3
TOCO,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,30,0,30,30
