municipality,group,variable,month,Niños 1 a 4 años con 2da dosis de vitamina A,TOTAL
ACHOCALLA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,17,17
ALALAY,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,6,6
ANZALDO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,1,1
ARANI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,43,43
ARQUE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,31,31
AUCAPATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,3,3
AYATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,41,41
AYO AYO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,45,45
BATALLAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,27,27
BELLA FLOR,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,1,1
BERMEJO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,33,33
BOLIVAR,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,15,15
BOLPEBRA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,2,2
BOYUIBE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,16,16
CABEZAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,2,2
CAIROMA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,2,2
CAJUATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,14,14
CALACOTO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,1,1
CAMIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,129,129
CAPINOTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,37,37
CARANAVI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,111,111
CARAPARI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,30,30
CARMEN RIVERO TORREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,19,19
CHARAGUA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,16,16
CHIMORE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,35,35
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,14,14
CHUMA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,17,17
CLIZA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,43,43
COBIJA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,89,89
COCHABAMBA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,690,690
COLCAPIRHUA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,48,48
"COLCHA ""K""",micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,2,2
COLOMI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,18,18
COLQUIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,16,16
CORIPATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,19,19
COROICO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,10,10
COTAGAITA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,1,1
CURVA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,10,10
DESAGUADERO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,39,39
EL ALTO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,729,729
EL PUENTE(TJA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,8,8
ENTRE RIOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,45,45
EUREKA (SANTOS MERCADO),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,10,10
EXALTACION,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,21,21
FERNANDEZ ALONSO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,71,71
FILADELFIA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,12,12
GENERAL SAAVEDRA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,6,6
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,10,10
GUANAY,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,8,8
GUAQUI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,19,19
GUTIERREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,47,47
INGAVI (HUMAITA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,6,6
IRUPANA (VILLA DE LANZA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,16,16
IXIAMAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,13,13
LA ASUNTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,18,18
LA PAZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,1017,1017
LAGUNILLAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,14,14
LAJA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,24,24
LORETO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,8,8
LURIBAY,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,4,4
MALLA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,1,1
MAPIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,44,44
MECAPACA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,10,10
MIZQUE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,23,23
MOCOMOCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,4,4
MONTERO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,76,76
MOROCHATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,27,27
ORURO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,6,6
PADCAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,38,38
PAILON,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,11,11
PALCA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,10,10
PALOS BLANCOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,78,78
PATACAMAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,25,25
PELECHUCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,15,15
POCONA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,17,17
POJO (CBBA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,1,1
PORVENIR,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,18,18
POTOSI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,14,14
PUCARANI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,53,53
PUERTO ACOSTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,43,43
PUERTO CARABUCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,75,75
PUERTO GONZALO MORENO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,9,9
PUERTO PEREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,6,6
PUERTO QUIJARRO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,28,28
PUERTO RICO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,5,5
PUERTO SILES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,6,6
PUERTO SUAREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,40,40
PUERTO VILLARROEL,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,61,61
PUNA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,54,54
PUNATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,54,54
QUILLACOLLO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,70,70
ROBORE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,18,18
SACABA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,56,56
SACABAMBA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,35,35
SAN ANDRES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,12,12
SAN ANDRES DE MACHACA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,2,2
SAN BENITO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,8,8
SAN BUENA VENTURA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,34,34
SAN IGNACIO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,95,95
SAN JAVIER(BNI),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,2,2
SAN JOAQUIN,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,1,1
SAN JOSE DE CHIQUITOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,8,8
SAN LORENZO(PND),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,11,11
SAN LORENZO(TJA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,36,36
SAN MATIAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,56,56
SAN PEDRO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,23,23
SAN PEDRO DE TIQUINA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,12,12
SAN PEDRO(PND),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,5,5
SAN RAMON,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,20,20
SANTA CRUZ DE LA SIERRA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,1017,1017
SANTIAGO DE CALLAPA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,3,3
SENA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,24,24
SICA SICA (VILLA AROMA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,13,13
SICAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,1,1
SIPE SIPE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,24,24
SORATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,44,44
TACACHI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,1,1
TACOPAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,13,13
TAPACARI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,111,111
TARACO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,10,10
TARATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,29,29
TARIJA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,178,178
