municipality,group,variable,month,Mujeres puérperas que recibieron dosis única d,TOTAL
ACACIO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,12,12
ACHACACHI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,52,52
ACHOCALLA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,3,3
AIQUILE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,15,15
ALALAY,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,2,2
ALCALA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,3,3
ANCORAIMES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,27,27
ANDAMARCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,3,3
ANTEQUERA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,2,2
APOLO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,22,22
ARAMPAMPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,11,11
ARANI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,11,11
ARBIETO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,2,2
ARQUE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,17,17
ASCENCION DE GUARAYOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,1,1
ATOCHA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,7,7
AUCAPATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,7,7
AYATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,10,10
AYO AYO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,16,16
AZURDUY,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,27,27
BATALLAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,16,16
BAURES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,7,7
BELEN DE ANDAMARCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,2,2
BELLA FLOR,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,3,3
BERMEJO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,30,30
BETANZOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,33,33
BOLIVAR,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,19,19
BOLPEBRA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,1,1
BOYUIBE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,7,7
BUENA VISTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,22,22
CABEZAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,15,15
CAIROMA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,15,15
"CAIZA ""D""",micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,13,13
CAJUATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,12,12
CALACOTO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,8,8
CALAMARCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,19,19
CAMARGO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,31,31
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,3,3
CAMIRI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,3,3
CAPINOTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,19,19
CAQUIAVIRI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,10,10
CARACOLLO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,37,37
CARANAVI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,90,90
CARAPARI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,12,12
CARIPUYO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,22,22
CARMEN RIVERO TORREZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,4,4
CHALLAPATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,34,34
CHAQUI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,9,9
CHARAGUA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,57,57
CHARAÑA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,2,2
CHAYANTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,31,31
CHIMORE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,15,15
CHIPAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,2,2
CHOQUE COTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,31,31
