municipality,group,variable,month,Niños menores de 5 años con 1ra dosis de hier,TOTAL
ALALAY,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,11,11
ANZALDO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,7,7
ARANI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,27,27
ARBIETO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,29,29
ASCENCION DE GUARAYOS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,47,47
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,5,5
BAURES,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,20,20
BELEN DE ANDAMARCA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,11,11
BELEN DE URMIRI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,33,33
BELLA FLOR,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,13,13
BERMEJO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,120,120
BETANZOS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,82,82
BOLPEBRA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,8,8
BOYUIBE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,33,33
BUENA VISTA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,193,193
CABEZAS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,32,32
"CAIZA ""D""",micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,4,4
CAMIRI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,105,105
CAPINOTA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,2,2
CARAPARI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,15,15
CARMEN RIVERO TORREZ,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,17,17
CHALLAPATA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,1,1
CHAQUI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,53,53
CHARAGUA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,192,192
CHAYANTA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,29,29
CHIPAYA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,5,5
CLIZA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,6,6
COBIJA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,150,150
COCHABAMBA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,21,21
COLCAPIRHUA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,174,174
COLPA BELGICA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,19,19
COLQUECHACA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,19,19
CORQUE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,4,4
COTAGAITA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,58,58
CUATRO CAÑADAS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,14,14
CUEVO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,57,57
CULPINA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,6,6
EL CHORO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,13,13
EL PUENTE(STC),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,117,117
EL PUENTE(TJA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,1,1
EUREKA (SANTOS MERCADO),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,31,31
EXALTACION,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,13,13
FERNANDEZ ALONSO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,109,109
FILADELFIA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,5,5
GENERAL SAAVEDRA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,13,13
GUAYARAMERIN,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,160,160
GUTIERREZ,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,69,69
HUARACAJE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,57,57
INCAHUASI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,54,54
LAGUNILLAS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,36,36
LLICA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,2,2
LORETO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,13,13
MAGDALENA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,155,155
MAIRANA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,22,22
MINEROS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,124,124
MOJOCOYA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,30,30
MONTERO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,77,77
MOROCHATA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,11,11
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,10,10
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,15,15
OCURI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,116,116
OKINAWA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,208,208
OMEREQUE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,5,5
ORURO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,25,25
PADCAYA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,10,10
PAILON,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,170,170
PAMPA GRANDE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,21,21
POCONA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,6,6
PORCO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,2,2
PORTACHUELO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,1,1
PORVENIR,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,14,14
POTOSI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,175,175
PUERTO GONZALO MORENO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,16,16
PUERTO QUIJARRO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,9,9
PUERTO RICO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,9,9
PUERTO SUAREZ,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,18,18
PUNA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,27,27
QUILLACOLLO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,22,22
QUIRUSILLAS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,5,5
RAVELO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,69,69
RIBERALTA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,182,182
ROBORE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,34,34
RURRENABAQUE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,40,40
SACABAMBA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,31,31
SAMAIPATA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,21,21
SAN ANDRES,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,38,38
SAN BORJA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,80,80
SAN CARLOS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,28,28
SAN IGNACIO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,17,17
SAN IGNACIO DE VELASCO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,3,3
SAN JAVIER(BNI),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,7,7
SAN JOAQUIN,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,1,1
SAN JOSE DE CHIQUITOS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,110,110
SAN JUAN DE YAPACANI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,5,5
SAN LORENZO(PND),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,32,32
SAN LORENZO(TJA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,62,62
