municipality,group,variable,month,Mujeres puérperas que recibieron 90 tabletas d,TOTAL
ACACIO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,4,4
ACHACACHI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,52,52
ACHOCALLA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,7,7
AIQUILE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,23,23
ALALAY,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,5,5
ALCALA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,2,2
ANCORAIMES,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,27,27
ANDAMARCA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,3,3
ANTEQUERA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,5,5
ANZALDO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,3,3
APOLO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,23,23
ARAMPAMPA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,12,12
ARANI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,10,10
ARBIETO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,1,1
ARQUE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,11,11
ATOCHA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,7,7
AUCAPATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,6,6
AYATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,10,10
AYO AYO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,12,12
