municipality,group,variable,month,Niños menores de 5 años con 3ra dosis de hier,TOTAL
ACHOCALLA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,3,3
ALALAY,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,4,4
ANDAMARCA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,6,6
APOLO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,1,1
ARANI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,11,11
ARBIETO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,1,1
ARQUE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,41,41
AUCAPATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,2,2
AYATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,34,34
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,9,9
BATALLAS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,6,6
BELLA FLOR,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,10,10
BERMEJO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,36,36
BOLIVAR,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,42,42
BOLPEBRA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,9,9
BOYUIBE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,5,5
BUENA VISTA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,20,20
CABEZAS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,10,10
CAIROMA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,3,3
"CAIZA ""D""",micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,7,7
CAJUATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,2,2
CALAMARCA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,7,7
CAMIRI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,52,52
CAPINOTA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,20,20
CARANAVI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,59,59
CARAPARI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,26,26
CARMEN RIVERO TORREZ,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,12,12
CHARAGUA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,47,47
CHIMORE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,23,23
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,1,1
CHUMA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,11,11
CLIZA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,7,7
COBIJA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,64,64
COCHABAMBA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,204,204
COLCAPIRHUA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,21,21
COLLANA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,2,2
COLOMI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,34,34
COLQUECHACA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,30,30
COLQUIRI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,5,5
CORIPATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,31,31
CORO CORO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,7,7
COROICO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,2,2
CORQUE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,9,9
COTAGAITA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,35,35
CUEVO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,7,7
CULPINA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,5,5
CURVA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,3,3
DESAGUADERO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,21,21
EL ALTO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,476,476
EL PUENTE(TJA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,4,4
ENTRE RIOS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,23,23
EUREKA (SANTOS MERCADO),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,18,18
EXALTACION,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,20,20
