municipality,group,variable,month,Niños de 1 a 4 años con 1ra dosis vitamina A,TOTAL
ACACIO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,101,101
ACHACACHI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,1214,1214
ACHOCALLA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,47,47
AIQUILE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,182,182
ALALAY,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,9,9
ALCALA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,32,32
ANCORAIMES,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,459,459
ANTEQUERA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,14,14
ANZALDO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,7,7
APOLO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,103,103
ARAMPAMPA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,55,55
ARANI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,103,103
ARBIETO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,35,35
ARQUE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,81,81
ATOCHA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,129,129
AUCAPATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,20,20
AYATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,34,34
AYO AYO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,30,30
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,150,150
AZURDUY,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,386,386
BATALLAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,70,70
BAURES,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,27,27
BELEN DE ANDAMARCA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,11,11
BELEN DE URMIRI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,45,45
BELLA FLOR,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,18,18
BERMEJO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,162,162
BETANZOS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,812,812
BOLIVAR,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,95,95
