municipality,group,variable,month,Mujeres embarazadas que recibieron 90 tabletas,TOTAL
ACACIO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,6,6
ACHACACHI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,128,128
ACHOCALLA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,18,18
AIQUILE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,29,29
ALALAY,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,8,8
ALCALA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,8,8
ANCORAIMES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,27,27
ANDAMARCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,2,2
ANTEQUERA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,4,4
ANZALDO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,17,17
APOLO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,24,24
ARAMPAMPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,7,7
ARANI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,16,16
ARBIETO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,3,3
ARQUE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,10,10
ASCENCION DE GUARAYOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,40,40
ATOCHA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,8,8
AUCAPATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,5,5
AYATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,24,24
AYO AYO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,14,14
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,19,19
