municipality,group,variable,month,Nacidos muertos atendidos por partera capacit,TOTAL
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-01-01,1,1
BERMEJO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-01-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-01-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-01-01,1,1
CHIMORE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-01-01,1,1
COLQUIRI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-01-01,1,1
EL VILLAR,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-01-01,1,1
ENTRE RIOS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-01-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-01-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-01-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-01-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-01-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-01-01,1,1
VILA VILA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-01-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-02-01,2,2
BOLIVAR,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-02-01,1,1
ENTRE RIOS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-02-01,1,1
PORONGO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-02-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-02-01,2,2
YACO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-02-01,1,1
CALAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-03-01,1,1
CARAPARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-03-01,1,1
CHIMORE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-03-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-03-01,1,1
COPACABANA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-03-01,1,1
CORQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-03-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-03-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-03-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-03-01,1,1
SAPAHAQUI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-03-01,2,2
SORACACHI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-03-01,1,1
TOTORA(ORR),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-03-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-03-01,1,1
YUNCHARA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-03-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-04-01,1,1
CALACOTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-04-01,1,1
CALAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-04-01,1,1
CHARAGUA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-04-01,1,1
