,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,2,14,13,15,15,30
ACHACACHI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,5,6,7,6,12,12,24
ACHOCALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,5,2,71,60,76,62,138
AIQUILE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,11,11,34,29,45,40,85
ALALAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,4,2,6,4,10,6,16
ALCALA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,1,12,9,12,10,22
ALTO BENI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,1,1,0,1,1,2
ANCORAIMES,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,7,4,5,12,12,16,28
ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,2,3,2,3,5
ANTEQUERA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,1,3,1,3,4
ANZALDO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,2,4,11,18,13,22,35
APOLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,5,4,25,22,30,26,56
ARAMPAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,3,12,14,12,17,29
