,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,3,3,18,11,21,14,35
ACHACACHI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,34,15,129,148,163,163,326
ACHOCALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,11,6,68,60,79,66,145
AIQUILE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,23,18,134,132,157,150,307
ALALAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,2,5,5,6,7,13
ALCALA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,2,12,11,14,13,27
ALTO BENI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,3,88,81,89,84,173
ANCORAIMES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,5,2,67,83,72,85,157
ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,0,22,25,24,25,49
ANTEQUERA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,0,16,7,17,7,24
ANZALDO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,6,15,14,17,20,37
APOLO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,4,7,116,143,120,150,270
ARAMPAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,0,1,7,10,7,11,18
