,group,variable,month,CONTROL DEL NIÑO(A) DE 2 AÑOS A MENOR DE 5 AÑOS DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) DE 2 AÑOS A MENOR DE 5 AÑOS DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) DE 2 AÑOS A MENOR DE 5 AÑOS DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) DE 2 AÑOS A MENOR DE 5 AÑOS DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
APOLO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,6,3,89,95,95,98,193
ARAMPAMPA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,0,0,7,4,7,4,11
ARANI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,2,1,29,37,31,38,69
ARBIETO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,15,9,126,131,141,140,281
ARQUE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,4,1,37,43,41,44,85
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,83,76,128,148,211,224,435
ATOCHA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,25,21,56,40,81,61,142
AUCAPATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,2,0,20,21,22,21,43
AYATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,4,5,17,18,21,23,44
AYO AYO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,4,0,13,20,17,20,37
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,5,7,97,91,102,98,200
AZURDUY,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,5,76,59,77,64,141
BATALLAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,5,7,48,42,53,49,102
BAURES,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,10,2,49,41,59,43,102
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,0,0,2,4,2,4,6
BELEN DE URMIRI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,0,0,4,2,4,2,6
BELLA FLOR,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,2,2,22,12,24,14,38
BERMEJO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,63,26,29,33,92,59,151
BETANZOS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,26,31,91,99,117,130,247
BOLIVAR,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,0,15,12,16,12,28
BOLPEBRA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,2,13,12,14,14,28
BOYUIBE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,6,3,14,25,20,28,48
BUENA VISTA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,9,13,101,91,110,104,214
CABEZAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,10,15,72,86,82,101,183
CAIROMA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,2,2,47,49,49,51,100
"CAIZA ""D""",control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,6,5,43,29,49,34,83
CAJUATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,2,2,82,80,84,82,166
CALACOTO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,2,2,4,17,6,19,25
CALAMARCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,3,9,37,38,40,47,87
CAMARGO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,3,2,49,61,52,63,115
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,3,2,17,15,20,17,37
CAMIRI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,43,35,157,162,200,197,397
CAPINOTA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,34,39,69,72,103,111,214
CAQUIAVIRI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,4,3,29,21,33,24,57
CARACOLLO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,5,9,154,124,159,133,292
CARANAVI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,76,73,222,208,298,281,579
CARAPARI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,12,13,80,59,92,72,164
CARIPUYO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,4,6,19,17,23,23,46
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,12,11,17,16,29,27,56
CATACORA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,3,2,6,1,9,3,12
CHACARILLA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,0,0,8,3,8,3,11
CHALLAPATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,12,15,149,158,161,173,334
CHAQUI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,7,5,21,16,28,21,49
CHARAGUA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,26,24,141,121,167,145,312
CHARAÑA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,1,2,6,3,7,10
CHAYANTA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,19,3,35,30,54,33,87
CHIMORE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,44,47,277,251,321,298,619
CHIPAYA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,2,9,11,10,13,23
CHOQUE COTA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,0,4,3,5,3,8
CHUA COCANI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,2,1,13,4,15,5,20
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,41,30,32,25,73,55,128
CHUMA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,4,23,29,24,33,57
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,0,3,12,8,12,11,23
CKOCHAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,4,1,35,41,39,42,81
CLIZA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,15,8,55,35,70,43,113
COBIJA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,24,38,278,265,302,303,605
COCAPATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,10,6,99,88,109,94,203
COCHABAMBA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1121,1050,1363,1321,2484,2371,4855
COIPASA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,5,2,0,0,5,2,7
COLCAPIRHUA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,143,122,146,122,289,244,533
"COLCHA ""K""",control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,25,15,48,53,73,68,141
COLLANA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,0,2,17,17,17,19,36
COLOMI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,6,15,108,124,114,139,253
COLPA BELGICA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,0,3,17,12,17,15,32
COLQUECHACA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,15,18,64,49,79,67,146
COLQUENCHA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,2,54,47,55,49,104
COLQUIRI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,2,67,56,68,58,126
COMANCHE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,0,0,6,3,6,3,9
COMARAPA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,14,10,50,53,64,63,127
COMBAYA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,0,2,5,3,5,5,10
CONCEPCION,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,28,35,88,104,116,139,255
COPACABANA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,2,4,39,33,41,37,78
CORIPATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,5,3,125,102,130,105,235
CORO CORO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,7,7,22,24,29,31,60
COROICO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,7,4,71,74,78,78,156
CORQUE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,11,8,21,20,32,28,60
COTAGAITA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,10,11,117,152,127,163,290
COTOCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,85,74,190,194,275,268,543
CRUZ DE MACHACAMARCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,0,0,5,2,5,2,7
CUATRO CAÑADAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,31,38,78,77,109,115,224
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,1,7,6,8,7,15
CUEVO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,3,2,14,17,17,19,36
CULPINA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,6,3,95,111,101,114,215
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,0,12,17,13,17,30
CURVA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,0,0,5,14,5,14,19
DESAGUADERO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,2,1,16,11,18,12,30
EL ALTO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,714,695,2306,2143,3020,2838,5858
EL CHORO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,1,40,33,41,34,75
EL PUENTE(STC),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,18,16,44,36,62,52,114
EL PUENTE(TJA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,4,5,49,51,53,56,109
EL TORNO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,45,46,242,280,287,326,613
EL VILLAR,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,0,0,48,37,48,37,85
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,6,15,101,105,107,120,227
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,47,37,272,267,319,304,623
ESCARA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,0,0,2,5,2,5,7
ESCOMA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,3,12,12,13,15,28
ESMERALDA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,2,1,0,2,2,4
EUCALIPTUS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,2,3,18,18,20,21,41
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,0,0,4,5,4,5,9
EXALTACION,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,1,12,12,13,13,26
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,9,11,98,98,107,109,216
FILADELFIA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,3,32,48,33,51,84
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,31,26,143,110,174,136,310
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,10,7,16,29,26,36,62
GUANAY,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,5,5,92,98,97,103,200
GUAQUI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,1,16,16,17,17,34
GUAYARAMERIN,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,57,53,204,204,261,257,518
GUTIERREZ,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,11,12,113,93,124,105,229
HUACARETA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,2,3,37,48,39,51,90
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,0,1,23,26,23,27,50
HUACHACALLA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,32,16,13,22,45,38,83
HUANUNI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,19,19,100,92,119,111,230
HUARACAJE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,5,1,22,34,27,35,62
HUARINA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,0,18,23,19,23,42
HUATAJATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,0,0,23,18,23,18,41
HUAYLLAMARCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,0,0,25,25,25,25,50
HUMANATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,0,2,7,6,7,8,15
ICHOCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,0,7,6,8,6,14
ICLA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,3,3,64,67,67,70,137
INCAHUASI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,6,9,37,48,43,57,100
INGAVI (HUMAITA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,0,0,1,4,1,4,5
INQUISIVI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,0,31,21,32,21,53
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,13,5,70,61,83,66,149
IXIAMAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,2,9,44,54,46,63,109
JESUS DE MACHACA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,9,2,33,57,42,59,101
LA ASUNTA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,39,39,183,134,222,173,395
LA GUARDIA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,37,40,316,366,353,406,759
LA PAZ,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1353,1056,1902,1721,3255,2777,6032
LA RIVERA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,3,4,2,2,5,6,11
LAGUNILLAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,3,4,50,52,53,56,109
LAJA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,12,7,69,69,81,76,157
LAS CARRERAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,2,2,26,26,28,28,56
LICOMA PAMPA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,0,0,7,11,7,11,18
LLALLAGUA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,57,62,82,74,139,136,275
LLICA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,3,0,9,4,12,4,16
LORETO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,9,11,12,12,21,23,44
LURIBAY,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,1,12,15,13,16,29
MACHACAMARCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,6,0,14,17,20,17,37
MACHARETI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,6,10,31,49,37,59,96
MAGDALENA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,14,20,82,87,96,107,203
MAIRANA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,12,6,43,46,55,52,107
MALLA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,0,4,2,5,2,7
MAPIRI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,6,7,66,79,72,86,158
MECAPACA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,11,9,63,50,74,59,133
MINEROS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,15,25,138,142,153,167,320
MIZQUE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,17,15,128,146,145,161,306
MOCOMOCO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,5,6,29,20,34,26,60
MOJINETE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,0,0,1,0,1,0,1
MOJOCOYA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,6,2,58,51,64,53,117
MONTEAGUDO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,33,41,138,119,171,160,331
MONTERO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,222,221,655,606,877,827,1704
MORO MORO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,1,10,6,11,7,18
MOROCHATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,1,4,27,18,28,22,50
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,6,8,9,8,15,16,31
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,0,1,2,5,2,6,8
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,4,1,25,33,29,34,63
OCURI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,4,2,29,23,33,25,58
OKINAWA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,16,15,75,56,91,71,162
OMEREQUE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,4,0,55,48,59,48,107
ORURO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,325,294,1022,1064,1347,1358,2705
PADCAYA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,4,4,93,85,97,89,186
PADILLA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,11,5,103,118,114,123,237
PAILON,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,5,4,62,69,67,73,140
PALCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,43,37,63,71,106,108,214
PALOS BLANCOS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,28,31,212,219,240,250,490
PAMPA AULLAGAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,11,11,13,16,24,27,51
PAMPA GRANDE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,14,18,31,27,45,45,90
PAPEL PAMPA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,5,2,15,18,20,20,40
PASORAPA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,2,1,19,9,21,10,31
PATACAMAYA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,0,3,50,46,50,49,99
PAZÑA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2017-01-01,5,1,38,40,43,41,84
