municipality,group,variable,month,Total 1310 Días camas disponibles otros servicios,TOTAL
ACACIO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,124,124
ACHACACHI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,465,465
AIQUILE,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,1581,1581
ALALAY,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
ALCALA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
ANCORAIMES,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,31,31
APOLO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,279,279
ARAMPAMPA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,155,155
ARANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
ARBIETO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,186,186
ARQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,90,90
ASCENCION DE GUARAYOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,930,930
ATOCHA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,1083,1083
AYATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,868,868
AZURDUY,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,393,393
BAURES,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
BERMEJO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,739,739
BETANZOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,248,248
BOLIVAR,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
BOYUIBE,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,341,341
BUENA VISTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,264,264
CABEZAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,310,310
CAIROMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,186,186
"CAIZA ""D""",internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
CALACOTO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,31,31
CAMARGO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,806,806
