municipality,group,variable,month,Total 13.8 Días camas ocupadas otros servicios,TOTAL
ACHACACHI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,110,110
AIQUILE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,198,198
ALALAY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,3,3
APOLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,33,33
ARANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,1,1
ASCENCION DE GUARAYOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,368,368
ATOCHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,292,292
AYATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,39,39
AZURDUY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,30,30
BAURES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,44,44
BELLA FLOR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,7,7
BERMEJO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,171,171
BETANZOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,31,31
BOLIVAR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,2,2
BOYUIBE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,72,72
BUENA VISTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,63,63
CABEZAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,43,43
CAIROMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,9,9
CAMARGO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,457,457
CAMIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,991,991
CAPINOTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,29,29
CARACOLLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,10,10
CARANAVI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,504,504
CARMEN RIVERO TORREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,16,16
CHALLAPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,229,229
CHARAGUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,387,387
CHAYANTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,26,26
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,335,335
CLIZA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,39,39
COBIJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,1567,1567
COCHABAMBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,25470,25470
COLCAPIRHUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,319,319
"COLCHA ""K""",internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,2,2
COLOMI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,2,2
COLPA BELGICA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,16,16
COLQUECHACA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,2,2
COLQUIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,2,2
COMARAPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,171,171
CONCEPCION,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,79,79
COPACABANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,8,8
COROICO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,227,227
COTAGAITA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,18,18
COTOCA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,72,72
CUATRO CAÑADAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,704,704
CUEVO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,7,7
CULPINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,46,46
EL ALTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,7977,7977
EL PUENTE(STC),internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,30,30
EL TORNO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,863,863
EL VILLAR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,2,2
ENTRE RIOS TRJ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,21,21
ENTRE RIOS CBBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,5,5
ESCOMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,61,61
EUCALIPTUS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,1,1
EXALTACION,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,6,6
FERNANDEZ ALONSO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,39,39
GENERAL SAAVEDRA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,138,138
GUANAY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,20,20
GUAQUI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,2,2
GUAYARAMERIN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,1114,1114
GUTIERREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,36,36
HUACARETA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,8,8
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,5,5
HUANUNI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,300,300
HUARACAJE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,25,25
HUAYLLAMARCA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,21,21
ICLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,5,5
INCAHUASI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,10,10
