municipality,group,variable,month,Nº de quejas y reclamos realizadas por los usuarios,TOTAL
ANZALDO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-01-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-01-01,2,2
COCHABAMBA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-01-01,2,2
COTAGAITA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-01-01,2,2
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-01-01,25,25
EUCALIPTUS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-01-01,1,1
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-01-01,2,2
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-01-01,16,16
MIZQUE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-01-01,2,2
MONTERO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-01-01,6,6
PORONGO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-01-01,1,1
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-01-01,1,1
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-01-01,1,1
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-01-01,1,1
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-01-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-01-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-01-01,4,4
SUCRE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-01-01,3,3
