,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,1,2,16,21,17,23,40
ACHACACHI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,27,30,113,104,140,134,274
ACHOCALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,13,18,141,128,154,146,300
AIQUILE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,14,11,150,116,164,127,291
ALALAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,2,2,8,6,10,8,18
ALCALA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,2,4,11,5,13,9,22
ALTO BENI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,5,6,78,76,83,82,165
ANCORAIMES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,3,5,48,59,51,64,115
ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,5,5,15,34,20,39,59
ANTEQUERA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,1,1,11,11,12,12,24
ANZALDO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,4,8,26,31,30,39,69
APOLO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,2,4,83,79,85,83,168
ARAMPAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,2,1,10,9,12,10,22
