,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,2,6,7,8,9,17
ACHACACHI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,4,5,23,21,27,26,53
ACHOCALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,1,0,1,0,1
AIQUILE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,3,2,47,46,50,48,98
ALALAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,2,5,8,6,10,16
ALCALA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,12,7,12,7,19
ANCORAIMES,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,6,1,8,7,14,8,22
ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,2,9,6,10,8,18
ANTEQUERA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,1,0,1,0,1
ANZALDO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,6,19,6,19,25
APOLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,4,2,25,28,29,30,59
ARAMPAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,2,20,31,21,33,54
ARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,0,7,4,8,4,12
