municipality,group,variable,month,Nuevas en menores de 5 años -Hombre,Nuevas en menores de 5 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
ACACIO,consulta externa,nuevas en menores de 5 anos,2007-01-01,116,133,116,133,249
ACHACACHI,consulta externa,nuevas en menores de 5 anos,2007-01-01,281,273,281,273,554
ACHOCALLA,consulta externa,nuevas en menores de 5 anos,2007-01-01,72,82,72,82,154
AIQUILE,consulta externa,nuevas en menores de 5 anos,2007-01-01,315,289,315,289,604
ALALAY,consulta externa,nuevas en menores de 5 anos,2007-01-01,10,4,10,4,14
ALCALA,consulta externa,nuevas en menores de 5 anos,2007-01-01,158,158,158,158,316
ANCORAIMES,consulta externa,nuevas en menores de 5 anos,2007-01-01,207,193,207,193,400
ANDAMARCA,consulta externa,nuevas en menores de 5 anos,2007-01-01,50,47,50,47,97
ANTEQUERA,consulta externa,nuevas en menores de 5 anos,2007-01-01,49,0,49,0,49
ANZALDO,consulta externa,nuevas en menores de 5 anos,2007-01-01,80,54,80,54,134
APOLO,consulta externa,nuevas en menores de 5 anos,2007-01-01,352,315,352,315,667
ARAMPAMPA,consulta externa,nuevas en menores de 5 anos,2007-01-01,126,135,126,135,261
ARANI,consulta externa,nuevas en menores de 5 anos,2007-01-01,64,84,64,84,148
ARBIETO,consulta externa,nuevas en menores de 5 anos,2007-01-01,92,101,92,101,193
ARQUE,consulta externa,nuevas en menores de 5 anos,2007-01-01,117,108,117,108,225
ASCENCION DE GUARAYOS,consulta externa,nuevas en menores de 5 anos,2007-01-01,546,545,546,545,1091
ATOCHA,consulta externa,nuevas en menores de 5 anos,2007-01-01,232,273,232,273,505
AUCAPATA,consulta externa,nuevas en menores de 5 anos,2007-01-01,82,72,82,72,154
AYATA,consulta externa,nuevas en menores de 5 anos,2007-01-01,111,105,111,105,216
AYO AYO,consulta externa,nuevas en menores de 5 anos,2007-01-01,52,61,52,61,113
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,nuevas en menores de 5 anos,2007-01-01,385,456,385,456,841
AZURDUY,consulta externa,nuevas en menores de 5 anos,2007-01-01,273,235,273,235,508
BATALLAS,consulta externa,nuevas en menores de 5 anos,2007-01-01,102,80,102,80,182
BAURES,consulta externa,nuevas en menores de 5 anos,2007-01-01,69,70,69,70,139
BELEN DE ANDAMARCA,consulta externa,nuevas en menores de 5 anos,2007-01-01,16,15,16,15,31
BELEN DE URMIRI,consulta externa,nuevas en menores de 5 anos,2007-01-01,18,29,18,29,47
BELLA FLOR,consulta externa,nuevas en menores de 5 anos,2007-01-01,46,52,46,52,98
BERMEJO,consulta externa,nuevas en menores de 5 anos,2007-01-01,797,700,797,700,1497
BETANZOS,consulta externa,nuevas en menores de 5 anos,2007-01-01,473,441,473,441,914
BOLIVAR,consulta externa,nuevas en menores de 5 anos,2007-01-01,120,116,120,116,236
BOLPEBRA,consulta externa,nuevas en menores de 5 anos,2007-01-01,17,20,17,20,37
BOYUIBE,consulta externa,nuevas en menores de 5 anos,2007-01-01,88,93,88,93,181
BUENA VISTA,consulta externa,nuevas en menores de 5 anos,2007-01-01,391,339,391,339,730
CABEZAS,consulta externa,nuevas en menores de 5 anos,2007-01-01,530,447,530,447,977
CAIROMA,consulta externa,nuevas en menores de 5 anos,2007-01-01,186,134,186,134,320
"CAIZA ""D""",consulta externa,nuevas en menores de 5 anos,2007-01-01,106,101,106,101,207
CAJUATA,consulta externa,nuevas en menores de 5 anos,2007-01-01,153,139,153,139,292
CALACOTO,consulta externa,nuevas en menores de 5 anos,2007-01-01,47,41,47,41,88
CALAMARCA,consulta externa,nuevas en menores de 5 anos,2007-01-01,153,114,153,114,267
CAMARGO,consulta externa,nuevas en menores de 5 anos,2007-01-01,364,422,364,422,786
CAMATAQUI (C. VILLA ABECIA),consulta externa,nuevas en menores de 5 anos,2007-01-01,119,90,119,90,209
CAMIRI,consulta externa,nuevas en menores de 5 anos,2007-01-01,1138,1017,1138,1017,2155
CAPINOTA,consulta externa,nuevas en menores de 5 anos,2007-01-01,343,362,343,362,705
CAQUIAVIRI,consulta externa,nuevas en menores de 5 anos,2007-01-01,58,77,58,77,135
CARACOLLO,consulta externa,nuevas en menores de 5 anos,2007-01-01,187,162,187,162,349
CARANAVI,consulta externa,nuevas en menores de 5 anos,2007-01-01,1024,978,1024,978,2002
CARANGAS,consulta externa,nuevas en menores de 5 anos,2007-01-01,1,1,1,1,2
CARAPARI,consulta externa,nuevas en menores de 5 anos,2007-01-01,244,220,244,220,464
CARIPUYO,consulta externa,nuevas en menores de 5 anos,2007-01-01,239,214,239,214,453
CARMEN RIVERO TORREZ,consulta externa,nuevas en menores de 5 anos,2007-01-01,55,53,55,53,108
CATACORA,consulta externa,nuevas en menores de 5 anos,2007-01-01,18,11,18,11,29
CHACARILLA,consulta externa,nuevas en menores de 5 anos,2007-01-01,20,41,20,41,61
CHALLAPATA,consulta externa,nuevas en menores de 5 anos,2007-01-01,365,308,365,308,673
CHAQUI,consulta externa,nuevas en menores de 5 anos,2007-01-01,80,79,80,79,159
CHARAGUA,consulta externa,nuevas en menores de 5 anos,2007-01-01,840,840,840,840,1680
CHARAÑA,consulta externa,nuevas en menores de 5 anos,2007-01-01,32,30,32,30,62
CHAYANTA,consulta externa,nuevas en menores de 5 anos,2007-01-01,257,238,257,238,495
CHIMORE,consulta externa,nuevas en menores de 5 anos,2007-01-01,706,677,706,677,1383
CHIPAYA,consulta externa,nuevas en menores de 5 anos,2007-01-01,12,30,12,30,42
CHOQUE COTA,consulta externa,nuevas en menores de 5 anos,2007-01-01,27,19,27,19,46
CHULUMANI (V. DE LA LIBERTAD),consulta externa,nuevas en menores de 5 anos,2007-01-01,243,229,243,229,472
CHUMA,consulta externa,nuevas en menores de 5 anos,2007-01-01,142,155,142,155,297
CLIZA,consulta externa,nuevas en menores de 5 anos,2007-01-01,244,224,244,224,468
COBIJA,consulta externa,nuevas en menores de 5 anos,2007-01-01,1021,877,1021,877,1898
COCHABAMBA,consulta externa,nuevas en menores de 5 anos,2007-01-01,8467,8282,8467,8282,16749
COIPASA,consulta externa,nuevas en menores de 5 anos,2007-01-01,6,8,6,8,14
COLCAPIRHUA,consulta externa,nuevas en menores de 5 anos,2007-01-01,329,215,329,215,544
"COLCHA ""K""",consulta externa,nuevas en menores de 5 anos,2007-01-01,99,107,99,107,206
COLLANA,consulta externa,nuevas en menores de 5 anos,2007-01-01,14,11,14,11,25
COLOMI,consulta externa,nuevas en menores de 5 anos,2007-01-01,356,276,356,276,632
COLPA BELGICA,consulta externa,nuevas en menores de 5 anos,2007-01-01,164,138,164,138,302
COLQUECHACA,consulta externa,nuevas en menores de 5 anos,2007-01-01,631,597,631,597,1228
COLQUENCHA,consulta externa,nuevas en menores de 5 anos,2007-01-01,66,99,66,99,165
COLQUIRI,consulta externa,nuevas en menores de 5 anos,2007-01-01,210,233,210,233,443
COMANCHE,consulta externa,nuevas en menores de 5 anos,2007-01-01,20,18,20,18,38
COMARAPA,consulta externa,nuevas en menores de 5 anos,2007-01-01,308,294,308,294,602
COMBAYA,consulta externa,nuevas en menores de 5 anos,2007-01-01,18,15,18,15,33
CONCEPCION,consulta externa,nuevas en menores de 5 anos,2007-01-01,195,186,195,186,381
COPACABANA,consulta externa,nuevas en menores de 5 anos,2007-01-01,107,77,107,77,184
CORIPATA,consulta externa,nuevas en menores de 5 anos,2007-01-01,178,187,178,187,365
CORO CORO,consulta externa,nuevas en menores de 5 anos,2007-01-01,63,52,63,52,115
COROICO,consulta externa,nuevas en menores de 5 anos,2007-01-01,166,167,166,167,333
CORQUE,consulta externa,nuevas en menores de 5 anos,2007-01-01,90,107,90,107,197
COTAGAITA,consulta externa,nuevas en menores de 5 anos,2007-01-01,481,512,481,512,993
COTOCA,consulta externa,nuevas en menores de 5 anos,2007-01-01,805,775,805,775,1580
CUATRO CAÑADAS,consulta externa,nuevas en menores de 5 anos,2007-01-01,512,577,512,577,1089
CUCHUMUELA (V. G. VILLARROEL),consulta externa,nuevas en menores de 5 anos,2007-01-01,17,16,17,16,33
CUEVO,consulta externa,nuevas en menores de 5 anos,2007-01-01,94,113,94,113,207
CULPINA,consulta externa,nuevas en menores de 5 anos,2007-01-01,446,385,446,385,831
CURAHUARA DE CARANGAS,consulta externa,nuevas en menores de 5 anos,2007-01-01,62,57,62,57,119
CURVA,consulta externa,nuevas en menores de 5 anos,2007-01-01,37,32,37,32,69
DESAGUADERO,consulta externa,nuevas en menores de 5 anos,2007-01-01,35,24,35,24,59
EL ALTO,consulta externa,nuevas en menores de 5 anos,2007-01-01,8979,8713,8979,8713,17692
EL CHORO,consulta externa,nuevas en menores de 5 anos,2007-01-01,54,54,54,54,108
EL PUENTE(STC),consulta externa,nuevas en menores de 5 anos,2007-01-01,293,275,293,275,568
EL PUENTE(TJA),consulta externa,nuevas en menores de 5 anos,2007-01-01,179,147,179,147,326
EL TORNO,consulta externa,nuevas en menores de 5 anos,2007-01-01,911,878,911,878,1789
EL VILLAR,consulta externa,nuevas en menores de 5 anos,2007-01-01,130,121,130,121,251
ENTRE RIOS,consulta externa,nuevas en menores de 5 anos,2007-01-01,403,404,403,404,807
ENTRE RIOS,consulta externa,nuevas en menores de 5 anos,2007-01-01,600,621,600,621,1221
ESCARA,consulta externa,nuevas en menores de 5 anos,2007-01-01,4,1,4,1,5
ESMERALDA,consulta externa,nuevas en menores de 5 anos,2007-01-01,9,5,9,5,14
EUCALIPTUS,consulta externa,nuevas en menores de 5 anos,2007-01-01,96,81,96,81,177
EUREKA (SANTOS MERCADO),consulta externa,nuevas en menores de 5 anos,2007-01-01,14,12,14,12,26
EXALTACION,consulta externa,nuevas en menores de 5 anos,2007-01-01,27,32,27,32,59
FERNANDEZ ALONSO,consulta externa,nuevas en menores de 5 anos,2007-01-01,416,368,416,368,784
FILADELFIA,consulta externa,nuevas en menores de 5 anos,2007-01-01,90,112,90,112,202
GENERAL SAAVEDRA,consulta externa,nuevas en menores de 5 anos,2007-01-01,473,447,473,447,920
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,nuevas en menores de 5 anos,2007-01-01,125,104,125,104,229
GUANAY,consulta externa,nuevas en menores de 5 anos,2007-01-01,395,364,395,364,759
GUAQUI,consulta externa,nuevas en menores de 5 anos,2007-01-01,39,38,39,38,77
GUAYARAMERIN,consulta externa,nuevas en menores de 5 anos,2007-01-01,2124,1208,2124,1208,3332
GUTIERREZ,consulta externa,nuevas en menores de 5 anos,2007-01-01,686,604,686,604,1290
HUACARETA,consulta externa,nuevas en menores de 5 anos,2007-01-01,241,231,241,231,472
HUACAYA (VILLA DE HUACAYA),consulta externa,nuevas en menores de 5 anos,2007-01-01,81,94,81,94,175
HUACHACALLA,consulta externa,nuevas en menores de 5 anos,2007-01-01,27,16,27,16,43
HUANUNI,consulta externa,nuevas en menores de 5 anos,2007-01-01,492,284,492,284,776
HUARACAJE,consulta externa,nuevas en menores de 5 anos,2007-01-01,128,94,128,94,222
HUAYLLAMARCA,consulta externa,nuevas en menores de 5 anos,2007-01-01,18,34,18,34,52
ICHOCA,consulta externa,nuevas en menores de 5 anos,2007-01-01,65,70,65,70,135
ICLA,consulta externa,nuevas en menores de 5 anos,2007-01-01,291,283,291,283,574
INCAHUASI,consulta externa,nuevas en menores de 5 anos,2007-01-01,530,441,530,441,971
INGAVI (HUMAITA),consulta externa,nuevas en menores de 5 anos,2007-01-01,13,10,13,10,23
INQUISIVI,consulta externa,nuevas en menores de 5 anos,2007-01-01,180,186,180,186,366
IRUPANA (VILLA DE LANZA),consulta externa,nuevas en menores de 5 anos,2007-01-01,233,265,233,265,498
IXIAMAS,consulta externa,nuevas en menores de 5 anos,2007-01-01,296,235,296,235,531
JESUS DE MACHACA,consulta externa,nuevas en menores de 5 anos,2007-01-01,118,137,118,137,255
LA ASUNTA,consulta externa,nuevas en menores de 5 anos,2007-01-01,725,612,725,612,1337
LA GUARDIA,consulta externa,nuevas en menores de 5 anos,2007-01-01,1629,1436,1629,1436,3065
LA PAZ,consulta externa,nuevas en menores de 5 anos,2007-01-01,13323,12755,13323,12755,26078
LA RIVERA,consulta externa,nuevas en menores de 5 anos,2007-01-01,4,3,4,3,7
LAGUNILLAS,consulta externa,nuevas en menores de 5 anos,2007-01-01,257,315,257,315,572
LAJA,consulta externa,nuevas en menores de 5 anos,2007-01-01,92,113,92,113,205
LAS CARRERAS,consulta externa,nuevas en menores de 5 anos,2007-01-01,55,57,55,57,112
LICOMA PAMPA,consulta externa,nuevas en menores de 5 anos,2007-01-01,35,33,35,33,68
LLALLAGUA,consulta externa,nuevas en menores de 5 anos,2007-01-01,680,611,680,611,1291
LLICA,consulta externa,nuevas en menores de 5 anos,2007-01-01,48,51,48,51,99
LORETO,consulta externa,nuevas en menores de 5 anos,2007-01-01,49,41,49,41,90
LURIBAY,consulta externa,nuevas en menores de 5 anos,2007-01-01,117,105,117,105,222
MACHACAMARCA,consulta externa,nuevas en menores de 5 anos,2007-01-01,66,58,66,58,124
MACHARETI,consulta externa,nuevas en menores de 5 anos,2007-01-01,304,289,304,289,593
MAGDALENA,consulta externa,nuevas en menores de 5 anos,2007-01-01,281,263,281,263,544
MAIRANA,consulta externa,nuevas en menores de 5 anos,2007-01-01,136,114,136,114,250
MALLA,consulta externa,nuevas en menores de 5 anos,2007-01-01,62,38,62,38,100
MAPIRI,consulta externa,nuevas en menores de 5 anos,2007-01-01,313,246,313,246,559
MECAPACA,consulta externa,nuevas en menores de 5 anos,2007-01-01,151,117,151,117,268
MINEROS,consulta externa,nuevas en menores de 5 anos,2007-01-01,532,399,532,399,931
MIZQUE,consulta externa,nuevas en menores de 5 anos,2007-01-01,335,315,335,315,650
MOCOMOCO,consulta externa,nuevas en menores de 5 anos,2007-01-01,87,76,87,76,163
MOJINETE,consulta externa,nuevas en menores de 5 anos,2007-01-01,16,12,16,12,28
MOJOCOYA,consulta externa,nuevas en menores de 5 anos,2007-01-01,147,126,147,126,273
MONTEAGUDO,consulta externa,nuevas en menores de 5 anos,2007-01-01,656,639,656,639,1295
MONTERO,consulta externa,nuevas en menores de 5 anos,2007-01-01,2879,2596,2879,2596,5475
MORO MORO,consulta externa,nuevas en menores de 5 anos,2007-01-01,43,42,43,42,85
MOROCHATA,consulta externa,nuevas en menores de 5 anos,2007-01-01,127,103,127,103,230
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,nuevas en menores de 5 anos,2007-01-01,30,25,30,25,55
NAZACARA DE PACAJES,consulta externa,nuevas en menores de 5 anos,2007-01-01,6,6,6,6,12
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,nuevas en menores de 5 anos,2007-01-01,33,39,33,39,72
OCURI,consulta externa,nuevas en menores de 5 anos,2007-01-01,351,309,351,309,660
OKINAWA,consulta externa,nuevas en menores de 5 anos,2007-01-01,442,446,442,446,888
OMEREQUE,consulta externa,nuevas en menores de 5 anos,2007-01-01,187,186,187,186,373
ORURO,consulta externa,nuevas en menores de 5 anos,2007-01-01,4537,4090,4537,4090,8627
PADCAYA,consulta externa,nuevas en menores de 5 anos,2007-01-01,315,305,315,305,620
PADILLA,consulta externa,nuevas en menores de 5 anos,2007-01-01,381,322,381,322,703
PAILON,consulta externa,nuevas en menores de 5 anos,2007-01-01,334,350,334,350,684
PALCA,consulta externa,nuevas en menores de 5 anos,2007-01-01,122,86,122,86,208
PALOS BLANCOS,consulta externa,nuevas en menores de 5 anos,2007-01-01,743,676,743,676,1419
PAMPA AULLAGAS,consulta externa,nuevas en menores de 5 anos,2007-01-01,64,55,64,55,119
PAMPA GRANDE,consulta externa,nuevas en menores de 5 anos,2007-01-01,128,125,128,125,253
PAPEL PAMPA,consulta externa,nuevas en menores de 5 anos,2007-01-01,29,40,29,40,69
