municipality,group,variable,month,Viviendas positivas,TOTAL
ALALAY,chagas,viviendas  positivas,2008-01-01,1,1
ALCALA,chagas,viviendas  positivas,2008-01-01,46,46
ARANI,chagas,viviendas  positivas,2008-01-01,37,37
CABEZAS,chagas,viviendas  positivas,2008-01-01,7,7
CAPINOTA,chagas,viviendas  positivas,2008-01-01,6,6
CARAPARI,chagas,viviendas  positivas,2008-01-01,16,16
COCHABAMBA,chagas,viviendas  positivas,2008-01-01,17,17
COLQUECHACA,chagas,viviendas  positivas,2008-01-01,5,5
COTAGAITA,chagas,viviendas  positivas,2008-01-01,4,4
COTOCA,chagas,viviendas  positivas,2008-01-01,2,2
CUEVO,chagas,viviendas  positivas,2008-01-01,6,6
EL TORNO,chagas,viviendas  positivas,2008-01-01,10,10
EL VILLAR,chagas,viviendas  positivas,2008-01-01,11,11
ICLA,chagas,viviendas  positivas,2008-01-01,2,2
MOJOCOYA,chagas,viviendas  positivas,2008-01-01,1,1
OMEREQUE,chagas,viviendas  positivas,2008-01-01,13,13
POJO (CBBA),chagas,viviendas  positivas,2008-01-01,9,9
POROMA,chagas,viviendas  positivas,2008-01-01,18,18
PUNATA,chagas,viviendas  positivas,2008-01-01,2,2
SACABA,chagas,viviendas  positivas,2008-01-01,9,9
SAIPINA,chagas,viviendas  positivas,2008-01-01,3,3
SAN BENITO,chagas,viviendas  positivas,2008-01-01,8,8
SAN LUCAS,chagas,viviendas  positivas,2008-01-01,5,5
SAN PEDRO DE BUENA VISTA,chagas,viviendas  positivas,2008-01-01,32,32
SANTA CRUZ DE LA SIERRA,chagas,viviendas  positivas,2008-01-01,0,0
TAPACARI,chagas,viviendas  positivas,2008-01-01,1,1
TARIJA,chagas,viviendas  positivas,2008-01-01,2,2
TIQUIPAYA,chagas,viviendas  positivas,2008-01-01,1,1
TOTORA(CBBA),chagas,viviendas  positivas,2008-01-01,3,3
TUPIZA,chagas,viviendas  positivas,2008-01-01,1,1
URIONDO (A. CONCEPCION),chagas,viviendas  positivas,2008-01-01,2,2
VILA VILA,chagas,viviendas  positivas,2008-01-01,2,2
VILLA RIVERO,chagas,viviendas  positivas,2008-01-01,4,4
AIQUILE,chagas,viviendas  positivas,2008-02-01,35,35
ALALAY,chagas,viviendas  positivas,2008-02-01,6,6
ALCALA,chagas,viviendas  positivas,2008-02-01,28,28
ARANI,chagas,viviendas  positivas,2008-02-01,6,6
AZURDUY,chagas,viviendas  positivas,2008-02-01,4,4
CABEZAS,chagas,viviendas  positivas,2008-02-01,4,4
CAIROMA,chagas,viviendas  positivas,2008-02-01,12,12
