municipality,group,variable,month,Viviendas evaluadas,TOTAL
ALALAY,chagas,viviendas evaluadas,2008-01-01,178,178
ALCALA,chagas,viviendas evaluadas,2008-01-01,232,232
ANZALDO,chagas,viviendas evaluadas,2008-01-01,16,16
ARANI,chagas,viviendas evaluadas,2008-01-01,415,415
CABEZAS,chagas,viviendas evaluadas,2008-01-01,98,98
CAPINOTA,chagas,viviendas evaluadas,2008-01-01,385,385
CARAPARI,chagas,viviendas evaluadas,2008-01-01,68,68
COCHABAMBA,chagas,viviendas evaluadas,2008-01-01,51,51
COLCAPIRHUA,chagas,viviendas evaluadas,2008-01-01,94,94
COLQUECHACA,chagas,viviendas evaluadas,2008-01-01,10,10
COTAGAITA,chagas,viviendas evaluadas,2008-01-01,255,255
COTOCA,chagas,viviendas evaluadas,2008-01-01,136,136
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas evaluadas,2008-01-01,69,69
CUEVO,chagas,viviendas evaluadas,2008-01-01,91,91
EL TORNO,chagas,viviendas evaluadas,2008-01-01,125,125
EL VILLAR,chagas,viviendas evaluadas,2008-01-01,60,60
MOJOCOYA,chagas,viviendas evaluadas,2008-01-01,6,6
OMEREQUE,chagas,viviendas evaluadas,2008-01-01,231,231
POJO (CBBA),chagas,viviendas evaluadas,2008-01-01,248,248
POROMA,chagas,viviendas evaluadas,2008-01-01,209,209
PUCARA,chagas,viviendas evaluadas,2008-01-01,3,3
PUNATA,chagas,viviendas evaluadas,2008-01-01,173,173
SACABA,chagas,viviendas evaluadas,2008-01-01,700,700
SACABAMBA,chagas,viviendas evaluadas,2008-01-01,158,158
SAIPINA,chagas,viviendas evaluadas,2008-01-01,104,104
SAN BENITO,chagas,viviendas evaluadas,2008-01-01,140,140
SAN PEDRO DE BUENA VISTA,chagas,viviendas evaluadas,2008-01-01,111,111
SANTA CRUZ DE LA SIERRA,chagas,viviendas evaluadas,2008-01-01,0,0
SIPE SIPE,chagas,viviendas evaluadas,2008-01-01,4,4
TAPACARI,chagas,viviendas evaluadas,2008-01-01,93,93
TARATA,chagas,viviendas evaluadas,2008-01-01,117,117
TARIJA,chagas,viviendas evaluadas,2008-01-01,2,2
TIQUIPAYA,chagas,viviendas evaluadas,2008-01-01,245,245
TORO TORO,chagas,viviendas evaluadas,2008-01-01,207,207
TOTORA(CBBA),chagas,viviendas evaluadas,2008-01-01,60,60
TUPIZA,chagas,viviendas evaluadas,2008-01-01,1,1
URIONDO (A. CONCEPCION),chagas,viviendas evaluadas,2008-01-01,276,276
VILA VILA,chagas,viviendas evaluadas,2008-01-01,89,89
VILLA RIVERO,chagas,viviendas evaluadas,2008-01-01,218,218
VILLAZON,chagas,viviendas evaluadas,2008-01-01,98,98
AIQUILE,chagas,viviendas evaluadas,2008-02-01,281,281
ALALAY,chagas,viviendas evaluadas,2008-02-01,161,161
ALCALA,chagas,viviendas evaluadas,2008-02-01,178,178
ANZALDO,chagas,viviendas evaluadas,2008-02-01,27,27
ARAMPAMPA,chagas,viviendas evaluadas,2008-02-01,112,112
ARANI,chagas,viviendas evaluadas,2008-02-01,399,399
AZURDUY,chagas,viviendas evaluadas,2008-02-01,187,187
CABEZAS,chagas,viviendas evaluadas,2008-02-01,148,148
CAIROMA,chagas,viviendas evaluadas,2008-02-01,489,489
CAPINOTA,chagas,viviendas evaluadas,2008-02-01,27,27
CHULUMANI (V. DE LA LIBERTAD),chagas,viviendas evaluadas,2008-02-01,530,530
COTOCA,chagas,viviendas evaluadas,2008-02-01,184,184
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas evaluadas,2008-02-01,80,80
CUEVO,chagas,viviendas evaluadas,2008-02-01,116,116
EL TORNO,chagas,viviendas evaluadas,2008-02-01,163,163
EL VILLAR,chagas,viviendas evaluadas,2008-02-01,215,215
INCAHUASI,chagas,viviendas evaluadas,2008-02-01,6,6
IRUPANA (VILLA DE LANZA),chagas,viviendas evaluadas,2008-02-01,302,302
LA GUARDIA,chagas,viviendas evaluadas,2008-02-01,6,6
MOJOCOYA,chagas,viviendas evaluadas,2008-02-01,144,144
MORO MORO,chagas,viviendas evaluadas,2008-02-01,54,54
OMEREQUE,chagas,viviendas evaluadas,2008-02-01,173,173
PADCAYA,chagas,viviendas evaluadas,2008-02-01,50,50
PASORAPA,chagas,viviendas evaluadas,2008-02-01,3,3
POJO (CBBA),chagas,viviendas evaluadas,2008-02-01,398,398
POSTRER VALLE,chagas,viviendas evaluadas,2008-02-01,195,195
PUCARA,chagas,viviendas evaluadas,2008-02-01,1,1
PUNATA,chagas,viviendas evaluadas,2008-02-01,114,114
SACABA,chagas,viviendas evaluadas,2008-02-01,654,654
SACABAMBA,chagas,viviendas evaluadas,2008-02-01,139,139
SAIPINA,chagas,viviendas evaluadas,2008-02-01,62,62
SAMAIPATA,chagas,viviendas evaluadas,2008-02-01,256,256
SAN BENITO,chagas,viviendas evaluadas,2008-02-01,114,114
SAN LORENZO(TJA),chagas,viviendas evaluadas,2008-02-01,301,301
SAPAHAQUI,chagas,viviendas evaluadas,2008-02-01,351,351
TACACHI,chagas,viviendas evaluadas,2008-02-01,22,22
TACOPAYA,chagas,viviendas evaluadas,2008-02-01,68,68
TAPACARI,chagas,viviendas evaluadas,2008-02-01,156,156
TARATA,chagas,viviendas evaluadas,2008-02-01,235,235
TARIJA,chagas,viviendas evaluadas,2008-02-01,3,3
TIQUIPAYA,chagas,viviendas evaluadas,2008-02-01,206,206
TOMINA,chagas,viviendas evaluadas,2008-02-01,42,42
TORO TORO,chagas,viviendas evaluadas,2008-02-01,172,172
TOTORA(CBBA),chagas,viviendas evaluadas,2008-02-01,35,35
URIONDO (A. CONCEPCION),chagas,viviendas evaluadas,2008-02-01,286,286
VALLEGRANDE,chagas,viviendas evaluadas,2008-02-01,310,310
VILA VILA,chagas,viviendas evaluadas,2008-02-01,10,10
VILLA RIVERO,chagas,viviendas evaluadas,2008-02-01,247,247
VILLAZON,chagas,viviendas evaluadas,2008-02-01,118,118
VINTO,chagas,viviendas evaluadas,2008-02-01,196,196
VITICHI,chagas,viviendas evaluadas,2008-02-01,119,119
ACACIO,chagas,viviendas evaluadas,2008-03-01,80,80
AIQUILE,chagas,viviendas evaluadas,2008-03-01,114,114
ALCALA,chagas,viviendas evaluadas,2008-03-01,681,681
ANZALDO,chagas,viviendas evaluadas,2008-03-01,161,161
ARAMPAMPA,chagas,viviendas evaluadas,2008-03-01,64,64
ARANI,chagas,viviendas evaluadas,2008-03-01,310,310
ARBIETO,chagas,viviendas evaluadas,2008-03-01,128,128
ARQUE,chagas,viviendas evaluadas,2008-03-01,178,178
AYOPAYA (V. DE INDEPENDENCIA),chagas,viviendas evaluadas,2008-03-01,2,2
CABEZAS,chagas,viviendas evaluadas,2008-03-01,128,128
"CAIZA ""D""",chagas,viviendas evaluadas,2008-03-01,354,354
CAPINOTA,chagas,viviendas evaluadas,2008-03-01,71,71
CHULUMANI (V. DE LA LIBERTAD),chagas,viviendas evaluadas,2008-03-01,155,155
CLIZA,chagas,viviendas evaluadas,2008-03-01,52,52
COCHABAMBA,chagas,viviendas evaluadas,2008-03-01,41,41
COLCAPIRHUA,chagas,viviendas evaluadas,2008-03-01,112,112
COLQUECHACA,chagas,viviendas evaluadas,2008-03-01,4,4
CORIPATA,chagas,viviendas evaluadas,2008-03-01,683,683
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas evaluadas,2008-03-01,14,14
EL PUENTE(TJA),chagas,viviendas evaluadas,2008-03-01,417,417
EL TORNO,chagas,viviendas evaluadas,2008-03-01,289,289
EL VILLAR,chagas,viviendas evaluadas,2008-03-01,156,156
HUACAYA (VILLA DE HUACAYA),chagas,viviendas evaluadas,2008-03-01,7,7
INCAHUASI,chagas,viviendas evaluadas,2008-03-01,11,11
LAS CARRERAS,chagas,viviendas evaluadas,2008-03-01,324,324
LURIBAY,chagas,viviendas evaluadas,2008-03-01,25,25
MACHARETI,chagas,viviendas evaluadas,2008-03-01,130,130
MAIRANA,chagas,viviendas evaluadas,2008-03-01,36,36
MECAPACA,chagas,viviendas evaluadas,2008-03-01,170,170
MIZQUE,chagas,viviendas evaluadas,2008-03-01,252,252
MOJOCOYA,chagas,viviendas evaluadas,2008-03-01,205,205
MORO MORO,chagas,viviendas evaluadas,2008-03-01,20,20
MOROCHATA,chagas,viviendas evaluadas,2008-03-01,180,180
OMEREQUE,chagas,viviendas evaluadas,2008-03-01,114,114
PADILLA,chagas,viviendas evaluadas,2008-03-01,218,218
PASORAPA,chagas,viviendas evaluadas,2008-03-01,17,17
POCONA,chagas,viviendas evaluadas,2008-03-01,361,361
POJO (CBBA),chagas,viviendas evaluadas,2008-03-01,469,469
POSTRER VALLE,chagas,viviendas evaluadas,2008-03-01,114,114
PUNATA,chagas,viviendas evaluadas,2008-03-01,13,13
QUIRUSILLAS,chagas,viviendas evaluadas,2008-03-01,86,86
RURRENABAQUE,chagas,viviendas evaluadas,2008-03-01,1,1
SACABA,chagas,viviendas evaluadas,2008-03-01,582,582
SAIPINA,chagas,viviendas evaluadas,2008-03-01,58,58
SAN BENITO,chagas,viviendas evaluadas,2008-03-01,127,127
SAN LORENZO(TJA),chagas,viviendas evaluadas,2008-03-01,380,380
SAN LUCAS,chagas,viviendas evaluadas,2008-03-01,764,764
SAN PEDRO DE BUENA VISTA,chagas,viviendas evaluadas,2008-03-01,598,598
SANTA CRUZ DE LA SIERRA,chagas,viviendas evaluadas,2008-03-01,0,0
SANTIVAÑES,chagas,viviendas evaluadas,2008-03-01,101,101
SAPAHAQUI,chagas,viviendas evaluadas,2008-03-01,411,411
SICAYA,chagas,viviendas evaluadas,2008-03-01,174,174
SIPE SIPE,chagas,viviendas evaluadas,2008-03-01,268,268
SUCRE,chagas,viviendas evaluadas,2008-03-01,256,256
TACACHI,chagas,viviendas evaluadas,2008-03-01,116,116
TACOPAYA,chagas,viviendas evaluadas,2008-03-01,241,241
TAPACARI,chagas,viviendas evaluadas,2008-03-01,208,208
TARATA,chagas,viviendas evaluadas,2008-03-01,248,248
TARIJA,chagas,viviendas evaluadas,2008-03-01,121,121
TIQUIPAYA,chagas,viviendas evaluadas,2008-03-01,115,115
TOCO,chagas,viviendas evaluadas,2008-03-01,100,100
TOLATA,chagas,viviendas evaluadas,2008-03-01,76,76
TOMINA,chagas,viviendas evaluadas,2008-03-01,57,57
TORO TORO,chagas,viviendas evaluadas,2008-03-01,131,131
TOTORA(CBBA),chagas,viviendas evaluadas,2008-03-01,62,62
TUPIZA,chagas,viviendas evaluadas,2008-03-01,593,593
URIONDO (A. CONCEPCION),chagas,viviendas evaluadas,2008-03-01,172,172
VALLEGRANDE,chagas,viviendas evaluadas,2008-03-01,811,811
VILA VILA,chagas,viviendas evaluadas,2008-03-01,44,44
VILLA RIVERO,chagas,viviendas evaluadas,2008-03-01,175,175
VILLAZON,chagas,viviendas evaluadas,2008-03-01,222,222
VINTO,chagas,viviendas evaluadas,2008-03-01,132,132
VITICHI,chagas,viviendas evaluadas,2008-03-01,551,551
YANACACHI,chagas,viviendas evaluadas,2008-03-01,282,282
ACACIO,chagas,viviendas evaluadas,2008-04-01,214,214
AIQUILE,chagas,viviendas evaluadas,2008-04-01,491,491
ALALAY,chagas,viviendas evaluadas,2008-04-01,10,10
ANZALDO,chagas,viviendas evaluadas,2008-04-01,330,330
ARAMPAMPA,chagas,viviendas evaluadas,2008-04-01,190,190
ARANI,chagas,viviendas evaluadas,2008-04-01,501,501
ARBIETO,chagas,viviendas evaluadas,2008-04-01,284,284
ARQUE,chagas,viviendas evaluadas,2008-04-01,120,120
CABEZAS,chagas,viviendas evaluadas,2008-04-01,3,3
"CAIZA ""D""",chagas,viviendas evaluadas,2008-04-01,302,302
CAMATAQUI (C. VILLA ABECIA),chagas,viviendas evaluadas,2008-04-01,154,154
CAPINOTA,chagas,viviendas evaluadas,2008-04-01,185,185
CHARAGUA,chagas,viviendas evaluadas,2008-04-01,37,37
CHULUMANI (V. DE LA LIBERTAD),chagas,viviendas evaluadas,2008-04-01,731,731
COLCAPIRHUA,chagas,viviendas evaluadas,2008-04-01,62,62
COMARAPA,chagas,viviendas evaluadas,2008-04-01,102,102
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas evaluadas,2008-04-01,28,28
EL TORNO,chagas,viviendas evaluadas,2008-04-01,455,455
EL VILLAR,chagas,viviendas evaluadas,2008-04-01,197,197
ENTRE RIOS,chagas,viviendas evaluadas,2008-04-01,2,2
INCAHUASI,chagas,viviendas evaluadas,2008-04-01,227,227
IRUPANA (VILLA DE LANZA),chagas,viviendas evaluadas,2008-04-01,409,409
LURIBAY,chagas,viviendas evaluadas,2008-04-01,13,13
MAIRANA,chagas,viviendas evaluadas,2008-04-01,65,65
MECAPACA,chagas,viviendas evaluadas,2008-04-01,228,228
MIZQUE,chagas,viviendas evaluadas,2008-04-01,478,478
MOJOCOYA,chagas,viviendas evaluadas,2008-04-01,67,67
OKINAWA,chagas,viviendas evaluadas,2008-04-01,256,256
OMEREQUE,chagas,viviendas evaluadas,2008-04-01,122,122
PADCAYA,chagas,viviendas evaluadas,2008-04-01,372,372
PADILLA,chagas,viviendas evaluadas,2008-04-01,98,98
PASORAPA,chagas,viviendas evaluadas,2008-04-01,329,329
POCONA,chagas,viviendas evaluadas,2008-04-01,357,357
POJO (CBBA),chagas,viviendas evaluadas,2008-04-01,611,611
PUNA,chagas,viviendas evaluadas,2008-04-01,139,139
PUNATA,chagas,viviendas evaluadas,2008-04-01,15,15
QUIRUSILLAS,chagas,viviendas evaluadas,2008-04-01,84,84
SACABA,chagas,viviendas evaluadas,2008-04-01,481,481
SACABAMBA,chagas,viviendas evaluadas,2008-04-01,164,164
SAIPINA,chagas,viviendas evaluadas,2008-04-01,279,279
SAN BENITO,chagas,viviendas evaluadas,2008-04-01,146,146
SAN JOSE DE CHIQUITOS,chagas,viviendas evaluadas,2008-04-01,99,99
SAN LORENZO(TJA),chagas,viviendas evaluadas,2008-04-01,473,473
SAN PEDRO DE BUENA VISTA,chagas,viviendas evaluadas,2008-04-01,190,190
SANTA CRUZ DE LA SIERRA,chagas,viviendas evaluadas,2008-04-01,0,0
SANTIVAÑES,chagas,viviendas evaluadas,2008-04-01,407,407
SAPAHAQUI,chagas,viviendas evaluadas,2008-04-01,716,716
SICAYA,chagas,viviendas evaluadas,2008-04-01,36,36
SIPE SIPE,chagas,viviendas evaluadas,2008-04-01,135,135
SOPACHUY,chagas,viviendas evaluadas,2008-04-01,214,214
SUCRE,chagas,viviendas evaluadas,2008-04-01,125,125
TACACHI,chagas,viviendas evaluadas,2008-04-01,12,12
TACOPAYA,chagas,viviendas evaluadas,2008-04-01,157,157
TAPACARI,chagas,viviendas evaluadas,2008-04-01,458,458
TARATA,chagas,viviendas evaluadas,2008-04-01,392,392
TARVITA,chagas,viviendas evaluadas,2008-04-01,1,1
TIQUIPAYA,chagas,viviendas evaluadas,2008-04-01,130,130
TOCO,chagas,viviendas evaluadas,2008-04-01,187,187
TOLATA,chagas,viviendas evaluadas,2008-04-01,224,224
TOMINA,chagas,viviendas evaluadas,2008-04-01,382,382
TORO TORO,chagas,viviendas evaluadas,2008-04-01,272,272
TOTORA(CBBA),chagas,viviendas evaluadas,2008-04-01,452,452
URIONDO (A. CONCEPCION),chagas,viviendas evaluadas,2008-04-01,261,261
VALLEGRANDE,chagas,viviendas evaluadas,2008-04-01,829,829
VILA VILA,chagas,viviendas evaluadas,2008-04-01,368,368
VILLA RIVERO,chagas,viviendas evaluadas,2008-04-01,674,674
VILLA SERRANO,chagas,viviendas evaluadas,2008-04-01,244,244
VILLAZON,chagas,viviendas evaluadas,2008-04-01,251,251
YANACACHI,chagas,viviendas evaluadas,2008-04-01,595,595
ZUDAÑEZ,chagas,viviendas evaluadas,2008-04-01,99,99
ACACIO,chagas,viviendas evaluadas,2008-05-01,413,413
AIQUILE,chagas,viviendas evaluadas,2008-05-01,1386,1386
ALALAY,chagas,viviendas evaluadas,2008-05-01,15,15
ANZALDO,chagas,viviendas evaluadas,2008-05-01,253,253
ARANI,chagas,viviendas evaluadas,2008-05-01,610,610
ARBIETO,chagas,viviendas evaluadas,2008-05-01,172,172
AYOPAYA (V. DE INDEPENDENCIA),chagas,viviendas evaluadas,2008-05-01,458,458
CABEZAS,chagas,viviendas evaluadas,2008-05-01,168,168
"CAIZA ""D""",chagas,viviendas evaluadas,2008-05-01,297,297
CAJUATA,chagas,viviendas evaluadas,2008-05-01,392,392
CAMARGO,chagas,viviendas evaluadas,2008-05-01,1133,1133
CAMATAQUI (C. VILLA ABECIA),chagas,viviendas evaluadas,2008-05-01,188,188
CAPINOTA,chagas,viviendas evaluadas,2008-05-01,79,79
CHARAGUA,chagas,viviendas evaluadas,2008-05-01,71,71
CHULUMANI (V. DE LA LIBERTAD),chagas,viviendas evaluadas,2008-05-01,694,694
CLIZA,chagas,viviendas evaluadas,2008-05-01,360,360
COCHABAMBA,chagas,viviendas evaluadas,2008-05-01,199,199
COLCAPIRHUA,chagas,viviendas evaluadas,2008-05-01,207,207
COMARAPA,chagas,viviendas evaluadas,2008-05-01,141,141
CORIPATA,chagas,viviendas evaluadas,2008-05-01,3247,3247
COTOCA,chagas,viviendas evaluadas,2008-05-01,299,299
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas evaluadas,2008-05-01,98,98
EL TORNO,chagas,viviendas evaluadas,2008-05-01,430,430
EL VILLAR,chagas,viviendas evaluadas,2008-05-01,320,320
HUACARETA,chagas,viviendas evaluadas,2008-05-01,173,173
INCAHUASI,chagas,viviendas evaluadas,2008-05-01,487,487
IRUPANA (VILLA DE LANZA),chagas,viviendas evaluadas,2008-05-01,448,448
LA GUARDIA,chagas,viviendas evaluadas,2008-05-01,9,9
LURIBAY,chagas,viviendas evaluadas,2008-05-01,249,249
MACHARETI,chagas,viviendas evaluadas,2008-05-01,3,3
MAIRANA,chagas,viviendas evaluadas,2008-05-01,88,88
MECAPACA,chagas,viviendas evaluadas,2008-05-01,468,468
MIZQUE,chagas,viviendas evaluadas,2008-05-01,491,491
MONTEAGUDO,chagas,viviendas evaluadas,2008-05-01,35,35
OKINAWA,chagas,viviendas evaluadas,2008-05-01,121,121
OMEREQUE,chagas,viviendas evaluadas,2008-05-01,123,123
PADILLA,chagas,viviendas evaluadas,2008-05-01,557,557
PAILON,chagas,viviendas evaluadas,2008-05-01,115,115
PASORAPA,chagas,viviendas evaluadas,2008-05-01,433,433
POCONA,chagas,viviendas evaluadas,2008-05-01,302,302
POJO (CBBA),chagas,viviendas evaluadas,2008-05-01,414,414
POROMA,chagas,viviendas evaluadas,2008-05-01,101,101
PUCARA,chagas,viviendas evaluadas,2008-05-01,32,32
PUNA,chagas,viviendas evaluadas,2008-05-01,375,375
PUNATA,chagas,viviendas evaluadas,2008-05-01,14,14
QUIRUSILLAS,chagas,viviendas evaluadas,2008-05-01,107,107
RAVELO,chagas,viviendas evaluadas,2008-05-01,319,319
SACABA,chagas,viviendas evaluadas,2008-05-01,592,592
SACABAMBA,chagas,viviendas evaluadas,2008-05-01,285,285
SAIPINA,chagas,viviendas evaluadas,2008-05-01,529,529
SAMAIPATA,chagas,viviendas evaluadas,2008-05-01,196,196
SAN BENITO,chagas,viviendas evaluadas,2008-05-01,201,201
SAN JULIAN,chagas,viviendas evaluadas,2008-05-01,106,106
SAN LORENZO(TJA),chagas,viviendas evaluadas,2008-05-01,661,661
SAN LUCAS,chagas,viviendas evaluadas,2008-05-01,171,171
SAN PEDRO DE BUENA VISTA,chagas,viviendas evaluadas,2008-05-01,385,385
SANTA CRUZ DE LA SIERRA,chagas,viviendas evaluadas,2008-05-01,0,0
SANTIVAÑES,chagas,viviendas evaluadas,2008-05-01,186,186
SAPAHAQUI,chagas,viviendas evaluadas,2008-05-01,178,178
SIPE SIPE,chagas,viviendas evaluadas,2008-05-01,354,354
SOPACHUY,chagas,viviendas evaluadas,2008-05-01,279,279
SUCRE,chagas,viviendas evaluadas,2008-05-01,667,667
TACACHI,chagas,viviendas evaluadas,2008-05-01,121,121
TACOPAYA,chagas,viviendas evaluadas,2008-05-01,144,144
TAPACARI,chagas,viviendas evaluadas,2008-05-01,378,378
TARATA,chagas,viviendas evaluadas,2008-05-01,376,376
TARVITA,chagas,viviendas evaluadas,2008-05-01,1609,1609
TIQUIPAYA,chagas,viviendas evaluadas,2008-05-01,42,42
TOCO,chagas,viviendas evaluadas,2008-05-01,338,338
TOLATA,chagas,viviendas evaluadas,2008-05-01,165,165
TOMINA,chagas,viviendas evaluadas,2008-05-01,253,253
TOTORA(CBBA),chagas,viviendas evaluadas,2008-05-01,375,375
URIONDO (A. CONCEPCION),chagas,viviendas evaluadas,2008-05-01,236,236
VALLEGRANDE,chagas,viviendas evaluadas,2008-05-01,86,86
VILA VILA,chagas,viviendas evaluadas,2008-05-01,305,305
VILLA RIVERO,chagas,viviendas evaluadas,2008-05-01,453,453
VILLAZON,chagas,viviendas evaluadas,2008-05-01,33,33
VINTO,chagas,viviendas evaluadas,2008-05-01,81,81
WARNES,chagas,viviendas evaluadas,2008-05-01,10,10
YANACACHI,chagas,viviendas evaluadas,2008-05-01,114,114
ZUDAÑEZ,chagas,viviendas evaluadas,2008-05-01,42,42
ACACIO,chagas,viviendas evaluadas,2008-06-01,225,225
AIQUILE,chagas,viviendas evaluadas,2008-06-01,931,931
ANZALDO,chagas,viviendas evaluadas,2008-06-01,285,285
