municipality,group,variable,month,Ingresos espontáneos,TOTAL
ACACIO,internaciones,ingresos espontaneos,2006-01-01,3,3
ACHACACHI,internaciones,ingresos espontaneos,2006-01-01,60,60
ACHOCALLA,internaciones,ingresos espontaneos,2006-01-01,9,9
AIQUILE,internaciones,ingresos espontaneos,2006-01-01,95,95
ALALAY,internaciones,ingresos espontaneos,2006-01-01,3,3
ALCALA,internaciones,ingresos espontaneos,2006-01-01,3,3
ANCORAIMES,internaciones,ingresos espontaneos,2006-01-01,3,3
ANDAMARCA,internaciones,ingresos espontaneos,2006-01-01,1,1
ANTEQUERA,internaciones,ingresos espontaneos,2006-01-01,4,4
ANZALDO,internaciones,ingresos espontaneos,2006-01-01,5,5
APOLO,internaciones,ingresos espontaneos,2006-01-01,24,24
ARAMPAMPA,internaciones,ingresos espontaneos,2006-01-01,1,1
ARANI,internaciones,ingresos espontaneos,2006-01-01,3,3
ARBIETO,internaciones,ingresos espontaneos,2006-01-01,1,1
ARQUE,internaciones,ingresos espontaneos,2006-01-01,2,2
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2006-01-01,189,189
ATOCHA,internaciones,ingresos espontaneos,2006-01-01,128,128
AYATA,internaciones,ingresos espontaneos,2006-01-01,2,2
AYO AYO,internaciones,ingresos espontaneos,2006-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2006-01-01,44,44
AZURDUY,internaciones,ingresos espontaneos,2006-01-01,23,23
BATALLAS,internaciones,ingresos espontaneos,2006-01-01,20,20
BAURES,internaciones,ingresos espontaneos,2006-01-01,14,14
BERMEJO,internaciones,ingresos espontaneos,2006-01-01,127,127
BETANZOS,internaciones,ingresos espontaneos,2006-01-01,23,23
BOLIVAR,internaciones,ingresos espontaneos,2006-01-01,10,10
BOYUIBE,internaciones,ingresos espontaneos,2006-01-01,26,26
BUENA VISTA,internaciones,ingresos espontaneos,2006-01-01,19,19
CABEZAS,internaciones,ingresos espontaneos,2006-01-01,42,42
CAIROMA,internaciones,ingresos espontaneos,2006-01-01,10,10
"CAIZA ""D""",internaciones,ingresos espontaneos,2006-01-01,1,1
CAJUATA,internaciones,ingresos espontaneos,2006-01-01,8,8
CALAMARCA,internaciones,ingresos espontaneos,2006-01-01,9,9
CAMARGO,internaciones,ingresos espontaneos,2006-01-01,264,264
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos espontaneos,2006-01-01,7,7
CAMIRI,internaciones,ingresos espontaneos,2006-01-01,265,265
CAPINOTA,internaciones,ingresos espontaneos,2006-01-01,42,42
CAQUIAVIRI,internaciones,ingresos espontaneos,2006-01-01,2,2
CARACOLLO,internaciones,ingresos espontaneos,2006-01-01,31,31
CARANAVI,internaciones,ingresos espontaneos,2006-01-01,153,153
CARIPUYO,internaciones,ingresos espontaneos,2006-01-01,2,2
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2006-01-01,19,19
CHALLAPATA,internaciones,ingresos espontaneos,2006-01-01,56,56
CHAQUI,internaciones,ingresos espontaneos,2006-01-01,2,2
CHARAGUA,internaciones,ingresos espontaneos,2006-01-01,102,102
CHAYANTA,internaciones,ingresos espontaneos,2006-01-01,16,16
CHIMORE,internaciones,ingresos espontaneos,2006-01-01,21,21
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos espontaneos,2006-01-01,99,99
CHUMA,internaciones,ingresos espontaneos,2006-01-01,3,3
CLIZA,internaciones,ingresos espontaneos,2006-01-01,24,24
COBIJA,internaciones,ingresos espontaneos,2006-01-01,265,265
COCHABAMBA,internaciones,ingresos espontaneos,2006-01-01,6083,6083
COLCAPIRHUA,internaciones,ingresos espontaneos,2006-01-01,93,93
COLOMI,internaciones,ingresos espontaneos,2006-01-01,42,42
COLPA BELGICA,internaciones,ingresos espontaneos,2006-01-01,17,17
COLQUECHACA,internaciones,ingresos espontaneos,2006-01-01,1,1
COLQUENCHA,internaciones,ingresos espontaneos,2006-01-01,1,1
COLQUIRI,internaciones,ingresos espontaneos,2006-01-01,29,29
COMANCHE,internaciones,ingresos espontaneos,2006-01-01,1,1
COMARAPA,internaciones,ingresos espontaneos,2006-01-01,96,96
CONCEPCION,internaciones,ingresos espontaneos,2006-01-01,52,52
COPACABANA,internaciones,ingresos espontaneos,2006-01-01,30,30
CORIPATA,internaciones,ingresos espontaneos,2006-01-01,18,18
CORO CORO,internaciones,ingresos espontaneos,2006-01-01,1,1
COROICO,internaciones,ingresos espontaneos,2006-01-01,77,77
CORQUE,internaciones,ingresos espontaneos,2006-01-01,2,2
COTAGAITA,internaciones,ingresos espontaneos,2006-01-01,38,38
COTOCA,internaciones,ingresos espontaneos,2006-01-01,111,111
CUATRO CAÑADAS,internaciones,ingresos espontaneos,2006-01-01,39,39
CUEVO,internaciones,ingresos espontaneos,2006-01-01,11,11
CULPINA,internaciones,ingresos espontaneos,2006-01-01,44,44
CURAHUARA DE CARANGAS,internaciones,ingresos espontaneos,2006-01-01,8,8
DESAGUADERO,internaciones,ingresos espontaneos,2006-01-01,5,5
EL ALTO,internaciones,ingresos espontaneos,2006-01-01,2394,2394
EL PUENTE(STC),internaciones,ingresos espontaneos,2006-01-01,13,13
EL TORNO,internaciones,ingresos espontaneos,2006-01-01,116,116
EL VILLAR,internaciones,ingresos espontaneos,2006-01-01,23,23
ENTRE RIOS,internaciones,ingresos espontaneos,2006-01-01,38,38
ENTRE RIOS,internaciones,ingresos espontaneos,2006-01-01,21,21
EUCALIPTUS,internaciones,ingresos espontaneos,2006-01-01,15,15
EXALTACION,internaciones,ingresos espontaneos,2006-01-01,4,4
FERNANDEZ ALONSO,internaciones,ingresos espontaneos,2006-01-01,32,32
FILADELFIA,internaciones,ingresos espontaneos,2006-01-01,2,2
GENERAL SAAVEDRA,internaciones,ingresos espontaneos,2006-01-01,29,29
GRAL. J.J. PEREZ (CHARAZANI),internaciones,ingresos espontaneos,2006-01-01,3,3
GUANAY,internaciones,ingresos espontaneos,2006-01-01,17,17
GUAQUI,internaciones,ingresos espontaneos,2006-01-01,1,1
GUAYARAMERIN,internaciones,ingresos espontaneos,2006-01-01,455,455
GUTIERREZ,internaciones,ingresos espontaneos,2006-01-01,20,20
HUACARETA,internaciones,ingresos espontaneos,2006-01-01,27,27
HUACAYA (VILLA DE HUACAYA),internaciones,ingresos espontaneos,2006-01-01,3,3
HUANUNI,internaciones,ingresos espontaneos,2006-01-01,61,61
HUARACAJE,internaciones,ingresos espontaneos,2006-01-01,12,12
HUAYLLAMARCA,internaciones,ingresos espontaneos,2006-01-01,8,8
ICLA,internaciones,ingresos espontaneos,2006-01-01,1,1
INCAHUASI,internaciones,ingresos espontaneos,2006-01-01,24,24
INQUISIVI,internaciones,ingresos espontaneos,2006-01-01,18,18
IRUPANA (VILLA DE LANZA),internaciones,ingresos espontaneos,2006-01-01,14,14
IXIAMAS,internaciones,ingresos espontaneos,2006-01-01,23,23
JESUS DE MACHACA,internaciones,ingresos espontaneos,2006-01-01,5,5
LA ASUNTA,internaciones,ingresos espontaneos,2006-01-01,64,64
LA GUARDIA,internaciones,ingresos espontaneos,2006-01-01,138,138
