municipality,group,variable,month,Ingresos referidos de otros establecimientos,TOTAL
ACACIO,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
AIQUILE,internaciones,ingresos referidos de otros establecimientos,2006-01-01,7,7
APOLO,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
ARBIETO,internaciones,ingresos referidos de otros establecimientos,2006-01-01,4,4
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos,2006-01-01,16,16
ATOCHA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,43,43
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos,2006-01-01,7,7
BETANZOS,internaciones,ingresos referidos de otros establecimientos,2006-01-01,6,6
BOLIVAR,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
CABEZAS,internaciones,ingresos referidos de otros establecimientos,2006-01-01,2,2
CAMARGO,internaciones,ingresos referidos de otros establecimientos,2006-01-01,13,13
CAMIRI,internaciones,ingresos referidos de otros establecimientos,2006-01-01,2,2
CARANAVI,internaciones,ingresos referidos de otros establecimientos,2006-01-01,15,15
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,2,2
CHARAGUA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,2,2
COBIJA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,47,47
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,36,36
COMARAPA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,4,4
CONCEPCION,internaciones,ingresos referidos de otros establecimientos,2006-01-01,3,3
CORO CORO,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
COROICO,internaciones,ingresos referidos de otros establecimientos,2006-01-01,15,15
COTAGAITA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,4,4
CULPINA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
EL ALTO,internaciones,ingresos referidos de otros establecimientos,2006-01-01,154,154
EL TORNO,internaciones,ingresos referidos de otros establecimientos,2006-01-01,5,5
EL VILLAR,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
ENTRE RIOS,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
