municipality,group,variable,month,Días camas disponibles otros servicios,TOTAL
ACHACACHI,internaciones,dias camas disponibles otros servicios,2006-01-01,465,465
AIQUILE,internaciones,dias camas disponibles otros servicios,2006-01-01,1302,1302
ALALAY,internaciones,dias camas disponibles otros servicios,2006-01-01,60,60
ALCALA,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
ANCORAIMES,internaciones,dias camas disponibles otros servicios,2006-01-01,93,93
ANDAMARCA,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
ANTEQUERA,internaciones,dias camas disponibles otros servicios,2006-01-01,60,60
ANZALDO,internaciones,dias camas disponibles otros servicios,2006-01-01,56,56
APOLO,internaciones,dias camas disponibles otros servicios,2006-01-01,93,93
ARAMPAMPA,internaciones,dias camas disponibles otros servicios,2006-01-01,155,155
ARANI,internaciones,dias camas disponibles otros servicios,2006-01-01,121,121
ARBIETO,internaciones,dias camas disponibles otros servicios,2006-01-01,60,60
ARQUE,internaciones,dias camas disponibles otros servicios,2006-01-01,217,217
ASCENCION DE GUARAYOS,internaciones,dias camas disponibles otros servicios,2006-01-01,837,837
ATOCHA,internaciones,dias camas disponibles otros servicios,2006-01-01,1643,1643
AYATA,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas disponibles otros servicios,2006-01-01,1457,1457
AZURDUY,internaciones,dias camas disponibles otros servicios,2006-01-01,558,558
BATALLAS,internaciones,dias camas disponibles otros servicios,2006-01-01,93,93
BAURES,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
BERMEJO,internaciones,dias camas disponibles otros servicios,2006-01-01,1347,1347
BETANZOS,internaciones,dias camas disponibles otros servicios,2006-01-01,372,372
BOLIVAR,internaciones,dias camas disponibles otros servicios,2006-01-01,155,155
BOYUIBE,internaciones,dias camas disponibles otros servicios,2006-01-01,541,541
BUENA VISTA,internaciones,dias camas disponibles otros servicios,2006-01-01,769,769
CABEZAS,internaciones,dias camas disponibles otros servicios,2006-01-01,589,589
CAIROMA,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
"CAIZA ""D""",internaciones,dias camas disponibles otros servicios,2006-01-01,120,120
CALAMARCA,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
CAMARGO,internaciones,dias camas disponibles otros servicios,2006-01-01,1023,1023
CAMATAQUI (C. VILLA ABECIA),internaciones,dias camas disponibles otros servicios,2006-01-01,93,93
CAMIRI,internaciones,dias camas disponibles otros servicios,2006-01-01,1178,1178
CAPINOTA,internaciones,dias camas disponibles otros servicios,2006-01-01,403,403
CARACOLLO,internaciones,dias camas disponibles otros servicios,2006-01-01,155,155
CARANAVI,internaciones,dias camas disponibles otros servicios,2006-01-01,1235,1235
CARIPUYO,internaciones,dias camas disponibles otros servicios,2006-01-01,155,155
CARMEN RIVERO TORREZ,internaciones,dias camas disponibles otros servicios,2006-01-01,1,1
CHALLAPATA,internaciones,dias camas disponibles otros servicios,2006-01-01,558,558
CHAQUI,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
CHARAGUA,internaciones,dias camas disponibles otros servicios,2006-01-01,1045,1045
CHAYANTA,internaciones,dias camas disponibles otros servicios,2006-01-01,124,124
CHIMORE,internaciones,dias camas disponibles otros servicios,2006-01-01,124,124
CHULUMANI (V. DE LA LIBERTAD),internaciones,dias camas disponibles otros servicios,2006-01-01,868,868
CHUMA,internaciones,dias camas disponibles otros servicios,2006-01-01,155,155
CLIZA,internaciones,dias camas disponibles otros servicios,2006-01-01,186,186
COBIJA,internaciones,dias camas disponibles otros servicios,2006-01-01,1787,1787
COCHABAMBA,internaciones,dias camas disponibles otros servicios,2006-01-01,51243,51243
COLCAPIRHUA,internaciones,dias camas disponibles otros servicios,2006-01-01,1178,1178
"COLCHA ""K""",internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
COLOMI,internaciones,dias camas disponibles otros servicios,2006-01-01,217,217
COLPA BELGICA,internaciones,dias camas disponibles otros servicios,2006-01-01,155,155
COLQUECHACA,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
COLQUIRI,internaciones,dias camas disponibles otros servicios,2006-01-01,217,217
COMARAPA,internaciones,dias camas disponibles otros servicios,2006-01-01,713,713
CONCEPCION,internaciones,dias camas disponibles otros servicios,2006-01-01,310,310
COPACABANA,internaciones,dias camas disponibles otros servicios,2006-01-01,248,248
CORIPATA,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
CORO CORO,internaciones,dias camas disponibles otros servicios,2006-01-01,186,186
COROICO,internaciones,dias camas disponibles otros servicios,2006-01-01,992,992
CORQUE,internaciones,dias camas disponibles otros servicios,2006-01-01,31,31
COTAGAITA,internaciones,dias camas disponibles otros servicios,2006-01-01,279,279
COTOCA,internaciones,dias camas disponibles otros servicios,2006-01-01,651,651
CUATRO CAÑADAS,internaciones,dias camas disponibles otros servicios,2006-01-01,341,341
CUEVO,internaciones,dias camas disponibles otros servicios,2006-01-01,186,186
CULPINA,internaciones,dias camas disponibles otros servicios,2006-01-01,496,496
CURAHUARA DE CARANGAS,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
DESAGUADERO,internaciones,dias camas disponibles otros servicios,2006-01-01,104,104
EL ALTO,internaciones,dias camas disponibles otros servicios,2006-01-01,12865,12865
EL PUENTE(STC),internaciones,dias camas disponibles otros servicios,2006-01-01,155,155
EL PUENTE(TJA),internaciones,dias camas disponibles otros servicios,2006-01-01,90,90
EL TORNO,internaciones,dias camas disponibles otros servicios,2006-01-01,1612,1612
EL VILLAR,internaciones,dias camas disponibles otros servicios,2006-01-01,93,93
ENTRE RIOS,internaciones,dias camas disponibles otros servicios,2006-01-01,496,496
ENTRE RIOS,internaciones,dias camas disponibles otros servicios,2006-01-01,341,341
EUCALIPTUS,internaciones,dias camas disponibles otros servicios,2006-01-01,155,155
EXALTACION,internaciones,dias camas disponibles otros servicios,2006-01-01,96,96
FERNANDEZ ALONSO,internaciones,dias camas disponibles otros servicios,2006-01-01,403,403
FILADELFIA,internaciones,dias camas disponibles otros servicios,2006-01-01,90,90
GENERAL SAAVEDRA,internaciones,dias camas disponibles otros servicios,2006-01-01,248,248
GRAL. J.J. PEREZ (CHARAZANI),internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
GUANAY,internaciones,dias camas disponibles otros servicios,2006-01-01,186,186
GUAYARAMERIN,internaciones,dias camas disponibles otros servicios,2006-01-01,1562,1562
GUTIERREZ,internaciones,dias camas disponibles otros servicios,2006-01-01,330,330
HUACARETA,internaciones,dias camas disponibles otros servicios,2006-01-01,527,527
HUACAYA (VILLA DE HUACAYA),internaciones,dias camas disponibles otros servicios,2006-01-01,124,124
HUANUNI,internaciones,dias camas disponibles otros servicios,2006-01-01,186,186
HUARACAJE,internaciones,dias camas disponibles otros servicios,2006-01-01,31,31
HUAYLLAMARCA,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
ICLA,internaciones,dias camas disponibles otros servicios,2006-01-01,93,93
INCAHUASI,internaciones,dias camas disponibles otros servicios,2006-01-01,217,217
INQUISIVI,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
IRUPANA (VILLA DE LANZA),internaciones,dias camas disponibles otros servicios,2006-01-01,403,403
IXIAMAS,internaciones,dias camas disponibles otros servicios,2006-01-01,93,93
JESUS DE MACHACA,internaciones,dias camas disponibles otros servicios,2006-01-01,186,186
LA ASUNTA,internaciones,dias camas disponibles otros servicios,2006-01-01,372,372
LA GUARDIA,internaciones,dias camas disponibles otros servicios,2006-01-01,341,341
LA PAZ,internaciones,dias camas disponibles otros servicios,2006-01-01,68715,68715
LAGUNILLAS,internaciones,dias camas disponibles otros servicios,2006-01-01,124,124
LAS CARRERAS,internaciones,dias camas disponibles otros servicios,2006-01-01,186,186
LLALLAGUA,internaciones,dias camas disponibles otros servicios,2006-01-01,713,713
LLICA,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
LURIBAY,internaciones,dias camas disponibles otros servicios,2006-01-01,124,124
MACHACAMARCA,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
MACHARETI,internaciones,dias camas disponibles otros servicios,2006-01-01,527,527
MAGDALENA,internaciones,dias camas disponibles otros servicios,2006-01-01,248,248
MAIRANA,internaciones,dias camas disponibles otros servicios,2006-01-01,186,186
MAPIRI,internaciones,dias camas disponibles otros servicios,2006-01-01,31,31
MINEROS,internaciones,dias camas disponibles otros servicios,2006-01-01,341,341
MIZQUE,internaciones,dias camas disponibles otros servicios,2006-01-01,651,651
MOCOMOCO,internaciones,dias camas disponibles otros servicios,2006-01-01,31,31
MOJOCOYA,internaciones,dias camas disponibles otros servicios,2006-01-01,217,217
MONTEAGUDO,internaciones,dias camas disponibles otros servicios,2006-01-01,1240,1240
MONTERO,internaciones,dias camas disponibles otros servicios,2006-01-01,1922,1922
MORO MORO,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
MOROCHATA,internaciones,dias camas disponibles otros servicios,2006-01-01,217,217
OKINAWA,internaciones,dias camas disponibles otros servicios,2006-01-01,93,93
OMEREQUE,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
ORURO,internaciones,dias camas disponibles otros servicios,2006-01-01,12172,12172
PADILLA,internaciones,dias camas disponibles otros servicios,2006-01-01,341,341
PAILON,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
PALOS BLANCOS,internaciones,dias camas disponibles otros servicios,2006-01-01,403,403
PAMPA AULLAGAS,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
PAMPA GRANDE,internaciones,dias camas disponibles otros servicios,2006-01-01,124,124
PAPEL PAMPA,internaciones,dias camas disponibles otros servicios,2006-01-01,31,31
PASORAPA,internaciones,dias camas disponibles otros servicios,2006-01-01,93,93
PATACAMAYA,internaciones,dias camas disponibles otros servicios,2006-01-01,217,217
PAZÑA,internaciones,dias camas disponibles otros servicios,2006-01-01,31,31
POCOATA,internaciones,dias camas disponibles otros servicios,2006-01-01,93,93
POCONA,internaciones,dias camas disponibles otros servicios,2006-01-01,341,341
POJO (CBBA),internaciones,dias camas disponibles otros servicios,2006-01-01,186,186
POOPO,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
PORCO,internaciones,dias camas disponibles otros servicios,2006-01-01,31,31
POROMA,internaciones,dias camas disponibles otros servicios,2006-01-01,521,521
PORONGO,internaciones,dias camas disponibles otros servicios,2006-01-01,341,341
PORTACHUELO,internaciones,dias camas disponibles otros servicios,2006-01-01,1302,1302
PORVENIR,internaciones,dias camas disponibles otros servicios,2006-01-01,90,90
POSTRER VALLE,internaciones,dias camas disponibles otros servicios,2006-01-01,31,31
POTOSI,internaciones,dias camas disponibles otros servicios,2006-01-01,9083,9083
PRESTO,internaciones,dias camas disponibles otros servicios,2006-01-01,124,124
PUCARA,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
PUCARANI,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
PUERTO ACOSTA,internaciones,dias camas disponibles otros servicios,2006-01-01,465,465
PUERTO CARABUCO,internaciones,dias camas disponibles otros servicios,2006-01-01,31,31
PUERTO GONZALO MORENO,internaciones,dias camas disponibles otros servicios,2006-01-01,93,93
PUERTO QUIJARRO,internaciones,dias camas disponibles otros servicios,2006-01-01,372,372
PUERTO RICO,internaciones,dias camas disponibles otros servicios,2006-01-01,186,186
PUERTO SUAREZ,internaciones,dias camas disponibles otros servicios,2006-01-01,868,868
PUERTO VILLARROEL,internaciones,dias camas disponibles otros servicios,2006-01-01,930,930
PUNA,internaciones,dias camas disponibles otros servicios,2006-01-01,341,341
PUNATA,internaciones,dias camas disponibles otros servicios,2006-01-01,775,775
QUILLACOLLO,internaciones,dias camas disponibles otros servicios,2006-01-01,899,899
QUIME,internaciones,dias camas disponibles otros servicios,2006-01-01,279,279
QUIRUSILLAS,internaciones,dias camas disponibles otros servicios,2006-01-01,31,31
RAVELO,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
REYES,internaciones,dias camas disponibles otros servicios,2006-01-01,186,186
RIBERALTA,internaciones,dias camas disponibles otros servicios,2006-01-01,2263,2263
ROBORE,internaciones,dias camas disponibles otros servicios,2006-01-01,1049,1049
RURRENABAQUE,internaciones,dias camas disponibles otros servicios,2006-01-01,403,403
SACABA,internaciones,dias camas disponibles otros servicios,2006-01-01,1705,1705
SACABAMBA,internaciones,dias camas disponibles otros servicios,2006-01-01,56,56
SACACA,internaciones,dias camas disponibles otros servicios,2006-01-01,310,310
SAIPINA,internaciones,dias camas disponibles otros servicios,2006-01-01,93,93
SALINAS DE GARCI MENDOZA,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
SAMAIPATA,internaciones,dias camas disponibles otros servicios,2006-01-01,124,124
SAN ANTONIO DE LOMERIO,internaciones,dias camas disponibles otros servicios,2006-01-01,93,93
SAN BENITO,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
SAN BORJA,internaciones,dias camas disponibles otros servicios,2006-01-01,496,496
SAN BUENA VENTURA,internaciones,dias camas disponibles otros servicios,2006-01-01,217,217
SAN CARLOS,internaciones,dias camas disponibles otros servicios,2006-01-01,1240,1240
SAN IGNACIO,internaciones,dias camas disponibles otros servicios,2006-01-01,497,497
SAN IGNACIO DE VELASCO,internaciones,dias camas disponibles otros servicios,2006-01-01,3286,3286
SAN JAVIER(STC),internaciones,dias camas disponibles otros servicios,2006-01-01,155,155
SAN JOAQUIN,internaciones,dias camas disponibles otros servicios,2006-01-01,124,124
SAN JOSE DE CHIQUITOS,internaciones,dias camas disponibles otros servicios,2006-01-01,589,589
SAN JUAN DE YAPACANI,internaciones,dias camas disponibles otros servicios,2006-01-01,561,561
SAN JULIAN,internaciones,dias camas disponibles otros servicios,2006-01-01,1643,1643
SAN LORENZO(TJA),internaciones,dias camas disponibles otros servicios,2006-01-01,108,108
SAN LUCAS,internaciones,dias camas disponibles otros servicios,2006-01-01,462,462
SAN MATIAS,internaciones,dias camas disponibles otros servicios,2006-01-01,713,713
SAN MIGUEL DE VELASCO,internaciones,dias camas disponibles otros servicios,2006-01-01,341,341
SAN PEDRO,internaciones,dias camas disponibles otros servicios,2006-01-01,606,606
SAN PEDRO DE BUENA VISTA,internaciones,dias camas disponibles otros servicios,2006-01-01,155,155
SAN PEDRO DE TIQUINA,internaciones,dias camas disponibles otros servicios,2006-01-01,62,62
SAN RAFAEL,internaciones,dias camas disponibles otros servicios,2006-01-01,248,248
SAN RAMON,internaciones,dias camas disponibles otros servicios,2006-01-01,124,124
SAN RAMON,internaciones,dias camas disponibles otros servicios,2006-01-01,341,341
SANTA ANA,internaciones,dias camas disponibles otros servicios,2006-01-01,186,186
