municipality,group,variable,month,Fallecidos antes de las 48 horas,TOTAL
ACACIO,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
AIQUILE,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 horas,2006-01-01,2,2
ATOCHA,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
BERMEJO,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
CAMARGO,internaciones,fallecidos antes de las 48 horas,2006-01-01,3,3
CAMIRI,internaciones,fallecidos antes de las 48 horas,2006-01-01,3,3
CARANAVI,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
CHARAGUA,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
CHAYANTA,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2006-01-01,42,42
COLCAPIRHUA,internaciones,fallecidos antes de las 48 horas,2006-01-01,2,2
COMARAPA,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
COROICO,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
CUATRO CAÑADAS,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
CULPINA,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2006-01-01,7,7
EL VILLAR,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2006-01-01,2,2
HUACARETA,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
IXIAMAS,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
LA ASUNTA,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
LA PAZ,internaciones,fallecidos antes de las 48 horas,2006-01-01,69,69
LLALLAGUA,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
MAGDALENA,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
MAPIRI,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2006-01-01,2,2
MONTERO,internaciones,fallecidos antes de las 48 horas,2006-01-01,3,3
ORURO,internaciones,fallecidos antes de las 48 horas,2006-01-01,11,11
PADILLA,internaciones,fallecidos antes de las 48 horas,2006-01-01,2,2
PALOS BLANCOS,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2006-01-01,10,10
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2006-01-01,3,3
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2006-01-01,2,2
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2006-01-01,2,2
ROBORE,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
SACABA,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
SAN ANTONIO DE LOMERIO,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2006-01-01,2,2
SAN JULIAN,internaciones,fallecidos antes de las 48 horas,2006-01-01,2,2
SAN LUCAS,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
SAN PEDRO,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
SANTA ANA,internaciones,fallecidos antes de las 48 horas,2006-01-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2006-01-01,43,43
SUCRE,internaciones,fallecidos antes de las 48 horas,2006-01-01,16,16
TARABUCO,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
TARIJA,internaciones,fallecidos antes de las 48 horas,2006-01-01,7,7
TARVITA,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
TIPUANI,internaciones,fallecidos antes de las 48 horas,2006-01-01,3,3
TIRAQUE (CBBA),internaciones,fallecidos antes de las 48 horas,2006-01-01,4,4
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2006-01-01,14,14
TUPIZA,internaciones,fallecidos antes de las 48 horas,2006-01-01,2,2
UNCIA,internaciones,fallecidos antes de las 48 horas,2006-01-01,4,4
VILLA MONTES,internaciones,fallecidos antes de las 48 horas,2006-01-01,2,2
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2006-01-01,2,2
VILLAZON,internaciones,fallecidos antes de las 48 horas,2006-01-01,3,3
YACUIBA,internaciones,fallecidos antes de las 48 horas,2006-01-01,8,8
ZUDAÑEZ,internaciones,fallecidos antes de las 48 horas,2006-01-01,1,1
ACHACACHI,internaciones,fallecidos antes de las 48 horas,2006-02-01,1,1
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 horas,2006-02-01,1,1
CAMARGO,internaciones,fallecidos antes de las 48 horas,2006-02-01,1,1
CAMIRI,internaciones,fallecidos antes de las 48 horas,2006-02-01,11,11
CAPINOTA,internaciones,fallecidos antes de las 48 horas,2006-02-01,1,1
CARACOLLO,internaciones,fallecidos antes de las 48 horas,2006-02-01,1,1
CARANAVI,internaciones,fallecidos antes de las 48 horas,2006-02-01,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 horas,2006-02-01,1,1
COBIJA,internaciones,fallecidos antes de las 48 horas,2006-02-01,2,2
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2006-02-01,28,28
COLPA BELGICA,internaciones,fallecidos antes de las 48 horas,2006-02-01,1,1
CONCEPCION,internaciones,fallecidos antes de las 48 horas,2006-02-01,1,1
COPACABANA,internaciones,fallecidos antes de las 48 horas,2006-02-01,1,1
COROICO,internaciones,fallecidos antes de las 48 horas,2006-02-01,1,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2006-02-01,12,12
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2006-02-01,5,5
HUANUNI,internaciones,fallecidos antes de las 48 horas,2006-02-01,1,1
LA PAZ,internaciones,fallecidos antes de las 48 horas,2006-02-01,80,80
LLALLAGUA,internaciones,fallecidos antes de las 48 horas,2006-02-01,2,2
MACHARETI,internaciones,fallecidos antes de las 48 horas,2006-02-01,1,1
MAIRANA,internaciones,fallecidos antes de las 48 horas,2006-02-01,1,1
MAPIRI,internaciones,fallecidos antes de las 48 horas,2006-02-01,1,1
MIZQUE,internaciones,fallecidos antes de las 48 horas,2006-02-01,1,1
MONTERO,internaciones,fallecidos antes de las 48 horas,2006-02-01,7,7
OCURI,internaciones,fallecidos antes de las 48 horas,2006-02-01,1,1
ORURO,internaciones,fallecidos antes de las 48 horas,2006-02-01,12,12
PADILLA,internaciones,fallecidos antes de las 48 horas,2006-02-01,2,2
PALOS BLANCOS,internaciones,fallecidos antes de las 48 horas,2006-02-01,3,3
PATACAMAYA,internaciones,fallecidos antes de las 48 horas,2006-02-01,1,1
PORTACHUELO,internaciones,fallecidos antes de las 48 horas,2006-02-01,1,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2006-02-01,22,22
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2006-02-01,2,2
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2006-02-01,4,4
PUNATA,internaciones,fallecidos antes de las 48 horas,2006-02-01,3,3
QUIME,internaciones,fallecidos antes de las 48 horas,2006-02-01,1,1
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2006-02-01,7,7
ROBORE,internaciones,fallecidos antes de las 48 horas,2006-02-01,2,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2006-02-01,2,2
SAN JOAQUIN,internaciones,fallecidos antes de las 48 horas,2006-02-01,1,1
SAN JULIAN,internaciones,fallecidos antes de las 48 horas,2006-02-01,1,1
SANTA ANA,internaciones,fallecidos antes de las 48 horas,2006-02-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2006-02-01,82,82
SUCRE,internaciones,fallecidos antes de las 48 horas,2006-02-01,10,10
TARIJA,internaciones,fallecidos antes de las 48 horas,2006-02-01,34,34
TORO TORO,internaciones,fallecidos antes de las 48 horas,2006-02-01,1,1
