municipality,group,variable,month,Días camas ocupadas maternidad,TOTAL
ACACIO,internaciones,dias camas ocupadas maternidad,2006-01-01,7,7
ACHACACHI,internaciones,dias camas ocupadas maternidad,2006-01-01,34,34
ACHOCALLA,internaciones,dias camas ocupadas maternidad,2006-01-01,9,9
AIQUILE,internaciones,dias camas ocupadas maternidad,2006-01-01,48,48
ALALAY,internaciones,dias camas ocupadas maternidad,2006-01-01,5,5
ALCALA,internaciones,dias camas ocupadas maternidad,2006-01-01,9,9
ANCORAIMES,internaciones,dias camas ocupadas maternidad,2006-01-01,2,2
ANTEQUERA,internaciones,dias camas ocupadas maternidad,2006-01-01,8,8
ANZALDO,internaciones,dias camas ocupadas maternidad,2006-01-01,10,10
APOLO,internaciones,dias camas ocupadas maternidad,2006-01-01,30,30
ARAMPAMPA,internaciones,dias camas ocupadas maternidad,2006-01-01,2,2
ARANI,internaciones,dias camas ocupadas maternidad,2006-01-01,6,6
ARBIETO,internaciones,dias camas ocupadas maternidad,2006-01-01,4,4
ARQUE,internaciones,dias camas ocupadas maternidad,2006-01-01,8,8
ASCENCION DE GUARAYOS,internaciones,dias camas ocupadas maternidad,2006-01-01,91,91
ATOCHA,internaciones,dias camas ocupadas maternidad,2006-01-01,103,103
AYATA,internaciones,dias camas ocupadas maternidad,2006-01-01,2,2
AYO AYO,internaciones,dias camas ocupadas maternidad,2006-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas ocupadas maternidad,2006-01-01,49,49
AZURDUY,internaciones,dias camas ocupadas maternidad,2006-01-01,16,16
BATALLAS,internaciones,dias camas ocupadas maternidad,2006-01-01,14,14
BAURES,internaciones,dias camas ocupadas maternidad,2006-01-01,17,17
BERMEJO,internaciones,dias camas ocupadas maternidad,2006-01-01,89,89
BETANZOS,internaciones,dias camas ocupadas maternidad,2006-01-01,28,28
BOLIVAR,internaciones,dias camas ocupadas maternidad,2006-01-01,7,7
BOYUIBE,internaciones,dias camas ocupadas maternidad,2006-01-01,16,16
BUENA VISTA,internaciones,dias camas ocupadas maternidad,2006-01-01,30,30
CABEZAS,internaciones,dias camas ocupadas maternidad,2006-01-01,24,24
CAIROMA,internaciones,dias camas ocupadas maternidad,2006-01-01,11,11
"CAIZA ""D""",internaciones,dias camas ocupadas maternidad,2006-01-01,2,2
CAJUATA,internaciones,dias camas ocupadas maternidad,2006-01-01,8,8
CALAMARCA,internaciones,dias camas ocupadas maternidad,2006-01-01,7,7
CAMARGO,internaciones,dias camas ocupadas maternidad,2006-01-01,97,97
CAMATAQUI (C. VILLA ABECIA),internaciones,dias camas ocupadas maternidad,2006-01-01,14,14
CAMIRI,internaciones,dias camas ocupadas maternidad,2006-01-01,58,58
CAPINOTA,internaciones,dias camas ocupadas maternidad,2006-01-01,81,81
CAQUIAVIRI,internaciones,dias camas ocupadas maternidad,2006-01-01,4,4
CARACOLLO,internaciones,dias camas ocupadas maternidad,2006-01-01,49,49
CARANAVI,internaciones,dias camas ocupadas maternidad,2006-01-01,134,134
CARIPUYO,internaciones,dias camas ocupadas maternidad,2006-01-01,2,2
CARMEN RIVERO TORREZ,internaciones,dias camas ocupadas maternidad,2006-01-01,8,8
CHALLAPATA,internaciones,dias camas ocupadas maternidad,2006-01-01,59,59
CHAQUI,internaciones,dias camas ocupadas maternidad,2006-01-01,5,5
CHARAGUA,internaciones,dias camas ocupadas maternidad,2006-01-01,62,62
CHAYANTA,internaciones,dias camas ocupadas maternidad,2006-01-01,28,28
CHIMORE,internaciones,dias camas ocupadas maternidad,2006-01-01,26,26
CHULUMANI (V. DE LA LIBERTAD),internaciones,dias camas ocupadas maternidad,2006-01-01,52,52
CHUMA,internaciones,dias camas ocupadas maternidad,2006-01-01,1,1
CLIZA,internaciones,dias camas ocupadas maternidad,2006-01-01,32,32
COBIJA,internaciones,dias camas ocupadas maternidad,2006-01-01,319,319
COCHABAMBA,internaciones,dias camas ocupadas maternidad,2006-01-01,4165,4165
COLCAPIRHUA,internaciones,dias camas ocupadas maternidad,2006-01-01,50,50
"COLCHA ""K""",internaciones,dias camas ocupadas maternidad,2006-01-01,3,3
COLOMI,internaciones,dias camas ocupadas maternidad,2006-01-01,54,54
COLPA BELGICA,internaciones,dias camas ocupadas maternidad,2006-01-01,12,12
COLQUECHACA,internaciones,dias camas ocupadas maternidad,2006-01-01,1,1
COLQUENCHA,internaciones,dias camas ocupadas maternidad,2006-01-01,2,2
COLQUIRI,internaciones,dias camas ocupadas maternidad,2006-01-01,41,41
COMANCHE,internaciones,dias camas ocupadas maternidad,2006-01-01,1,1
COMARAPA,internaciones,dias camas ocupadas maternidad,2006-01-01,82,82
CONCEPCION,internaciones,dias camas ocupadas maternidad,2006-01-01,48,48
COPACABANA,internaciones,dias camas ocupadas maternidad,2006-01-01,37,37
CORIPATA,internaciones,dias camas ocupadas maternidad,2006-01-01,18,18
CORO CORO,internaciones,dias camas ocupadas maternidad,2006-01-01,6,6
COROICO,internaciones,dias camas ocupadas maternidad,2006-01-01,44,44
CORQUE,internaciones,dias camas ocupadas maternidad,2006-01-01,1,1
COTAGAITA,internaciones,dias camas ocupadas maternidad,2006-01-01,41,41
COTOCA,internaciones,dias camas ocupadas maternidad,2006-01-01,113,113
CUATRO CAÑADAS,internaciones,dias camas ocupadas maternidad,2006-01-01,27,27
CUEVO,internaciones,dias camas ocupadas maternidad,2006-01-01,2,2
CULPINA,internaciones,dias camas ocupadas maternidad,2006-01-01,106,106
CURAHUARA DE CARANGAS,internaciones,dias camas ocupadas maternidad,2006-01-01,9,9
DESAGUADERO,internaciones,dias camas ocupadas maternidad,2006-01-01,5,5
EL ALTO,internaciones,dias camas ocupadas maternidad,2006-01-01,2641,2641
EL PUENTE(STC),internaciones,dias camas ocupadas maternidad,2006-01-01,18,18
EL PUENTE(TJA),internaciones,dias camas ocupadas maternidad,2006-01-01,14,14
EL TORNO,internaciones,dias camas ocupadas maternidad,2006-01-01,136,136
EL VILLAR,internaciones,dias camas ocupadas maternidad,2006-01-01,28,28
ENTRE RIOS,internaciones,dias camas ocupadas maternidad,2006-01-01,23,23
ENTRE RIOS,internaciones,dias camas ocupadas maternidad,2006-01-01,19,19
EUCALIPTUS,internaciones,dias camas ocupadas maternidad,2006-01-01,16,16
