municipality,group,variable,month,Fallecidos a partir de las 48 horas,TOTAL
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 horas,2006-01-01,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2006-01-01,2,2
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2006-01-01,2,2
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2006-01-01,1,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2006-01-01,2,2
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2006-01-01,96,96
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 horas,2006-01-01,2,2
COROICO,internaciones,fallecidos a partir de las 48 horas,2006-01-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2006-01-01,11,11
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2006-01-01,1,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2006-01-01,2,2
GUTIERREZ,internaciones,fallecidos a partir de las 48 horas,2006-01-01,9,9
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2006-01-01,147,147
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2006-01-01,1,1
ORURO,internaciones,fallecidos a partir de las 48 horas,2006-01-01,41,41
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2006-01-01,1,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2006-01-01,15,15
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2006-01-01,2,2
PUNATA,internaciones,fallecidos a partir de las 48 horas,2006-01-01,2,2
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2006-01-01,6,6
ROBORE,internaciones,fallecidos a partir de las 48 horas,2006-01-01,2,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2006-01-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2006-01-01,134,134
SUCRE,internaciones,fallecidos a partir de las 48 horas,2006-01-01,17,17
TARIJA,internaciones,fallecidos a partir de las 48 horas,2006-01-01,25,25
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2006-01-01,4,4
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2006-01-01,11,11
UNCIA,internaciones,fallecidos a partir de las 48 horas,2006-01-01,2,2
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2006-01-01,1,1
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2006-01-01,2,2
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2006-01-01,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2006-01-01,2,2
YAPACANI,internaciones,fallecidos a partir de las 48 horas,2006-01-01,1,1
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 horas,2006-02-01,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2006-02-01,1,1
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2006-02-01,2,2
