municipality,group,variable,month,Egresos,TOTAL
ACACIO,internaciones,egresos,2006-01-01,4,4
ACHACACHI,internaciones,egresos,2006-01-01,60,60
ACHOCALLA,internaciones,egresos,2006-01-01,9,9
AIQUILE,internaciones,egresos,2006-01-01,96,96
ALALAY,internaciones,egresos,2006-01-01,3,3
ALCALA,internaciones,egresos,2006-01-01,3,3
ANCORAIMES,internaciones,egresos,2006-01-01,3,3
ANDAMARCA,internaciones,egresos,2006-01-01,1,1
ANTEQUERA,internaciones,egresos,2006-01-01,4,4
ANZALDO,internaciones,egresos,2006-01-01,5,5
APOLO,internaciones,egresos,2006-01-01,21,21
ARAMPAMPA,internaciones,egresos,2006-01-01,1,1
ARANI,internaciones,egresos,2006-01-01,3,3
ARBIETO,internaciones,egresos,2006-01-01,1,1
ARQUE,internaciones,egresos,2006-01-01,2,2
ASCENCION DE GUARAYOS,internaciones,egresos,2006-01-01,178,178
ATOCHA,internaciones,egresos,2006-01-01,150,150
AYATA,internaciones,egresos,2006-01-01,2,2
AYO AYO,internaciones,egresos,2006-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),internaciones,egresos,2006-01-01,53,53
AZURDUY,internaciones,egresos,2006-01-01,21,21
BATALLAS,internaciones,egresos,2006-01-01,20,20
BAURES,internaciones,egresos,2006-01-01,14,14
BERMEJO,internaciones,egresos,2006-01-01,130,130
BETANZOS,internaciones,egresos,2006-01-01,27,27
BOLIVAR,internaciones,egresos,2006-01-01,11,11
BOYUIBE,internaciones,egresos,2006-01-01,23,23
BUENA VISTA,internaciones,egresos,2006-01-01,15,15
CABEZAS,internaciones,egresos,2006-01-01,44,44
CAIROMA,internaciones,egresos,2006-01-01,10,10
"CAIZA ""D""",internaciones,egresos,2006-01-01,1,1
CAJUATA,internaciones,egresos,2006-01-01,8,8
CALAMARCA,internaciones,egresos,2006-01-01,9,9
CAMARGO,internaciones,egresos,2006-01-01,254,254
CAMATAQUI (C. VILLA ABECIA),internaciones,egresos,2006-01-01,8,8
CAMIRI,internaciones,egresos,2006-01-01,259,259
CAPINOTA,internaciones,egresos,2006-01-01,42,42
CAQUIAVIRI,internaciones,egresos,2006-01-01,2,2
CARACOLLO,internaciones,egresos,2006-01-01,31,31
CARANAVI,internaciones,egresos,2006-01-01,136,136
CARIPUYO,internaciones,egresos,2006-01-01,2,2
CARMEN RIVERO TORREZ,internaciones,egresos,2006-01-01,19,19
CHALLAPATA,internaciones,egresos,2006-01-01,58,58
CHAQUI,internaciones,egresos,2006-01-01,2,2
CHARAGUA,internaciones,egresos,2006-01-01,100,100
CHAYANTA,internaciones,egresos,2006-01-01,15,15
CHIMORE,internaciones,egresos,2006-01-01,21,21
CHULUMANI (V. DE LA LIBERTAD),internaciones,egresos,2006-01-01,90,90
CHUMA,internaciones,egresos,2006-01-01,3,3
CLIZA,internaciones,egresos,2006-01-01,24,24
COBIJA,internaciones,egresos,2006-01-01,281,281
COCHABAMBA,internaciones,egresos,2006-01-01,5839,5839
COLCAPIRHUA,internaciones,egresos,2006-01-01,93,93
COLOMI,internaciones,egresos,2006-01-01,45,45
COLPA BELGICA,internaciones,egresos,2006-01-01,17,17
COLQUECHACA,internaciones,egresos,2006-01-01,1,1
COLQUENCHA,internaciones,egresos,2006-01-01,1,1
COLQUIRI,internaciones,egresos,2006-01-01,29,29
COMANCHE,internaciones,egresos,2006-01-01,1,1
COMARAPA,internaciones,egresos,2006-01-01,90,90
CONCEPCION,internaciones,egresos,2006-01-01,50,50
COPACABANA,internaciones,egresos,2006-01-01,30,30
CORIPATA,internaciones,egresos,2006-01-01,18,18
CORO CORO,internaciones,egresos,2006-01-01,2,2
COROICO,internaciones,egresos,2006-01-01,91,91
CORQUE,internaciones,egresos,2006-01-01,2,2
COTAGAITA,internaciones,egresos,2006-01-01,34,34
