municipality,group,variable,month,Días camas ocupadas otros servicios,TOTAL
ACHACACHI,internaciones,dias camas ocupadas otros servicios,2006-01-01,70,70
AIQUILE,internaciones,dias camas ocupadas otros servicios,2006-01-01,241,241
ANCORAIMES,internaciones,dias camas ocupadas otros servicios,2006-01-01,1,1
ANDAMARCA,internaciones,dias camas ocupadas otros servicios,2006-01-01,1,1
APOLO,internaciones,dias camas ocupadas otros servicios,2006-01-01,93,93
ASCENCION DE GUARAYOS,internaciones,dias camas ocupadas otros servicios,2006-01-01,540,540
ATOCHA,internaciones,dias camas ocupadas otros servicios,2006-01-01,463,463
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas ocupadas otros servicios,2006-01-01,60,60
AZURDUY,internaciones,dias camas ocupadas otros servicios,2006-01-01,34,34
BATALLAS,internaciones,dias camas ocupadas otros servicios,2006-01-01,130,130
BAURES,internaciones,dias camas ocupadas otros servicios,2006-01-01,24,24
BERMEJO,internaciones,dias camas ocupadas otros servicios,2006-01-01,324,324
BETANZOS,internaciones,dias camas ocupadas otros servicios,2006-01-01,33,33
BOLIVAR,internaciones,dias camas ocupadas otros servicios,2006-01-01,14,14
BOYUIBE,internaciones,dias camas ocupadas otros servicios,2006-01-01,40,40
BUENA VISTA,internaciones,dias camas ocupadas otros servicios,2006-01-01,16,16
CABEZAS,internaciones,dias camas ocupadas otros servicios,2006-01-01,74,74
CAIROMA,internaciones,dias camas ocupadas otros servicios,2006-01-01,4,4
CALAMARCA,internaciones,dias camas ocupadas otros servicios,2006-01-01,2,2
CAMARGO,internaciones,dias camas ocupadas otros servicios,2006-01-01,284,284
CAMATAQUI (C. VILLA ABECIA),internaciones,dias camas ocupadas otros servicios,2006-01-01,5,5
CAMIRI,internaciones,dias camas ocupadas otros servicios,2006-01-01,755,755
CAPINOTA,internaciones,dias camas ocupadas otros servicios,2006-01-01,54,54
CARANAVI,internaciones,dias camas ocupadas otros servicios,2006-01-01,382,382
CARMEN RIVERO TORREZ,internaciones,dias camas ocupadas otros servicios,2006-01-01,30,30
CHALLAPATA,internaciones,dias camas ocupadas otros servicios,2006-01-01,63,63
CHARAGUA,internaciones,dias camas ocupadas otros servicios,2006-01-01,142,142
CHAYANTA,internaciones,dias camas ocupadas otros servicios,2006-01-01,12,12
CHIMORE,internaciones,dias camas ocupadas otros servicios,2006-01-01,13,13
CHULUMANI (V. DE LA LIBERTAD),internaciones,dias camas ocupadas otros servicios,2006-01-01,336,336
CHUMA,internaciones,dias camas ocupadas otros servicios,2006-01-01,6,6
CLIZA,internaciones,dias camas ocupadas otros servicios,2006-01-01,16,16
COBIJA,internaciones,dias camas ocupadas otros servicios,2006-01-01,915,915
COCHABAMBA,internaciones,dias camas ocupadas otros servicios,2006-01-01,26238,26238
COLCAPIRHUA,internaciones,dias camas ocupadas otros servicios,2006-01-01,173,173
"COLCHA ""K""",internaciones,dias camas ocupadas otros servicios,2006-01-01,1,1
COLOMI,internaciones,dias camas ocupadas otros servicios,2006-01-01,10,10
COLPA BELGICA,internaciones,dias camas ocupadas otros servicios,2006-01-01,22,22
COLQUIRI,internaciones,dias camas ocupadas otros servicios,2006-01-01,8,8
COMARAPA,internaciones,dias camas ocupadas otros servicios,2006-01-01,329,329
CONCEPCION,internaciones,dias camas ocupadas otros servicios,2006-01-01,94,94
COPACABANA,internaciones,dias camas ocupadas otros servicios,2006-01-01,34,34
CORIPATA,internaciones,dias camas ocupadas otros servicios,2006-01-01,7,7
COROICO,internaciones,dias camas ocupadas otros servicios,2006-01-01,304,304
CORQUE,internaciones,dias camas ocupadas otros servicios,2006-01-01,1,1
