municipality,group,variable,month,l 13.9 Días camas disponibles maternidad,TOTAL
ACHACACHI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,310,310
AIQUILE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,434,434
ALALAY,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,248,248
ALCALA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,124,124
ALTO BENI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,155,155
ANCORAIMES,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
ANDAMARCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,124,124
ANTEQUERA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
ANZALDO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
APOLO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
ARAMPAMPA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
ARANI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,186,186
ARBIETO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,186,186
ARQUE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,217,217
ASCENCION DE GUARAYOS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,341,341
ATOCHA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,520,520
AUCAPATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
AYATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
AYO AYO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,124,124
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,1085,1085
AZURDUY,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,371,371
BATALLAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
BERMEJO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,386,386
BETANZOS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,248,248
BOLIVAR,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,186,186
BOYUIBE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,124,124
BUENA VISTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,172,172
CABEZAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,124,124
CAIROMA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,310,310
"CAIZA ""D""",internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
CAJUATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,122,122
CALACOTO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
CALAMARCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,155,155
CAMARGO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,459,459
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
CAMIRI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,558,558
