municipality,group,variable,month,l 13.7 Días camas ocupadas maternidad,TOTAL
CABEZAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,6,6
CAIROMA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,18,18
"CAIZA ""D""",internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,6,6
CAJUATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,8,8
CALACOTO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,1,1
CALAMARCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,6,6
CAMARGO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,109,109
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,7,7
CAMIRI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,377,377
CAPINOTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,34,34
CAQUIAVIRI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,3,3
CARACOLLO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,38,38
CARANAVI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,185,185
CARIPUYO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,8,8
CARMEN RIVERO TORREZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,8,8
CHALLAPATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,93,93
CHARAGUA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,72,72
CHARAÑA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,1,1
CHAYANTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,16,16
CHIMORE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,22,22
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,84,84
CHUMA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,1,1
CKOCHAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,5,5
CLIZA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,55,55
COBIJA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,711,711
COCAPATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,24,24
COCHABAMBA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,5806,5806
COIPASA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,2,2
COLCAPIRHUA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,93,93
"COLCHA ""K""",internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,3,3
COLLANA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,6,6
COLOMI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,32,32
COLPA BELGICA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,6,6
COLQUECHACA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,15,15
COLQUENCHA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,8,8
COLQUIRI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,8,8
COMARAPA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,101,101
CONCEPCION,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,44,44
COPACABANA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,10,10
CORIPATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,18,18
CORO CORO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,5,5
COROICO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,67,67
CORQUE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,1,1
COTAGAITA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,24,24
COTOCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,136,136
CUATRO CAÑADAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,34,34
CULPINA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,64,64
CURAHUARA DE CARANGAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,14,14
DESAGUADERO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,7,7
EL ALTO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,3573,3573
EL CHORO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,1,1
EL PUENTE(STC),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,12,12
EL PUENTE(TJA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,14,14
EL TORNO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,156,156
EL VILLAR,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,10,10
ENTRE RIOS TRJ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,63,63
ENTRE RIOS CBBA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,39,39
ESCOMA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,10,10
EUCALIPTUS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,8,8
EXALTACION,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,1,1
FERNANDEZ ALONSO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,49,49
FILADELFIA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,2,2
GENERAL SAAVEDRA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,8,8
