municipality,group,variable,month,l 13.7 Días camas ocupadas maternidad,TOTAL
SABAYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,4,4
SACABA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,317,317
SACABAMBA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,9,9
SACACA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,28,28
SAIPINA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,11,11
SALINAS DE GARCI MENDOZA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,15,15
SAMAIPATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,75,75
SAN AGUSTIN,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,3,3
SAN ANDRES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,4,4
SAN ANDRES DE MACHACA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,3,3
SAN ANTONIO DE LOMERIO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,15,15
SAN BENITO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,16,16
SAN BORJA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,152,152
SAN BUENA VENTURA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,43,43
SAN CARLOS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,197,197
SAN IGNACIO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,68,68
SAN IGNACIO DE VELASCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,427,427
SAN JAVIER(STC),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,46,46
SAN JOAQUIN,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,27,27
SAN JOSE DE CHIQUITOS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,102,102
SAN JUAN DE YAPACANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,27,27
SAN JULIAN,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,119,119
SAN LORENZO(PND),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,4,4
SAN LUCAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,53,53
SAN MATIAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,40,40
SAN MIGUEL DE VELASCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,48,48
SAN PEDRO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,605,605
SAN PEDRO DE BUENA VISTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,14,14
SAN PEDRO DE CURAHUARA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,2,2
SAN RAFAEL,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,18,18
SAN RAMON BENI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,37,37
SAN RAMON SCZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,13,13
SANTA ANA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,132,132
SANTA CRUZ DE LA SIERRA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,8361,8361
SANTA ROSA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,64,64
SANTA ROSA DEL SARA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,36,36
SANTIAGO DE CALLAPA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,2,2
SANTIAGO DE HUARI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,9,9
SANTIAGO DE MACHACA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,1,1
SANTIVAÑES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,8,8
SANTUARIO DE QUILLACAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,3,3
SENA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,10,10
SHINAOTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,224,224
SICA SICA (VILLA AROMA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,21,21
SIPE SIPE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,39,39
SOPACHUY,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,32,32
SORACACHI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,7,7
SORATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,24,24
SUCRE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,2304,2304
TACACOMA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,11,11
TACOPAYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,6,6
TAPACARI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,31,31
TARABUCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,128,128
TARACO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,9,9
TARATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,24,24
TARIJA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,1473,1473
TARVITA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,56,56
TEOPONTE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,13,13
TIAWANACU,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,8,8
TIPUANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,29,29
TIQUIPAYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,159,159
TIRAQUE (CBBA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,43,43
TOCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,3,3
TOLATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,12,12
TOLEDO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,10,10
TOMAVE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,2,2
TOMINA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,34,34
TORO TORO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,3,3
TOTORA(CBBA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,38,38
TOTORA(ORR),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,4,4
TRINIDAD,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,857,857
TUPIZA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,203,203
TURCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,3,3
UMALA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,11,11
UNCIA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,39,39
URUBICHA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,42,42
UYUNI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,207,207
VACAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,7,7
VALLEGRANDE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,95,95
VIACHA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,95,95
VILA VILA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,4,4
VILLA CHARCAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,33,33
VILLA MONTES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,288,288
VILLA RIVERO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,9,9
VILLA SERRANO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,33,33
VILLA TUNARI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,499,499
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,20,20
VILLAZON,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,146,146
VINTO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,131,131
VITICHI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,14,14
WARNES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,219,219
YACO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,2,2
YACUIBA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,451,451
YAMPARAEZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,8,8
YANACACHI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,12,12
YAPACANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,233,233
YOCALLA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,6,6
YOTALA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,39,39
ZUDAÑEZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-03-01,28,28
ACACIO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,4,4
ACHACACHI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,32,32
ACHOCALLA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,4,4
AIQUILE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,92,92
ALCALA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,21,21
ALTO BENI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,21,21
ANCORAIMES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,7,7
ANDAMARCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,2,2
ANTEQUERA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,1,1
ANZALDO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,5,5
APOLO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,27,27
ARAMPAMPA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,6,6
ARANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,4,4
ARBIETO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,13,13
ARQUE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,5,5
ASCENCION DE GUARAYOS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,137,137
ATOCHA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,92,92
AYATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,7,7
AYO AYO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,28,28
AZURDUY,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,30,30
BATALLAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,23,23
BAURES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,23,23
BERMEJO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,147,147
BETANZOS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,18,18
BOLIVAR,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,2,2
BOYUIBE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,12,12
BUENA VISTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,19,19
CABEZAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,12,12
CAIROMA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,16,16
"CAIZA ""D""",internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,4,4
CAJUATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,4,4
CALACOTO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,2,2
CALAMARCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,9,9
CAMARGO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,300,300
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,3,3
CAMIRI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,306,306
CAPINOTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,24,24
CAQUIAVIRI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,2,2
CARACOLLO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,35,35
CARANAVI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,189,189
CARAPARI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,7,7
CARIPUYO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,4,4
CARMEN RIVERO TORREZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,20,20
CHALLAPATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,69,69
CHAQUI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,4,4
CHARAGUA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,63,63
CHAYANTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,38,38
CHIMORE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,43,43
CHOQUE COTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,120,120
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,10,10
CKOCHAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,2,2
CLIZA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,76,76
COBIJA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,447,447
COCAPATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,10,10
COCHABAMBA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,5606,5606
COIPASA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,4,4
COLCAPIRHUA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,115,115
COLLANA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,2,2
COLOMI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,32,32
COLPA BELGICA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,7,7
COLQUECHACA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,12,12
COLQUENCHA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,11,11
COLQUIRI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,8,8
COMARAPA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,75,75
CONCEPCION,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,88,88
COPACABANA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,13,13
CORIPATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,11,11
CORO CORO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,3,3
COROICO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,60,60
CORQUE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,2,2
COTAGAITA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,32,32
COTOCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,126,126
CUATRO CAÑADAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,55,55
CUEVO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,10,10
CULPINA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,85,85
CURAHUARA DE CARANGAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,6,6
DESAGUADERO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,8,8
EL ALTO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,3261,3261
EL CHORO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,6,6
EL PUENTE(STC),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,34,34
EL TORNO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,163,163
EL VILLAR,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,6,6
ENTRE RIOS TRJ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,24,24
ENTRE RIOS CBBA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,40,40
ESCOMA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,22,22
EUCALIPTUS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,8,8
FERNANDEZ ALONSO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,12,12
FILADELFIA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,6,6
GENERAL SAAVEDRA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,10,10
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,9,9
GUANAY,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,18,18
GUAQUI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,2,2
GUAYARAMERIN,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,346,346
GUTIERREZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,21,21
HUACARETA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,13,13
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,15,15
HUACHACALLA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,2,2
HUANUNI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,55,55
HUARACAJE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,20,20
HUARINA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,3,3
ICHOCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,2,2
ICLA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,14,14
INCAHUASI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,31,31
INQUISIVI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,4,4
IRUPANA (VILLA DE LANZA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,10,10
IXIAMAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,11,11
JESUS DE MACHACA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,9,9
LA ASUNTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,31,31
LA GUARDIA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,75,75
LA PAZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,4941,4941
LAGUNILLAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,15,15
LAJA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,3,3
LAS CARRERAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,21,21
LICOMA PAMPA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,1,1
LLALLAGUA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,252,252
LLICA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,12,12
LURIBAY,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,6,6
MACHACAMARCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,16,16
MACHARETI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,20,20
MAGDALENA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,68,68
MAIRANA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,68,68
MAPIRI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,25,25
MECAPACA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,3,3
MINEROS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,38,38
MIZQUE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,116,116
MOCOMOCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,5,5
MOJOCOYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,28,28
MONTEAGUDO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,229,229
MONTERO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,615,615
MORO MORO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,10,10
MOROCHATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,18,18
OCURI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,20,20
OKINAWA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,22,22
OMEREQUE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,14,14
ORURO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,1958,1958
PADILLA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,34,34
PAILON,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,47,47
PALCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,4,4
PALOS BLANCOS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,99,99
PAMPA AULLAGAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,1,1
PAMPA GRANDE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,21,21
PAPEL PAMPA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,1,1
PASORAPA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,2,2
PATACAMAYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,62,62
PAZÑA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,1,1
PELECHUCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,4,4
POCOATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,15,15
POCONA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,22,22
POJO (CBBA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,43,43
POOPO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,10,10
POROMA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,28,28
PORONGO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,7,7
PORTACHUELO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,218,218
PORVENIR,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,4,4
POSTRER VALLE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,5,5
POTOSI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,1240,1240
PRESTO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,12,12
PUCARA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,1,1
PUCARANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,20,20
PUERTO ACOSTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,3,3
PUERTO CARABUCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,3,3
PUERTO GONZALO MORENO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,2,2
PUERTO QUIJARRO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,53,53
PUERTO RICO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,24,24
PUERTO SUAREZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,147,147
PUERTO VILLARROEL,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,167,167
PUNA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,20,20
PUNATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,226,226
QUIABAYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,1,1
QUILLACOLLO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,319,319
QUIME,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,3,3
QUIRUSILLAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,1,1
RAVELO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,18,18
REYES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,35,35
RIBERALTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,558,558
ROBORE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,41,41
RURRENABAQUE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,117,117
SACABA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,412,412
SACABAMBA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,6,6
SACACA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,35,35
SAIPINA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,12,12
SALINAS DE GARCI MENDOZA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,14,14
SAMAIPATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,71,71
SAN AGUSTIN,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-04-01,2,2
