municipality,group,variable,month,l 13.8 Días camas ocupadas otros servicios,TOTAL
ACHACACHI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,41,41
AIQUILE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,148,148
ANZALDO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,1,1
APOLO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,16,16
ASCENCION DE GUARAYOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,485,485
ATOCHA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,299,299
AYATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,46,46
AZURDUY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,35,35
BATALLAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,13,13
BERMEJO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,699,699
BETANZOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,3,3
BOYUIBE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,23,23
BUENA VISTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,35,35
CABEZAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,44,44
CAMARGO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,234,234
CAMIRI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,1381,1381
CAPINOTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,43,43
CARACOLLO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,3,3
CARANAVI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,382,382
CARAPARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,2,2
CARMEN RIVERO TORREZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,18,18
CHALLAPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,155,155
CHAQUI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,1,1
CHARAGUA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,175,175
CHAYANTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,21,21
