municipality,group,variable,month,l 1310 Días camas disponibles otros servicios,TOTAL
ACHACACHI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,310,310
AIQUILE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,1395,1395
ALALAY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,124,124
ALCALA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,62,62
ANDAMARCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,31,31
ANTEQUERA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,31,31
ANZALDO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,62,62
APOLO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,279,279
ARAMPAMPA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,155,155
ARANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,93,93
ARBIETO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,93,93
ARQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,124,124
ASCENCION DE GUARAYOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,959,959
ATOCHA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,1022,1022
AYATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,155,155
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,961,961
AZURDUY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,458,458
BATALLAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,186,186
BERMEJO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,1360,1360
BETANZOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,248,248
BOLIVAR,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,155,155
BOYUIBE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,341,341
BUENA VISTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,323,323
CABEZAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,10,10
CAIROMA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,310,310
"CAIZA ""D""",internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,31,31
CAMARGO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,1207,1207
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,93,93
CAMIRI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,2263,2263
CAPINOTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,372,372
CARACOLLO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,155,155
CARANAVI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,1085,1085
CARAPARI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,89,89
CARIPUYO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,155,155
CARMEN RIVERO TORREZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,353,353
CHALLAPATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,589,589
CHAQUI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,31,31
