municipality,group,variable,month,Nº de CAI de sector realizados,TOTAL
ACHACACHI,actividades con la comunidad,no de cai de sector realizados,2005-01-01,12,12
ACHOCALLA,actividades con la comunidad,no de cai de sector realizados,2005-01-01,1,1
ANCORAIMES,actividades con la comunidad,no de cai de sector realizados,2005-01-01,3,3
ANZALDO,actividades con la comunidad,no de cai de sector realizados,2005-01-01,3,3
APOLO,actividades con la comunidad,no de cai de sector realizados,2005-01-01,1,1
ARANI,actividades con la comunidad,no de cai de sector realizados,2005-01-01,1,1
ARBIETO,actividades con la comunidad,no de cai de sector realizados,2005-01-01,3,3
ARQUE,actividades con la comunidad,no de cai de sector realizados,2005-01-01,2,2
ASCENCION DE GUARAYOS,actividades con la comunidad,no de cai de sector realizados,2005-01-01,1,1
ATOCHA,actividades con la comunidad,no de cai de sector realizados,2005-01-01,2,2
AYO AYO,actividades con la comunidad,no de cai de sector realizados,2005-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),actividades con la comunidad,no de cai de sector realizados,2005-01-01,4,4
BATALLAS,actividades con la comunidad,no de cai de sector realizados,2005-01-01,3,3
BETANZOS,actividades con la comunidad,no de cai de sector realizados,2005-01-01,2,2
BOLIVAR,actividades con la comunidad,no de cai de sector realizados,2005-01-01,1,1
CALAMARCA,actividades con la comunidad,no de cai de sector realizados,2005-01-01,4,4
CAMATAQUI (C. VILLA ABECIA),actividades con la comunidad,no de cai de sector realizados,2005-01-01,2,2
CAPINOTA,actividades con la comunidad,no de cai de sector realizados,2005-01-01,1,1
CARANAVI,actividades con la comunidad,no de cai de sector realizados,2005-01-01,1,1
CARIPUYO,actividades con la comunidad,no de cai de sector realizados,2005-01-01,2,2
CARMEN RIVERO TORREZ,actividades con la comunidad,no de cai de sector realizados,2005-01-01,4,4
CHALLAPATA,actividades con la comunidad,no de cai de sector realizados,2005-01-01,1,1
CHAYANTA,actividades con la comunidad,no de cai de sector realizados,2005-01-01,1,1
CHUMA,actividades con la comunidad,no de cai de sector realizados,2005-01-01,1,1
CLIZA,actividades con la comunidad,no de cai de sector realizados,2005-01-01,2,2
