municipality,group,variable,month,Nº de actividades realizadas con participación,TOTAL
ACHACACHI,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,115,115
ACHOCALLA,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,30,30
ALCALA,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,17,17
ANCORAIMES,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,1,1
ANDAMARCA,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,56,56
ANTEQUERA,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,16,16
ANZALDO,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,5,5
APOLO,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,20,20
ARAMPAMPA,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,24,24
ARANI,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,1,1
ARBIETO,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,4,4
ASCENCION DE GUARAYOS,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,1,1
ATOCHA,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,23,23
AYATA,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,32,32
AZURDUY,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,40,40
BATALLAS,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,29,29
BAURES,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,20,20
BELEN DE ANDAMARCA,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,3,3
BELEN DE URMIRI,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,5,5
BELLA FLOR,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,1,1
BERMEJO,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,94,94
BETANZOS,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,54,54
BOLIVAR,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,19,19
BOYUIBE,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,8,8
BUENA VISTA,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,26,26
CABEZAS,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,2,2
CAIROMA,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,10,10
"CAIZA ""D""",actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,12,12
CAJUATA,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,24,24
CALAMARCA,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,17,17
CAMARGO,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,9,9
CAMATAQUI (C. VILLA ABECIA),actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,13,13
CAMIRI,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,10,10
CAPINOTA,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,22,22
CAQUIAVIRI,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,27,27
CARACOLLO,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,25,25
CARANAVI,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,19,19
CARAPARI,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,62,62
CARIPUYO,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,19,19
CARMEN RIVERO TORREZ,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,4,4
CATACORA,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,1,1
CHALLAPATA,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,203,203
CHAQUI,actividades con la comunidad,no de actividades realizadas con participacion,2005-01-01,2,2
