municipality,group,variable,month,Nº de comunidades que participaron en el CAI d,TOTAL
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,61,61
ACHOCALLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,1,1
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,14,14
ANZALDO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,9,9
ARANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,1,1
ASCENCION DE GUARAYOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,1,1
ATOCHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,6,6
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,1,1
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,18,18
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,5,5
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,20,20
CAMATAQUI (C. VILLA ABECIA),actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,6,6
CAPINOTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,8,8
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,4,4
CARIPUYO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,16,16
CHALLAPATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,15,15
CHAYANTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,8,8
CHUMA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,1,1
COBIJA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,10,10
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,2,2
"COLCHA ""K""",actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,1,1
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,5,5
COLOMI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,9,9
COLPA BELGICA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,2,2
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,14,14
CONCEPCION,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,4,4
COPACABANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,7,7
CORO CORO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,3,3
COTOCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,8,8
DESAGUADERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,8,8
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,25,25
GENERAL SAAVEDRA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,13,13
GUAQUI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,1,1
GUAYARAMERIN,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,15,15
ICHOCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,3,3
INCAHUASI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,6,6
JESUS DE MACHACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,20,20
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,15,15
LAJA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,18,18
MAIRANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,4,4
MINEROS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,6,6
MOCOMOCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,7,7
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,14,14
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,4,4
PALOS BLANCOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,7,7
PAMPA AULLAGAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,5,5
PATACAMAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,28,28
