municipality,group,variable,month,Días camas disponibles otros servicios,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,124,124
ACHACACHI,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,155,155
AIQUILE,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,1302,1302
ALALAY,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,186,186
ALCALA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,62,62
ALTO BENI,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,31,31
ANCORAIMES,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,155,155
ANTEQUERA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,31,31
ANZALDO,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,31,31
APOLO,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,124,124
ARAMPAMPA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,155,155
ARANI,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,124,124
ARQUE,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,186,186
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,837,837
ATOCHA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,989,989
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,1147,1147
AZURDUY,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,372,372
BATALLAS,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,93,93
BAURES,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,62,62
BERMEJO,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,1270,1270
BETANZOS,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,465,465
BOLIVAR,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,124,124
BOLPEBRA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,61,61
BOYUIBE,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,341,341
BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,618,618
CABEZAS,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,310,310
CAIROMA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,124,124
"CAIZA ""D""",internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,186,186
CAJUATA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,60,60
CALACOTO,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,31,31
CAMARGO,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,1567,1567
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,93,93
CAMIRI,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,2803,2803
CAPINOTA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,465,465
CAQUIAVIRI,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,31,31
CARACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,186,186
CARANAVI,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,1085,1085
CARAPARI,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,57,57
CARIPUYO,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,155,155
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,2,2
CHALLAPATA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,558,558
CHAQUI,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,93,93
CHARAGUA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,868,868
CHARAÑA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,31,31
CHAYANTA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,124,124
CHIMORE,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,155,155
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,868,868
CHUMA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,217,217
CKOCHAS,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,155,155
CLIZA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,279,279
COBIJA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,1643,1643
COCAPATA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,248,248
COCHABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,51288,51288
COLCAPIRHUA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,1333,1333
"COLCHA ""K""",internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,62,62
COLOMI,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,217,217
COLPA BELGICA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,186,186
COLQUECHACA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,184,184
COLQUIRI,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,217,217
COMARAPA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,713,713
CONCEPCION,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,310,310
COPACABANA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,124,124
CORO CORO,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,248,248
COROICO,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,992,992
COTAGAITA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,279,279
COTOCA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,651,651
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,558,558
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,62,62
CUEVO,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,186,186
CULPINA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,496,496
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,309,309
DESAGUADERO,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,124,124
EL ALTO,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,9009,9009
EL PUENTE(STC),internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,155,155
EL TORNO,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,1984,1984
EL VILLAR,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,248,248
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,464,464
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,186,186
ESCOMA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,434,434
EUCALIPTUS,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,62,62
EXALTACION,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,155,155
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,434,434
FILADELFIA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,30,30
GENERAL SAAVEDRA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,248,248
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,62,62
GUANAY,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,93,93
GUAYARAMERIN,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,1377,1377
GUTIERREZ,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,640,640
HUACARETA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,434,434
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,155,155
HUACHACALLA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,62,62
HUANUNI,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,496,496
HUARACAJE,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,62,62
HUAYLLAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,93,93
ICHOCA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,60,60
ICLA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,217,217
INCAHUASI,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,93,93
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,372,372
IXIAMAS,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,93,93
JESUS DE MACHACA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,212,212
LA ASUNTA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,372,372
LA GUARDIA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,961,961
LA PAZ,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,64634,64634
LAGUNILLAS,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,186,186
LAS CARRERAS,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,93,93
LLALLAGUA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,1023,1023
LLICA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,62,62
LURIBAY,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,124,124
MACHARETI,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,341,341
MAGDALENA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,279,279
MAIRANA,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,62,62
MAPIRI,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,31,31
MINEROS,internaciones dias camas,dias camas disponibles otros servicios,2010-01-01,279,279
