municipality,group,variable,month,Días camas ocupadas maternidad,TOTAL
ACACIO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,10,10
ACHACACHI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,59,59
ACHOCALLA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,5,5
AIQUILE,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,98,98
ALCALA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,3,3
ALTO BENI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,3,3
ANCORAIMES,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,11,11
ANDAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,2,2
ANTEQUERA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,2,2
ANZALDO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,2,2
APOLO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,26,26
ARAMPAMPA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,3,3
ARANI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,21,21
ARBIETO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,16,16
ARQUE,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,6,6
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,270,270
ATOCHA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,50,50
AUCAPATA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,1,1
AYATA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,6,6
AYO AYO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,35,35
AZURDUY,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,40,40
BATALLAS,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,12,12
BAURES,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,32,32
BERMEJO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,104,104
BETANZOS,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,36,36
BOLIVAR,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,2,2
BOYUIBE,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,5,5
BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,14,14
CABEZAS,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,23,23
CAIROMA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,4,4
"CAIZA ""D""",internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,17,17
CAJUATA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,4,4
CALACOTO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,1,1
CALAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,11,11
CAMARGO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,137,137
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,3,3
CAMIRI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,230,230
CAPINOTA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,67,67
CAQUIAVIRI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,1,1
CARACOLLO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,31,31
CARANAVI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,139,139
CARAPARI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,5,5
CARIPUYO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,2,2
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,14,14
CHALLAPATA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,110,110
CHARAGUA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,145,145
CHARAÑA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,4,4
CHAYANTA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,21,21
CHIMORE,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,38,38
CHIPAYA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,31,31
CHUMA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,4,4
CKOCHAS,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,8,8
CLIZA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,61,61
COBIJA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,444,444
COCAPATA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,13,13
COCHABAMBA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,5200,5200
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,124,124
"COLCHA ""K""",internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,4,4
COLLANA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,3,3
COLOMI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,48,48
COLPA BELGICA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,6,6
COLQUECHACA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,18,18
COLQUENCHA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,3,3
COLQUIRI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,8,8
COMARAPA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,95,95
CONCEPCION,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,99,99
COPACABANA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,16,16
CORIPATA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,5,5
CORO CORO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,4,4
COROICO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,46,46
CORQUE,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,2,2
COTAGAITA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,46,46
COTOCA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,106,106
CUATRO CAÑADAS,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,32,32
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,1,1
CUEVO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,10,10
CULPINA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,78,78
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,14,14
DESAGUADERO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,6,6
EL ALTO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,3074,3074
EL PUENTE(STC),internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,7,7
EL TORNO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,131,131
EL VILLAR,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,13,13
ENTRE RIOS TRJ,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,44,44
ENTRE RIOS CBBA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,32,32
ESCOMA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,50,50
EUCALIPTUS,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,9,9
