municipality,group,variable,month,Días camas disponibles maternidad,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,31,31
ACHACACHI,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,189,189
ACHOCALLA,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,62,62
AIQUILE,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,279,279
ALALAY,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,186,186
ALCALA,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,155,155
ALTO BENI,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,62,62
ANCORAIMES,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,62,62
ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,122,122
ANTEQUERA,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,32,32
ANZALDO,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,31,31
APOLO,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,310,310
ARAMPAMPA,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,31,31
ARANI,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,217,217
ARBIETO,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,186,186
ARQUE,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,155,155
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,279,279
ATOCHA,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,274,274
AUCAPATA,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,31,31
AYATA,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,93,93
AYO AYO,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,155,155
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles maternidad,2010-01-01,465,465
AZURDUY,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,275,275
BATALLAS,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,62,62
BAURES,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,62,62
BERMEJO,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,412,412
BETANZOS,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,465,465
BOLIVAR,internaciones dias camas,dias camas disponibles maternidad,2010-01-01,124,124
