municipality,group,variable,month,Días camas ocupadas otros servicios,TOTAL
ACHACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,63,63
AIQUILE,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,177,177
ALALAY,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,1,1
ALCALA,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,3,3
ALTO BENI,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,2,2
ANCORAIMES,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,1,1
APOLO,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,16,16
ARANI,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,7,7
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,266,266
ATOCHA,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,75,75
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,15,15
AZURDUY,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,40,40
BATALLAS,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,8,8
BAURES,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,33,33
BERMEJO,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,289,289
BETANZOS,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,37,37
BOLPEBRA,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,1,1
BOYUIBE,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,92,92
BUENA VISTA,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,76,76
CABEZAS,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,18,18
CAIROMA,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,5,5
CAJUATA,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,2,2
CALACOTO,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,7,7
CAMARGO,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,609,609
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,9,9
CAMIRI,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,1194,1194
CAPINOTA,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,64,64
CARACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,10,10
CARANAVI,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,359,359
CARAPARI,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,5,5
CARIPUYO,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,2,2
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,28,28
CHARAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,250,250
CHAYANTA,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,11,11
CHIMORE,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,18,18
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,203,203
CHUMA,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,2,2
CLIZA,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,39,39
COBIJA,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,778,778
COCAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,1,1
COCHABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2010-01-01,29771,29771
