,group,variable,month,TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,4,2,6
ACHACACHI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,47,0,47
ACHOCALLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,12,4,16
AIQUILE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,32,1,33
ALALAY,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,0,1,1
ALCALA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,0,1
ALTO BENI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,15,0,15
ANCORAIMES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,8,5,13
ANDAMARCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,0,1,1
ANTEQUERA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,4,0,4
ANZALDO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,5,2,7
APOLO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,20,1,21
ARAMPAMPA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,4,0,4
ARANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,13,1,14
ARBIETO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,16,0,16
ARQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,7,0,7
ASCENCION DE GUARAYOS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,20,1,21
ATOCHA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,19,1,20
AUCAPATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,2,0,2
AYATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,3,4
AYO AYO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,11,0,11
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,9,0,9
AZURDUY,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,10,9,19
BATALLAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,26,0,26
BAURES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,11,0,11
BELEN DE ANDAMARCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,3,0,3
BELEN DE URMIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,0,1,1
BELLA FLOR,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,8,0,8
BERMEJO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,57,0,57
BETANZOS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,32,4,36
BOLIVAR,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,0,1,1
BOYUIBE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,5,0,5
BUENA VISTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,30,0,30
CABEZAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,44,0,44
CAIROMA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,6,0,6
"CAIZA ""D""",consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,7,0,7
CAJUATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,12,0,12
CALACOTO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,1,2
CALAMARCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,14,2,16
CAMARGO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,24,4,28
CAMATAQUI (C. VILLA ABECIA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,2,0,2
CAMIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,60,1,61
CAPINOTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,15,0,15
CAQUIAVIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,10,1,11
CARACOLLO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,20,1,21
CARANAVI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,75,1,76
CARAPARI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,10,1,11
CARIPUYO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,3,9,12
CARMEN RIVERO TORREZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,12,0,12
CATACORA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,2,0,2
CHALLAPATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,48,3,51
CHAQUI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,8,0,8
CHARAGUA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,62,0,62
CHARAÑA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,1,2
CHAYANTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,14,2,16
CHIMORE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,37,0,37
CHIPAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,53,0,53
CHUMA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,2,0,2
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,12,1,13
CKOCHAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,18,2,20
CLIZA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,48,3,51
COBIJA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,108,0,108
COCAPATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,4,5,9
COCHABAMBA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1336,2,1338
COLCAPIRHUA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,142,0,142
"COLCHA ""K""",consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,15,2,17
COLLANA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,0,1
COLOMI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,25,0,25
COLPA BELGICA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,12,0,12
COLQUECHACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,21,8,29
COLQUENCHA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,9,0,9
COLQUIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,13,8,21
COMANCHE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,0,1
COMARAPA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,26,0,26
COMBAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,2,1,3
CONCEPCION,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,27,0,27
COPACABANA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,9,0,9
CORIPATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,16,0,16
CORO CORO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,5,0,5
COROICO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,24,0,24
CORQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,4,0,4
COTAGAITA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,22,1,23
COTOCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,118,0,118
CUATRO CAÑADAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,12,0,12
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,2,0,2
CUEVO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,0,1
CULPINA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,19,4,23
CURAHUARA DE CARANGAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,7,1,8
DESAGUADERO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,0,1
EL ALTO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1146,59,1205
EL CHORO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,0,4,4
EL PUENTE(STC),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,23,0,23
EL PUENTE(TJA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,7,2,9
EL TORNO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,110,2,112
EL VILLAR,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,5,2,7
ENTRE RIOS TRJ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,23,5,28
ENTRE RIOS CBBA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,44,0,44
ESCOMA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,6,0,6
EUCALIPTUS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,2,0,2
EUREKA (SANTOS MERCADO),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,2,3
