municipality,group,variable,month,Días camas ocupadas otros servicios,TOTAL
ACACIO,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,1,1
ACHACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,135,135
AIQUILE,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,128,128
ANZALDO,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,64,64
APOLO,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,1,1
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,521,521
ATOCHA,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,84,84
AZURDUY,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,50,50
BAURES,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,99,99
BERMEJO,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,748,748
BETANZOS,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,1,1
BOLIVAR,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,3,3
BOYUIBE,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,67,67
BUENA VISTA,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,37,37
CABEZAS,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,5,5
CAJUATA,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,3,3
CAMARGO,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,178,178
CAMIRI,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,620,620
CAPINOTA,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,54,54
CAQUIAVIRI,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,1,1
CARANAVI,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,170,170
CARIPUYO,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,1,1
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,91,91
CHALLAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,221,221
CHARAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,196,196
CHIMORE,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,21,21
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,165,165
CHUMA,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,2,2
CKOCHAS,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,1,1
CLIZA,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,37,37
COBIJA,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,2838,2838
COCHABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,29341,29341
COIPASA,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,8,8
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,547,547
"COLCHA ""K""",internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,9,9
COLPA BELGICA,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,22,22
COLQUECHACA,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,1,1
COMARAPA,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,198,198
CONCEPCION,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,150,150
COROICO,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,297,297
COTAGAITA,internaciones dias camas,dias camas ocupadas otros servicios,2022-01-01,1,1
