municipality,group,variable,month,Días camas disponibles otros servicios,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,62,62
ACHACACHI,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,558,558
AIQUILE,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,929,929
ALALAY,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,63,63
ALCALA,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,93,93
ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,93,93
ANZALDO,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,436,436
APOLO,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,496,496
ARAMPAMPA,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,62,62
ARANI,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,31,31
ARBIETO,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,373,373
ARQUE,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,93,93
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,2139,2139
ATOCHA,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,1145,1145
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,713,713
AZURDUY,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,558,558
BAURES,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,248,248
BERMEJO,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,3134,3134
BETANZOS,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,589,589
BOLIVAR,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,124,124
BOYUIBE,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,341,341
BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,426,426
CABEZAS,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,31,31
"CAIZA ""D""",internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,279,279
CAJUATA,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,93,93
CAMARGO,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,1829,1829
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,186,186
CAMIRI,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,3317,3317
CAPINOTA,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,651,651
CAQUIAVIRI,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,31,31
CARACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,93,93
CARANAVI,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,868,868
CARAPARI,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,1395,1395
CARIPUYO,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,31,31
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,273,273
CHALLAPATA,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,1023,1023
CHAQUI,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,217,217
CHARAGUA,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,360,360
CHAYANTA,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,155,155
CHIMORE,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,620,620
CHOQUE COTA,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,310,310
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,806,806
CHUMA,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,62,62
CKOCHAS,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,248,248
CLIZA,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,465,465
COBIJA,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,5378,5378
COCAPATA,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,310,310
COCHABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,58778,58778
COIPASA,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,186,186
COLCAPIRHUA,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,1705,1705
"COLCHA ""K""",internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,124,124
COLOMI,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,186,186
COLPA BELGICA,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,93,93
COLQUECHACA,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,496,496
COMARAPA,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,434,434
CONCEPCION,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,470,470
COROICO,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,992,992
CORQUE,internaciones dias camas,dias camas disponibles otros servicios,2022-01-01,899,899
