,group,variable,month,TOTAL 25.4 TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TOTAL 25.4 TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TOTAL 25.4 TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTAL 25.4 TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,chagas,      tratamientos de 15 anos y mas,2014-01-01,0,1,0,0,0,1,1
ARBIETO,chagas,      tratamientos de 15 anos y mas,2014-01-01,1,2,0,0,1,2,3
BETANZOS,chagas,      tratamientos de 15 anos y mas,2014-01-01,0,1,1,0,1,1,2
CAPINOTA,chagas,      tratamientos de 15 anos y mas,2014-01-01,1,3,0,0,1,3,4
CHAQUI,chagas,      tratamientos de 15 anos y mas,2014-01-01,1,2,0,0,1,2,3
CHULUMANI (V. DE LA LIBERTAD),chagas,      tratamientos de 15 anos y mas,2014-01-01,0,0,3,1,3,1,4
COCHABAMBA,chagas,      tratamientos de 15 anos y mas,2014-01-01,26,57,21,22,47,79,126
EL TORNO,chagas,      tratamientos de 15 anos y mas,2014-01-01,1,3,7,0,8,3,11
LA GUARDIA,chagas,      tratamientos de 15 anos y mas,2014-01-01,1,0,0,0,1,0,1
MAIRANA,chagas,      tratamientos de 15 anos y mas,2014-01-01,0,0,0,1,0,1,1
MIZQUE,chagas,      tratamientos de 15 anos y mas,2014-01-01,6,7,5,2,11,9,20
MONTEAGUDO,chagas,      tratamientos de 15 anos y mas,2014-01-01,2,3,0,0,2,3,5
MONTERO,chagas,      tratamientos de 15 anos y mas,2014-01-01,0,0,1,0,1,0,1
OMEREQUE,chagas,      tratamientos de 15 anos y mas,2014-01-01,0,0,3,1,3,1,4
PASORAPA,chagas,      tratamientos de 15 anos y mas,2014-01-01,1,1,1,2,2,3,5
PUNA,chagas,      tratamientos de 15 anos y mas,2014-01-01,0,1,0,0,0,1,1
PUNATA,chagas,      tratamientos de 15 anos y mas,2014-01-01,7,15,0,3,7,18,25
SACABA,chagas,      tratamientos de 15 anos y mas,2014-01-01,7,15,1,1,8,16,24
