,group,variable,month,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
TIQUIPAYA,rabia,no de personas con esquema clasico completo,2024-01-01,0,1,0,1,1
TIRAQUE (CBBA),rabia,no de personas con esquema clasico completo,2024-01-01,0,1,0,1,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2024-01-01,11,4,11,4,15
VIACHA,rabia,no de personas con esquema clasico completo,2024-01-01,7,5,7,5,12
VINTO,rabia,no de personas con esquema clasico completo,2024-01-01,0,1,0,1,1
WARNES,rabia,no de personas con esquema clasico completo,2024-01-01,6,4,6,4,10
YACUIBA,rabia,no de personas con esquema clasico completo,2024-01-01,2,1,2,1,3
YOTALA,rabia,no de personas con esquema clasico completo,2024-01-01,0,1,0,1,1
ACHACACHI,rabia,no de personas con esquema clasico completo,2024-02-01,0,1,0,1,1
ACHOCALLA,rabia,no de personas con esquema clasico completo,2024-02-01,0,2,0,2,2
ANCORAIMES,rabia,no de personas con esquema clasico completo,2024-02-01,1,0,1,0,1
BAURES,rabia,no de personas con esquema clasico completo,2024-02-01,1,0,1,0,1
BERMEJO,rabia,no de personas con esquema clasico completo,2024-02-01,2,2,2,2,4
CAPINOTA,rabia,no de personas con esquema clasico completo,2024-02-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2024-02-01,16,5,16,5,21
"COLCHA ""K""",rabia,no de personas con esquema clasico completo,2024-02-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema clasico completo,2024-02-01,3,1,3,1,4
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2024-02-01,0,1,0,1,1
EL ALTO,rabia,no de personas con esquema clasico completo,2024-02-01,15,18,15,18,33
EL TORNO,rabia,no de personas con esquema clasico completo,2024-02-01,2,3,2,3,5
HUATAJATA,rabia,no de personas con esquema clasico completo,2024-02-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2024-02-01,10,4,10,4,14
LA PAZ,rabia,no de personas con esquema clasico completo,2024-02-01,57,57,57,57,114
MACHACAMARCA,rabia,no de personas con esquema clasico completo,2024-02-01,0,1,0,1,1
MONTERO,rabia,no de personas con esquema clasico completo,2024-02-01,0,1,0,1,1
ORURO,rabia,no de personas con esquema clasico completo,2024-02-01,8,5,8,5,13
PAILON,rabia,no de personas con esquema clasico completo,2024-02-01,1,1,1,1,2
PORONGO,rabia,no de personas con esquema clasico completo,2024-02-01,1,1,1,1,2
PORTACHUELO,rabia,no de personas con esquema clasico completo,2024-02-01,1,0,1,0,1
POTOSI,rabia,no de personas con esquema clasico completo,2024-02-01,4,0,4,0,4
PUCARANI,rabia,no de personas con esquema clasico completo,2024-02-01,1,0,1,0,1
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2024-02-01,0,1,0,1,1
PUNATA,rabia,no de personas con esquema clasico completo,2024-02-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2024-02-01,2,0,2,0,2
SACABA,rabia,no de personas con esquema clasico completo,2024-02-01,1,2,1,2,3
SAN BORJA,rabia,no de personas con esquema clasico completo,2024-02-01,1,1,1,1,2
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2024-02-01,7,1,7,1,8
SAN JULIAN,rabia,no de personas con esquema clasico completo,2024-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2024-02-01,71,62,71,62,133
SORACACHI,rabia,no de personas con esquema clasico completo,2024-02-01,1,1,1,1,2
SUCRE,rabia,no de personas con esquema clasico completo,2024-02-01,2,2,2,2,4
TARIJA,rabia,no de personas con esquema clasico completo,2024-02-01,10,6,10,6,16
TIRAQUE (CBBA),rabia,no de personas con esquema clasico completo,2024-02-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2024-02-01,8,6,8,6,14
UNCIA,rabia,no de personas con esquema clasico completo,2024-02-01,1,0,1,0,1
UYUNI,rabia,no de personas con esquema clasico completo,2024-02-01,0,1,0,1,1
VIACHA,rabia,no de personas con esquema clasico completo,2024-02-01,3,3,3,3,6
VINTO,rabia,no de personas con esquema clasico completo,2024-02-01,1,0,1,0,1
WARNES,rabia,no de personas con esquema clasico completo,2024-02-01,6,3,6,3,9
YACUIBA,rabia,no de personas con esquema clasico completo,2024-02-01,1,0,1,0,1
ACHACACHI,rabia,no de personas con esquema clasico completo,2024-03-01,2,0,2,0,2
ACHOCALLA,rabia,no de personas con esquema clasico completo,2024-03-01,1,0,1,0,1
ATOCHA,rabia,no de personas con esquema clasico completo,2024-03-01,1,0,1,0,1
CALAMARCA,rabia,no de personas con esquema clasico completo,2024-03-01,1,0,1,0,1
CAPINOTA,rabia,no de personas con esquema clasico completo,2024-03-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema clasico completo,2024-03-01,1,0,1,0,1
CHALLAPATA,rabia,no de personas con esquema clasico completo,2024-03-01,8,1,8,1,9
CKOCHAS,rabia,no de personas con esquema clasico completo,2024-03-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2024-03-01,9,9,9,9,18
COLCAPIRHUA,rabia,no de personas con esquema clasico completo,2024-03-01,0,1,0,1,1
CONCEPCION,rabia,no de personas con esquema clasico completo,2024-03-01,1,0,1,0,1
COROICO,rabia,no de personas con esquema clasico completo,2024-03-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema clasico completo,2024-03-01,1,4,1,4,5
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2024-03-01,0,1,0,1,1
EL ALTO,rabia,no de personas con esquema clasico completo,2024-03-01,33,28,33,28,61
EL TORNO,rabia,no de personas con esquema clasico completo,2024-03-01,10,3,10,3,13
ENTRE RIOS CBBA,rabia,no de personas con esquema clasico completo,2024-03-01,1,0,1,0,1
FERNANDEZ ALONSO,rabia,no de personas con esquema clasico completo,2024-03-01,1,0,1,0,1
HUACARETA,rabia,no de personas con esquema clasico completo,2024-03-01,2,0,2,0,2
HUATAJATA,rabia,no de personas con esquema clasico completo,2024-03-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2024-03-01,4,5,4,5,9
LA PAZ,rabia,no de personas con esquema clasico completo,2024-03-01,44,57,44,57,101
LAJA,rabia,no de personas con esquema clasico completo,2024-03-01,1,0,1,0,1
LLALLAGUA,rabia,no de personas con esquema clasico completo,2024-03-01,1,0,1,0,1
MACHACAMARCA,rabia,no de personas con esquema clasico completo,2024-03-01,1,0,1,0,1
MOCOMOCO,rabia,no de personas con esquema clasico completo,2024-03-01,1,0,1,0,1
ORURO,rabia,no de personas con esquema clasico completo,2024-03-01,3,5,3,5,8
PAILON,rabia,no de personas con esquema clasico completo,2024-03-01,1,2,1,2,3
PALOS BLANCOS,rabia,no de personas con esquema clasico completo,2024-03-01,1,1,1,1,2
POOPO,rabia,no de personas con esquema clasico completo,2024-03-01,0,1,0,1,1
PUCARANI,rabia,no de personas con esquema clasico completo,2024-03-01,1,0,1,0,1
PUNATA,rabia,no de personas con esquema clasico completo,2024-03-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2024-03-01,0,3,0,3,3
SAIPINA,rabia,no de personas con esquema clasico completo,2024-03-01,1,0,1,0,1
SALINAS DE GARCI MENDOZA,rabia,no de personas con esquema clasico completo,2024-03-01,0,2,0,2,2
SAN ANDRES,rabia,no de personas con esquema clasico completo,2024-03-01,1,0,1,0,1
SAN BORJA,rabia,no de personas con esquema clasico completo,2024-03-01,1,1,1,1,2
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2024-03-01,4,3,4,3,7
SAN JULIAN,rabia,no de personas con esquema clasico completo,2024-03-01,1,0,1,0,1
SAN PEDRO,rabia,no de personas con esquema clasico completo,2024-03-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2024-03-01,85,67,85,67,152
SORACACHI,rabia,no de personas con esquema clasico completo,2024-03-01,0,1,0,1,1
SUCRE,rabia,no de personas con esquema clasico completo,2024-03-01,1,3,1,3,4
TARIJA,rabia,no de personas con esquema clasico completo,2024-03-01,7,12,7,12,19
TIRAQUE (CBBA),rabia,no de personas con esquema clasico completo,2024-03-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2024-03-01,2,2,2,2,4
TUPIZA,rabia,no de personas con esquema clasico completo,2024-03-01,1,0,1,0,1
UYUNI,rabia,no de personas con esquema clasico completo,2024-03-01,2,0,2,0,2
VIACHA,rabia,no de personas con esquema clasico completo,2024-03-01,4,2,4,2,6
VILLA VACA GUZMAN (MUYUPAMPA),rabia,no de personas con esquema clasico completo,2024-03-01,1,0,1,0,1
VINTO,rabia,no de personas con esquema clasico completo,2024-03-01,2,0,2,0,2
WARNES,rabia,no de personas con esquema clasico completo,2024-03-01,4,3,4,3,7
YACUIBA,rabia,no de personas con esquema clasico completo,2024-03-01,1,1,1,1,2
YAPACANI,rabia,no de personas con esquema clasico completo,2024-03-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas con esquema clasico completo,2024-04-01,2,1,2,1,3
ARBIETO,rabia,no de personas con esquema clasico completo,2024-04-01,0,2,0,2,2
BERMEJO,rabia,no de personas con esquema clasico completo,2024-04-01,1,2,1,2,3
CAMARGO,rabia,no de personas con esquema clasico completo,2024-04-01,0,1,0,1,1
CARACOLLO,rabia,no de personas con esquema clasico completo,2024-04-01,1,1,1,1,2
CHALLAPATA,rabia,no de personas con esquema clasico completo,2024-04-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con esquema clasico completo,2024-04-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2024-04-01,12,7,12,7,19
COPACABANA,rabia,no de personas con esquema clasico completo,2024-04-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema clasico completo,2024-04-01,11,4,11,4,15
EL ALTO,rabia,no de personas con esquema clasico completo,2024-04-01,25,34,25,34,59
EL TORNO,rabia,no de personas con esquema clasico completo,2024-04-01,6,8,6,8,14
GUANAY,rabia,no de personas con esquema clasico completo,2024-04-01,1,0,1,0,1
JESUS DE MACHACA,rabia,no de personas con esquema clasico completo,2024-04-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2024-04-01,4,2,4,2,6
LA PAZ,rabia,no de personas con esquema clasico completo,2024-04-01,47,44,47,44,91
MONTERO,rabia,no de personas con esquema clasico completo,2024-04-01,1,2,1,2,3
MORO MORO,rabia,no de personas con esquema clasico completo,2024-04-01,0,1,0,1,1
ORURO,rabia,no de personas con esquema clasico completo,2024-04-01,9,10,9,10,19
PADILLA,rabia,no de personas con esquema clasico completo,2024-04-01,1,0,1,0,1
POOPO,rabia,no de personas con esquema clasico completo,2024-04-01,1,2,1,2,3
PUCARANI,rabia,no de personas con esquema clasico completo,2024-04-01,0,3,0,3,3
SACABA,rabia,no de personas con esquema clasico completo,2024-04-01,1,0,1,0,1
SAMAIPATA,rabia,no de personas con esquema clasico completo,2024-04-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,rabia,no de personas con esquema clasico completo,2024-04-01,0,1,0,1,1
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2024-04-01,2,3,2,3,5
SAN PEDRO DE QUEMES,rabia,no de personas con esquema clasico completo,2024-04-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2024-04-01,76,60,76,60,136
SANTIAGO DE MACHACA,rabia,no de personas con esquema clasico completo,2024-04-01,1,0,1,0,1
SICA SICA (VILLA AROMA),rabia,no de personas con esquema clasico completo,2024-04-01,1,1,1,1,2
SICAYA,rabia,no de personas con esquema clasico completo,2024-04-01,0,1,0,1,1
SUCRE,rabia,no de personas con esquema clasico completo,2024-04-01,0,1,0,1,1
TOTORA(CBBA),rabia,no de personas con esquema clasico completo,2024-04-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2024-04-01,11,7,11,7,18
UYUNI,rabia,no de personas con esquema clasico completo,2024-04-01,0,1,0,1,1
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2024-04-01,0,1,0,1,1
VIACHA,rabia,no de personas con esquema clasico completo,2024-04-01,2,7,2,7,9
VILLA SERRANO,rabia,no de personas con esquema clasico completo,2024-04-01,0,1,0,1,1
VINTO,rabia,no de personas con esquema clasico completo,2024-04-01,0,1,0,1,1
WARNES,rabia,no de personas con esquema clasico completo,2024-04-01,4,3,4,3,7
YACUIBA,rabia,no de personas con esquema clasico completo,2024-04-01,1,3,1,3,4
ACHACACHI,rabia,no de personas con esquema clasico completo,2024-05-01,0,1,0,1,1
ACHOCALLA,rabia,no de personas con esquema clasico completo,2024-05-01,0,2,0,2,2
CALAMARCA,rabia,no de personas con esquema clasico completo,2024-05-01,0,1,0,1,1
CAPINOTA,rabia,no de personas con esquema clasico completo,2024-05-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema clasico completo,2024-05-01,1,0,1,0,1
CHALLAPATA,rabia,no de personas con esquema clasico completo,2024-05-01,0,2,0,2,2
COCHABAMBA,rabia,no de personas con esquema clasico completo,2024-05-01,12,8,12,8,20
COLOMI,rabia,no de personas con esquema clasico completo,2024-05-01,1,0,1,0,1
COMARAPA,rabia,no de personas con esquema clasico completo,2024-05-01,0,1,0,1,1
CONCEPCION,rabia,no de personas con esquema clasico completo,2024-05-01,0,1,0,1,1
COPACABANA,rabia,no de personas con esquema clasico completo,2024-05-01,1,2,1,2,3
COROICO,rabia,no de personas con esquema clasico completo,2024-05-01,1,1,1,1,2
COTOCA,rabia,no de personas con esquema clasico completo,2024-05-01,1,0,1,0,1
CURVA,rabia,no de personas con esquema clasico completo,2024-05-01,0,1,0,1,1
EL ALTO,rabia,no de personas con esquema clasico completo,2024-05-01,39,40,39,40,79
EL TORNO,rabia,no de personas con esquema clasico completo,2024-05-01,3,8,3,8,11
HUATAJATA,rabia,no de personas con esquema clasico completo,2024-05-01,0,1,0,1,1
JESUS DE MACHACA,rabia,no de personas con esquema clasico completo,2024-05-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2024-05-01,5,4,5,4,9
LA PAZ,rabia,no de personas con esquema clasico completo,2024-05-01,51,42,51,42,93
LURIBAY,rabia,no de personas con esquema clasico completo,2024-05-01,0,1,0,1,1
MINEROS,rabia,no de personas con esquema clasico completo,2024-05-01,0,1,0,1,1
ORURO,rabia,no de personas con esquema clasico completo,2024-05-01,11,6,11,6,17
PALOS BLANCOS,rabia,no de personas con esquema clasico completo,2024-05-01,2,0,2,0,2
PATACAMAYA,rabia,no de personas con esquema clasico completo,2024-05-01,0,1,0,1,1
POOPO,rabia,no de personas con esquema clasico completo,2024-05-01,0,1,0,1,1
PORONGO,rabia,no de personas con esquema clasico completo,2024-05-01,1,0,1,0,1
POTOSI,rabia,no de personas con esquema clasico completo,2024-05-01,2,0,2,0,2
PUCARANI,rabia,no de personas con esquema clasico completo,2024-05-01,0,1,0,1,1
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2024-05-01,0,3,0,3,3
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2024-05-01,5,3,5,3,8
SACABA,rabia,no de personas con esquema clasico completo,2024-05-01,0,1,0,1,1
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2024-05-01,5,2,5,2,7
SAN PEDRO DE TIQUINA,rabia,no de personas con esquema clasico completo,2024-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2024-05-01,55,47,55,47,102
SANTIAGO DE MACHACA,rabia,no de personas con esquema clasico completo,2024-05-01,1,0,1,0,1
SIPE SIPE,rabia,no de personas con esquema clasico completo,2024-05-01,1,0,1,0,1
SOPACHUY,rabia,no de personas con esquema clasico completo,2024-05-01,0,2,0,2,2
SUCRE,rabia,no de personas con esquema clasico completo,2024-05-01,5,9,5,9,14
TARIJA,rabia,no de personas con esquema clasico completo,2024-05-01,12,3,12,3,15
TEOPONTE,rabia,no de personas con esquema clasico completo,2024-05-01,1,0,1,0,1
TIRAQUE (CBBA),rabia,no de personas con esquema clasico completo,2024-05-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2024-05-01,4,5,4,5,9
UNCIA,rabia,no de personas con esquema clasico completo,2024-05-01,0,1,0,1,1
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2024-05-01,0,2,0,2,2
VIACHA,rabia,no de personas con esquema clasico completo,2024-05-01,4,6,4,6,10
VILLA TUNARI,rabia,no de personas con esquema clasico completo,2024-05-01,1,0,1,0,1
WARNES,rabia,no de personas con esquema clasico completo,2024-05-01,9,3,9,3,12
YACUIBA,rabia,no de personas con esquema clasico completo,2024-05-01,2,0,2,0,2
ACHACACHI,rabia,no de personas con esquema clasico completo,2024-06-01,0,1,0,1,1
ACHOCALLA,rabia,no de personas con esquema clasico completo,2024-06-01,3,0,3,0,3
APOLO,rabia,no de personas con esquema clasico completo,2024-06-01,0,1,0,1,1
CAMARGO,rabia,no de personas con esquema clasico completo,2024-06-01,1,2,1,2,3
CARAPARI,rabia,no de personas con esquema clasico completo,2024-06-01,1,0,1,0,1
CHALLAPATA,rabia,no de personas con esquema clasico completo,2024-06-01,0,1,0,1,1
CHARAGUA,rabia,no de personas con esquema clasico completo,2024-06-01,1,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,rabia,no de personas con esquema clasico completo,2024-06-01,0,1,0,1,1
COBIJA,rabia,no de personas con esquema clasico completo,2024-06-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2024-06-01,10,10,10,10,20
CONCEPCION,rabia,no de personas con esquema clasico completo,2024-06-01,0,1,0,1,1
COPACABANA,rabia,no de personas con esquema clasico completo,2024-06-01,0,1,0,1,1
CORO CORO,rabia,no de personas con esquema clasico completo,2024-06-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema clasico completo,2024-06-01,2,1,2,1,3
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2024-06-01,1,0,1,0,1
EL ALTO,rabia,no de personas con esquema clasico completo,2024-06-01,38,33,38,33,71
EL CHORO,rabia,no de personas con esquema clasico completo,2024-06-01,0,1,0,1,1
EL TORNO,rabia,no de personas con esquema clasico completo,2024-06-01,1,5,1,5,6
ENTRE RIOS CBBA,rabia,no de personas con esquema clasico completo,2024-06-01,0,1,0,1,1
GUAQUI,rabia,no de personas con esquema clasico completo,2024-06-01,0,1,0,1,1
HUANUNI,rabia,no de personas con esquema clasico completo,2024-06-01,1,0,1,0,1
HUATAJATA,rabia,no de personas con esquema clasico completo,2024-06-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2024-06-01,7,2,7,2,9
LA PAZ,rabia,no de personas con esquema clasico completo,2024-06-01,37,34,37,34,71
LURIBAY,rabia,no de personas con esquema clasico completo,2024-06-01,0,1,0,1,1
MAPIRI,rabia,no de personas con esquema clasico completo,2024-06-01,0,1,0,1,1
MOCOMOCO,rabia,no de personas con esquema clasico completo,2024-06-01,0,1,0,1,1
ORURO,rabia,no de personas con esquema clasico completo,2024-06-01,11,14,11,14,25
PAILON,rabia,no de personas con esquema clasico completo,2024-06-01,0,1,0,1,1
PALCA,rabia,no de personas con esquema clasico completo,2024-06-01,0,1,0,1,1
PALOS BLANCOS,rabia,no de personas con esquema clasico completo,2024-06-01,0,1,0,1,1
PORONGO,rabia,no de personas con esquema clasico completo,2024-06-01,1,0,1,0,1
PORTACHUELO,rabia,no de personas con esquema clasico completo,2024-06-01,0,1,0,1,1
PUCARANI,rabia,no de personas con esquema clasico completo,2024-06-01,0,1,0,1,1
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2024-06-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2024-06-01,3,2,3,2,5
RURRENABAQUE,rabia,no de personas con esquema clasico completo,2024-06-01,2,2,2,2,4
SACABA,rabia,no de personas con esquema clasico completo,2024-06-01,1,0,1,0,1
SAN ANDRES,rabia,no de personas con esquema clasico completo,2024-06-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2024-06-01,3,0,3,0,3
SAN JULIAN,rabia,no de personas con esquema clasico completo,2024-06-01,0,1,0,1,1
SAN PEDRO DE TIQUINA,rabia,no de personas con esquema clasico completo,2024-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2024-06-01,48,52,48,52,100
SOPACHUY,rabia,no de personas con esquema clasico completo,2024-06-01,1,2,1,2,3
SUCRE,rabia,no de personas con esquema clasico completo,2024-06-01,15,13,15,13,28
TARIJA,rabia,no de personas con esquema clasico completo,2024-06-01,6,9,6,9,15
TIRAQUE (CBBA),rabia,no de personas con esquema clasico completo,2024-06-01,0,1,0,1,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2024-06-01,4,7,4,7,11
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2024-06-01,1,0,1,0,1
VIACHA,rabia,no de personas con esquema clasico completo,2024-06-01,4,9,4,9,13
VILLA CHARCAS,rabia,no de personas con esquema clasico completo,2024-06-01,1,0,1,0,1
VILLA TUNARI,rabia,no de personas con esquema clasico completo,2024-06-01,1,0,1,0,1
VINTO,rabia,no de personas con esquema clasico completo,2024-06-01,1,2,1,2,3
WARNES,rabia,no de personas con esquema clasico completo,2024-06-01,3,2,3,2,5
YACUIBA,rabia,no de personas con esquema clasico completo,2024-06-01,2,1,2,1,3
ACHOCALLA,rabia,no de personas con esquema clasico completo,2024-07-01,0,1,0,1,1
ANTEQUERA,rabia,no de personas con esquema clasico completo,2024-07-01,0,1,0,1,1
ATOCHA,rabia,no de personas con esquema clasico completo,2024-07-01,0,1,0,1,1
BATALLAS,rabia,no de personas con esquema clasico completo,2024-07-01,0,1,0,1,1
CAJUATA,rabia,no de personas con esquema clasico completo,2024-07-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema clasico completo,2024-07-01,1,1,1,1,2
CARAPARI,rabia,no de personas con esquema clasico completo,2024-07-01,1,0,1,0,1
CHALLAPATA,rabia,no de personas con esquema clasico completo,2024-07-01,3,2,3,2,5
COCHABAMBA,rabia,no de personas con esquema clasico completo,2024-07-01,4,6,4,6,10
COROICO,rabia,no de personas con esquema clasico completo,2024-07-01,1,0,1,0,1
COTAGAITA,rabia,no de personas con esquema clasico completo,2024-07-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema clasico completo,2024-07-01,0,1,0,1,1
CULPINA,rabia,no de personas con esquema clasico completo,2024-07-01,0,1,0,1,1
EL ALTO,rabia,no de personas con esquema clasico completo,2024-07-01,44,32,44,32,76
EL TORNO,rabia,no de personas con esquema clasico completo,2024-07-01,0,2,0,2,2
GUAQUI,rabia,no de personas con esquema clasico completo,2024-07-01,2,0,2,0,2
HUACARETA,rabia,no de personas con esquema clasico completo,2024-07-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),rabia,no de personas con esquema clasico completo,2024-07-01,0,1,0,1,1
IXIAMAS,rabia,no de personas con esquema clasico completo,2024-07-01,1,0,1,0,1
JESUS DE MACHACA,rabia,no de personas con esquema clasico completo,2024-07-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2024-07-01,5,2,5,2,7
LA PAZ,rabia,no de personas con esquema clasico completo,2024-07-01,52,61,52,61,113
