municipality,group,variable,month,Nacidos muertos,TOTAL
AIQUILE,atencion de partos en servicios,nacidos muertos,2013-01-01,2,2
ANCORAIMES,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
BATALLAS,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
CAQUIAVIRI,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos,2013-01-01,4,4
CHALLAPATA,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2013-01-01,14,14
COLOMI,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
CULPINA,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2013-01-01,27,27
EL TORNO,atencion de partos en servicios,nacidos muertos,2013-01-01,2,2
ESCOMA,atencion de partos en servicios,nacidos muertos,2013-01-01,2,2
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos,2013-01-01,2,2
HUANUNI,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2013-01-01,27,27
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2013-01-01,4,4
MAPIRI,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos,2013-01-01,2,2
ORURO,atencion de partos en servicios,nacidos muertos,2013-01-01,14,14
PADILLA,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
PALOS BLANCOS,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos,2013-01-01,8,8
PUERTO QUIJARRO,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
PUERTO RICO,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
PUERTO SUAREZ,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
PUNA,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
QUILLACOLLO,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
QUIME,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos,2013-01-01,5,5
SACABA,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
SAN ANDRES,atencion de partos en servicios,nacidos muertos,2013-01-01,2,2
SAN BORJA,atencion de partos en servicios,nacidos muertos,2013-01-01,4,4
SAN CARLOS,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
SAN IGNACIO,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos,2013-01-01,4,4
SAN JAVIER(STC),atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos,2013-01-01,3,3
SAN JULIAN,atencion de partos en servicios,nacidos muertos,2013-01-01,3,3
SAN LUCAS,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2013-01-01,31,31
SUCRE,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos,2013-01-01,6,6
TOTORA(CBBA),atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos,2013-01-01,2,2
UYUNI,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
VILLA CHARCAS,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2013-01-01,8,8
VILLAZON,atencion de partos en servicios,nacidos muertos,2013-01-01,2,2
YACUIBA,atencion de partos en servicios,nacidos muertos,2013-01-01,3,3
YAPACANI,atencion de partos en servicios,nacidos muertos,2013-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
BETANZOS,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos muertos,2013-02-01,3,3
CHARAGUA,atencion de partos en servicios,nacidos muertos,2013-02-01,2,2
COBIJA,atencion de partos en servicios,nacidos muertos,2013-02-01,2,2
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2013-02-01,23,23
COMARAPA,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
CORO CORO,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
COROICO,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2013-02-01,25,25
EL TORNO,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
GUAQUI,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
ICLA,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
LA ASUNTA,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2013-02-01,17,17
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2013-02-01,3,3
MAGDALENA,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
MIZQUE,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos muertos,2013-02-01,2,2
MONTERO,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
OCURI,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos,2013-02-01,8,8
POCONA,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos,2013-02-01,8,8
PUERTO SUAREZ,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2013-02-01,2,2
QUILLACOLLO,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
RAVELO,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
REYES,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos,2013-02-01,4,4
SACABA,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
SAN JAVIER(STC),atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
SAN RAFAEL,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
SANTA ANA,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2013-02-01,28,28
SUCRE,atencion de partos en servicios,nacidos muertos,2013-02-01,8,8
TARABUCO,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos,2013-02-01,4,4
TRINIDAD,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2013-02-01,3,3
WARNES,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
YAPACANI,atencion de partos en servicios,nacidos muertos,2013-02-01,1,1
AIQUILE,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
ANDAMARCA,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
ATOCHA,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
BETANZOS,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
BUENA VISTA,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos,2013-03-01,5,5
CHARAGUA,atencion de partos en servicios,nacidos muertos,2013-03-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos muertos,2013-03-01,5,5
COBIJA,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2013-03-01,21,21
COROICO,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2013-03-01,29,29
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos,2013-03-01,2,2
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2013-03-01,13,13
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2013-03-01,2,2
MONTERO,atencion de partos en servicios,nacidos muertos,2013-03-01,4,4
ORURO,atencion de partos en servicios,nacidos muertos,2013-03-01,18,18
PALOS BLANCOS,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
PATACAMAYA,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos,2013-03-01,3,3
PUERTO SUAREZ,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2013-03-01,4,4
PUNATA,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
QUILLACOLLO,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
REYES,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
RURRENABAQUE,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
SACABA,atencion de partos en servicios,nacidos muertos,2013-03-01,6,6
SAN ANDRES,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
SAN CARLOS,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
SAN IGNACIO,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos muertos,2013-03-01,2,2
SANTA ANA,atencion de partos en servicios,nacidos muertos,2013-03-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2013-03-01,39,39
SUCRE,atencion de partos en servicios,nacidos muertos,2013-03-01,5,5
TARABUCO,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos,2013-03-01,5,5
TRINIDAD,atencion de partos en servicios,nacidos muertos,2013-03-01,4,4
TUPIZA,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos,2013-03-01,2,2
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2013-03-01,6,6
VILLAZON,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
WARNES,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos,2013-03-01,1,1
ACHACACHI,atencion de partos en servicios,nacidos muertos,2013-04-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
AZURDUY,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
BETANZOS,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
"CAIZA ""D""",atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos,2013-04-01,2,2
CARANAVI,atencion de partos en servicios,nacidos muertos,2013-04-01,4,4
CHALLAPATA,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos muertos,2013-04-01,2,2
COBIJA,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2013-04-01,15,15
COLQUECHACA,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
CORIPATA,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
COTOCA,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2013-04-01,24,24
HUANUNI,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
ICHOCA,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
LA GUARDIA,atencion de partos en servicios,nacidos muertos,2013-04-01,2,2
LA PAZ,atencion de partos en servicios,nacidos muertos,2013-04-01,11,11
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
LORETO,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos,2013-04-01,10,10
ORURO,atencion de partos en servicios,nacidos muertos,2013-04-01,21,21
PATACAMAYA,atencion de partos en servicios,nacidos muertos,2013-04-01,2,2
PORTACHUELO,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos,2013-04-01,5,5
PUERTO QUIJARRO,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
PUERTO SUAREZ,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos,2013-04-01,3,3
RURRENABAQUE,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
SAN BUENA VENTURA,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos,2013-04-01,2,2
SANTA ANA,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2013-04-01,41,41
SUCRE,atencion de partos en servicios,nacidos muertos,2013-04-01,9,9
TARABUCO,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos,2013-04-01,7,7
TRINIDAD,atencion de partos en servicios,nacidos muertos,2013-04-01,2,2
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2013-04-01,3,3
WARNES,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos,2013-04-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos,2013-05-01,1,1
BERMEJO,atencion de partos en servicios,nacidos muertos,2013-05-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos,2013-05-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos muertos,2013-05-01,1,1
CHAYANTA,atencion de partos en servicios,nacidos muertos,2013-05-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos muertos,2013-05-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2013-05-01,25,25
COMARAPA,atencion de partos en servicios,nacidos muertos,2013-05-01,1,1
CONCEPCION,atencion de partos en servicios,nacidos muertos,2013-05-01,3,3
COTOCA,atencion de partos en servicios,nacidos muertos,2013-05-01,2,2
CULPINA,atencion de partos en servicios,nacidos muertos,2013-05-01,2,2
EL ALTO,atencion de partos en servicios,nacidos muertos,2013-05-01,26,26
EL PUENTE(TJA),atencion de partos en servicios,nacidos muertos,2013-05-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicios,nacidos muertos,2013-05-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos,2013-05-01,1,1
