municipality,group,variable,month,Cesáreas,TOTAL
ACHACACHI,atencion de partos en servicios,cesareas,2013-01-01,3,3
AIQUILE,atencion de partos en servicios,cesareas,2013-01-01,11,11
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2013-01-01,4,4
ATOCHA,atencion de partos en servicios,cesareas,2013-01-01,1,1
BAURES,atencion de partos en servicios,cesareas,2013-01-01,3,3
BERMEJO,atencion de partos en servicios,cesareas,2013-01-01,32,32
BETANZOS,atencion de partos en servicios,cesareas,2013-01-01,1,1
CAMARGO,atencion de partos en servicios,cesareas,2013-01-01,9,9
CAMIRI,atencion de partos en servicios,cesareas,2013-01-01,45,45
CARANAVI,atencion de partos en servicios,cesareas,2013-01-01,12,12
CHALLAPATA,atencion de partos en servicios,cesareas,2013-01-01,7,7
CHARAGUA,atencion de partos en servicios,cesareas,2013-01-01,8,8
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2013-01-01,6,6
CLIZA,atencion de partos en servicios,cesareas,2013-01-01,5,5
COBIJA,atencion de partos en servicios,cesareas,2013-01-01,53,53
COCHABAMBA,atencion de partos en servicios,cesareas,2013-01-01,860,860
COLCAPIRHUA,atencion de partos en servicios,cesareas,2013-01-01,5,5
COMARAPA,atencion de partos en servicios,cesareas,2013-01-01,7,7
CONCEPCION,atencion de partos en servicios,cesareas,2013-01-01,5,5
COROICO,atencion de partos en servicios,cesareas,2013-01-01,2,2
COTOCA,atencion de partos en servicios,cesareas,2013-01-01,2,2
EL ALTO,atencion de partos en servicios,cesareas,2013-01-01,278,278
EL TORNO,atencion de partos en servicios,cesareas,2013-01-01,22,22
ENTRE RIOS TRJ,atencion de partos en servicios,cesareas,2013-01-01,8,8
GUANAY,atencion de partos en servicios,cesareas,2013-01-01,1,1
GUAYARAMERIN,atencion de partos en servicios,cesareas,2013-01-01,43,43
HUANUNI,atencion de partos en servicios,cesareas,2013-01-01,12,12
HUARACAJE,atencion de partos en servicios,cesareas,2013-01-01,2,2
LA PAZ,atencion de partos en servicios,cesareas,2013-01-01,745,745
LLALLAGUA,atencion de partos en servicios,cesareas,2013-01-01,11,11
MAGDALENA,atencion de partos en servicios,cesareas,2013-01-01,10,10
MAIRANA,atencion de partos en servicios,cesareas,2013-01-01,7,7
MONTEAGUDO,atencion de partos en servicios,cesareas,2013-01-01,22,22
MONTERO,atencion de partos en servicios,cesareas,2013-01-01,100,100
ORURO,atencion de partos en servicios,cesareas,2013-01-01,284,284
PADILLA,atencion de partos en servicios,cesareas,2013-01-01,9,9
PAILON,atencion de partos en servicios,cesareas,2013-01-01,9,9
PORTACHUELO,atencion de partos en servicios,cesareas,2013-01-01,21,21
POTOSI,atencion de partos en servicios,cesareas,2013-01-01,120,120
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2013-01-01,1,1
PUERTO SUAREZ,atencion de partos en servicios,cesareas,2013-01-01,20,20
PUERTO VILLARROEL,atencion de partos en servicios,cesareas,2013-01-01,46,46
PUNATA,atencion de partos en servicios,cesareas,2013-01-01,21,21
QUILLACOLLO,atencion de partos en servicios,cesareas,2013-01-01,42,42
REYES,atencion de partos en servicios,cesareas,2013-01-01,5,5
RIBERALTA,atencion de partos en servicios,cesareas,2013-01-01,90,90
ROBORE,atencion de partos en servicios,cesareas,2013-01-01,2,2
RURRENABAQUE,atencion de partos en servicios,cesareas,2013-01-01,15,15
SACABA,atencion de partos en servicios,cesareas,2013-01-01,40,40
SAMAIPATA,atencion de partos en servicios,cesareas,2013-01-01,3,3
SAN BORJA,atencion de partos en servicios,cesareas,2013-01-01,27,27
SAN BUENA VENTURA,atencion de partos en servicios,cesareas,2013-01-01,4,4
SAN CARLOS,atencion de partos en servicios,cesareas,2013-01-01,6,6
SAN IGNACIO,atencion de partos en servicios,cesareas,2013-01-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en servicios,cesareas,2013-01-01,47,47
SAN JAVIER(STC),atencion de partos en servicios,cesareas,2013-01-01,6,6
SAN JOAQUIN,atencion de partos en servicios,cesareas,2013-01-01,7,7
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,cesareas,2013-01-01,19,19
SAN JUAN DE YAPACANI,atencion de partos en servicios,cesareas,2013-01-01,1,1
SAN JULIAN,atencion de partos en servicios,cesareas,2013-01-01,16,16
SAN MATIAS,atencion de partos en servicios,cesareas,2013-01-01,8,8
SAN RAMON BENI,atencion de partos en servicios,cesareas,2013-01-01,4,4
SANTA ANA,atencion de partos en servicios,cesareas,2013-01-01,17,17
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,cesareas,2013-01-01,2137,2137
SANTA ROSA,atencion de partos en servicios,cesareas,2013-01-01,1,1
