municipality,group,variable,month,Nacidos vivos,TOTAL
ACACIO,atencion de partos en servicios,nacidos vivos,2013-01-01,7,7
ACHACACHI,atencion de partos en servicios,nacidos vivos,2013-01-01,35,35
ACHOCALLA,atencion de partos en servicios,nacidos vivos,2013-01-01,7,7
AIQUILE,atencion de partos en servicios,nacidos vivos,2013-01-01,45,45
ALALAY,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
ALCALA,atencion de partos en servicios,nacidos vivos,2013-01-01,8,8
ALTO BENI,atencion de partos en servicios,nacidos vivos,2013-01-01,16,16
ANCORAIMES,atencion de partos en servicios,nacidos vivos,2013-01-01,4,4
ANTEQUERA,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
ANZALDO,atencion de partos en servicios,nacidos vivos,2013-01-01,3,3
APOLO,atencion de partos en servicios,nacidos vivos,2013-01-01,15,15
ARAMPAMPA,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
ARANI,atencion de partos en servicios,nacidos vivos,2013-01-01,8,8
ARBIETO,atencion de partos en servicios,nacidos vivos,2013-01-01,12,12
ARQUE,atencion de partos en servicios,nacidos vivos,2013-01-01,5,5
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos,2013-01-01,62,62
ATOCHA,atencion de partos en servicios,nacidos vivos,2013-01-01,8,8
AYATA,atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
AYO AYO,atencion de partos en servicios,nacidos vivos,2013-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos vivos,2013-01-01,15,15
BATALLAS,atencion de partos en servicios,nacidos vivos,2013-01-01,6,6
BAURES,atencion de partos en servicios,nacidos vivos,2013-01-01,10,10
BELEN DE URMIRI,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
BERMEJO,atencion de partos en servicios,nacidos vivos,2013-01-01,67,67
BETANZOS,atencion de partos en servicios,nacidos vivos,2013-01-01,30,30
BOLIVAR,atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
BOYUIBE,atencion de partos en servicios,nacidos vivos,2013-01-01,6,6
CABEZAS,atencion de partos en servicios,nacidos vivos,2013-01-01,33,33
CAIROMA,atencion de partos en servicios,nacidos vivos,2013-01-01,6,6
"CAIZA ""D""",atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
CAJUATA,atencion de partos en servicios,nacidos vivos,2013-01-01,13,13
CALAMARCA,atencion de partos en servicios,nacidos vivos,2013-01-01,8,8
CAMARGO,atencion de partos en servicios,nacidos vivos,2013-01-01,26,26
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
CAMIRI,atencion de partos en servicios,nacidos vivos,2013-01-01,76,76
CAPINOTA,atencion de partos en servicios,nacidos vivos,2013-01-01,19,19
CAQUIAVIRI,atencion de partos en servicios,nacidos vivos,2013-01-01,4,4
CARACOLLO,atencion de partos en servicios,nacidos vivos,2013-01-01,11,11
CARANAVI,atencion de partos en servicios,nacidos vivos,2013-01-01,69,69
CARANGAS,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
CARAPARI,atencion de partos en servicios,nacidos vivos,2013-01-01,19,19
CARIPUYO,atencion de partos en servicios,nacidos vivos,2013-01-01,3,3
CARMEN RIVERO TORREZ,atencion de partos en servicios,nacidos vivos,2013-01-01,4,4
CHALLAPATA,atencion de partos en servicios,nacidos vivos,2013-01-01,43,43
CHAQUI,atencion de partos en servicios,nacidos vivos,2013-01-01,8,8
CHARAGUA,atencion de partos en servicios,nacidos vivos,2013-01-01,49,49
CHAYANTA,atencion de partos en servicios,nacidos vivos,2013-01-01,10,10
CHIMORE,atencion de partos en servicios,nacidos vivos,2013-01-01,7,7
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos vivos,2013-01-01,19,19
CHUMA,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,nacidos vivos,2013-01-01,5,5
CKOCHAS,atencion de partos en servicios,nacidos vivos,2013-01-01,4,4
CLIZA,atencion de partos en servicios,nacidos vivos,2013-01-01,20,20
COBIJA,atencion de partos en servicios,nacidos vivos,2013-01-01,150,150
COCAPATA,atencion de partos en servicios,nacidos vivos,2013-01-01,6,6
