municipality,group,variable,month,Mujeres con primer control post parto,TOTAL
ACACIO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,8,8
ACHACACHI,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,49,49
ACHOCALLA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,11,11
AIQUILE,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,20,20
ALALAY,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,6,6
ALCALA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,5,5
ALTO BENI,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,20,20
ANCORAIMES,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,14,14
ANDAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,1,1
ANTEQUERA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,4,4
APOLO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,24,24
ARAMPAMPA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,9,9
ARANI,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,8,8
ARBIETO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,13,13
ARQUE,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,22,22
ASCENCION DE GUARAYOS,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,63,63
ATOCHA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,7,7
AUCAPATA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,4,4
AYATA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,9,9
AYO AYO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,27,27
AZURDUY,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,12,12
BATALLAS,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,18,18
BAURES,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,2,2
BELEN DE ANDAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,4,4
BELEN DE URMIRI,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,2,2
BERMEJO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,50,50
BETANZOS,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,42,42
BOLIVAR,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,13,13
BOYUIBE,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,1,1
CABEZAS,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,25,25
CAIROMA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,17,17
"CAIZA ""D""",atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,2,2
CAJUATA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,12,12
CALACOTO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,4,4
CALAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,14,14
CAMARGO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,30,30
CAMIRI,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,17,17
CAPINOTA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,16,16
CAQUIAVIRI,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,12,12
CARACOLLO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,17,17
CARANAVI,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,82,82
CARANGAS,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,1,1
CARAPARI,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,15,15
CARIPUYO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,11,11
CARMEN RIVERO TORREZ,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,1,1
CHALLAPATA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,55,55
CHAQUI,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,9,9
CHARAGUA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,34,34
CHARAÑA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,1,1
CHAYANTA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,27,27
CHIMORE,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,12,12
CHOQUE COTA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,12,12
CHUMA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,11,11
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,7,7
CKOCHAS,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,14,14
CLIZA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,11,11
COBIJA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,40,40
COCAPATA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,12,12
COCHABAMBA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,632,632
COLCAPIRHUA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,27,27
"COLCHA ""K""",atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,7,7
COLLANA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,1,1
COLOMI,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,27,27
COLPA BELGICA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,4,4
COLQUECHACA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,52,52
COLQUENCHA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,7,7
COLQUIRI,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,23,23
COMANCHE,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,4,4
COMARAPA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,25,25
COMBAYA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,2,2
CONCEPCION,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,10,10
COPACABANA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,4,4
CORIPATA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,6,6
CORO CORO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,4,4
COROICO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,13,13
CORQUE,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,6,6
COTAGAITA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,18,18
COTOCA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,74,74
CRUZ DE MACHACAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,1,1
CUATRO CAÑADAS,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,12,12
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,2,2
CULPINA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,23,23
CURAHUARA DE CARANGAS,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,6,6
CURVA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,4,4
DESAGUADERO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,13,13
EL ALTO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,664,664
EL CHORO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,1,1
EL PUENTE(STC),atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,13,13
EL PUENTE(TJA),atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,15,15
EL TORNO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,48,48
EL VILLAR,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,9,9
ENTRE RIOS TRJ,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,34,34
ENTRE RIOS CBBA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,12,12
ESCOMA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,5,5
EUCALIPTUS,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,6,6
EUREKA (SANTOS MERCADO),atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,1,1
EXALTACION,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,9,9
FILADELFIA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,5,5
GENERAL SAAVEDRA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,5,5
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,12,12
GUANAY,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,22,22
GUAQUI,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,11,11
GUTIERREZ,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,19,19
HUACARETA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,17,17
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,8,8
HUACHACALLA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,3,3
HUANUNI,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,28,28
HUARACAJE,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,8,8
HUARINA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,8,8
HUATAJATA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,4,4
HUAYLLAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,3,3
HUMANATA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,3,3
ICHOCA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,1,1
ICLA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,12,12
INCAHUASI,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,17,17
INGAVI (HUMAITA),atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,5,5
INQUISIVI,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,13,13
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,8,8
IXIAMAS,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,5,5
JESUS DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,12,12
LA ASUNTA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,33,33
LA GUARDIA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,62,62
LA PAZ,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,1158,1158
LAGUNILLAS,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,7,7
LAJA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,18,18
LAS CARRERAS,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,5,5
LLALLAGUA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,37,37
LLICA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,3,3
LORETO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,12,12
LURIBAY,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,3,3
MACHACAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,1,1
MACHARETI,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,5,5
MAGDALENA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,19,19
MAIRANA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,15,15
MALLA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,3,3
MAPIRI,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,15,15
MECAPACA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,1,1
MINEROS,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,12,12
MIZQUE,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,34,34
MOCOMOCO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,16,16
MOJOCOYA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,8,8
MONTEAGUDO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,11,11
MONTERO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,65,65
MORO MORO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,1,1
MOROCHATA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,10,10
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,4,4
OCURI,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,17,17
OKINAWA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,11,11
OMEREQUE,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,7,7
ORURO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,598,598
PADCAYA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,17,17
PADILLA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,23,23
PAILON,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,33,33
PALCA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,9,9
PALOS BLANCOS,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,44,44
PAMPA AULLAGAS,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,3,3
PAMPA GRANDE,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,14,14
PAPEL PAMPA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,9,9
PASORAPA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,1,1
PATACAMAYA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,1,1
PAZÑA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,6,6
PELECHUCO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,3,3
POCOATA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,28,28
POCONA,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,8,8
POJO (CBBA),atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,13,13
POOPO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,4,4
PORCO,atencion de partos en servicios,mujeres con primer control post parto,2013-01-01,11,11
