,group,variable,month,FALLECIDOS ANTES DE LAS 48 HORAS CANTIDAD,FALLECIDOS ANTES DE LAS 48 HORAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 horas,2011-01-01,1,0,1,0,1
ATOCHA,internaciones,fallecidos antes de las 48 horas,2011-01-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos antes de las 48 horas,2011-01-01,0,2,0,2,2
CAMIRI,internaciones,fallecidos antes de las 48 horas,2011-01-01,3,4,3,4,7
CARANAVI,internaciones,fallecidos antes de las 48 horas,2011-01-01,0,2,0,2,2
CHALLAPATA,internaciones,fallecidos antes de las 48 horas,2011-01-01,1,0,1,0,1
CHARAGUA,internaciones,fallecidos antes de las 48 horas,2011-01-01,1,3,1,3,4
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 horas,2011-01-01,1,0,1,0,1
COBIJA,internaciones,fallecidos antes de las 48 horas,2011-01-01,0,2,0,2,2
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2011-01-01,27,31,27,31,58
CONCEPCION,internaciones,fallecidos antes de las 48 horas,2011-01-01,1,1,1,1,2
COROICO,internaciones,fallecidos antes de las 48 horas,2011-01-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2011-01-01,16,5,16,5,21
ESCOMA,internaciones,fallecidos antes de las 48 horas,2011-01-01,0,1,0,1,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2011-01-01,1,3,1,3,4
LA ASUNTA,internaciones,fallecidos antes de las 48 horas,2011-01-01,0,1,0,1,1
LA PAZ,internaciones,fallecidos antes de las 48 horas,2011-01-01,17,17,17,17,34
MAIRANA,internaciones,fallecidos antes de las 48 horas,2011-01-01,0,1,0,1,1
MONTERO,internaciones,fallecidos antes de las 48 horas,2011-01-01,2,0,2,0,2
ORURO,internaciones,fallecidos antes de las 48 horas,2011-01-01,12,13,12,13,25
PADILLA,internaciones,fallecidos antes de las 48 horas,2011-01-01,2,0,2,0,2
POTOSI,internaciones,fallecidos antes de las 48 horas,2011-01-01,4,5,4,5,9
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2011-01-01,1,1,1,1,2
PUNATA,internaciones,fallecidos antes de las 48 horas,2011-01-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2011-01-01,14,5,14,5,19
ROBORE,internaciones,fallecidos antes de las 48 horas,2011-01-01,1,1,1,1,2
RURRENABAQUE,internaciones,fallecidos antes de las 48 horas,2011-01-01,2,0,2,0,2
SAN BUENA VENTURA,internaciones,fallecidos antes de las 48 horas,2011-01-01,2,0,2,0,2
SAN CARLOS,internaciones,fallecidos antes de las 48 horas,2011-01-01,0,1,0,1,1
SAN IGNACIO,internaciones,fallecidos antes de las 48 horas,2011-01-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2011-01-01,1,0,1,0,1
SAN JULIAN,internaciones,fallecidos antes de las 48 horas,2011-01-01,1,0,1,0,1
SAN PEDRO,internaciones,fallecidos antes de las 48 horas,2011-01-01,1,0,1,0,1
SANTA ANA,internaciones,fallecidos antes de las 48 horas,2011-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2011-01-01,41,28,41,28,69
SHINAOTA,internaciones,fallecidos antes de las 48 horas,2011-01-01,0,1,0,1,1
SOPACHUY,internaciones,fallecidos antes de las 48 horas,2011-01-01,0,1,0,1,1
SUCRE,internaciones,fallecidos antes de las 48 horas,2011-01-01,10,20,10,20,30
TARIJA,internaciones,fallecidos antes de las 48 horas,2011-01-01,10,10,10,10,20
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2011-01-01,12,8,12,8,20
TUPIZA,internaciones,fallecidos antes de las 48 horas,2011-01-01,5,2,5,2,7
VALLEGRANDE,internaciones,fallecidos antes de las 48 horas,2011-01-01,1,0,1,0,1
VILLA MONTES,internaciones,fallecidos antes de las 48 horas,2011-01-01,1,1,1,1,2
