,group,variable,month,FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
CHARAGUA,internaciones,fallecidos a partir de las 48 horas,2011-02-01,1,0,1,0,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2011-02-01,1,2,1,2,3
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2011-02-01,35,43,35,43,78
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2011-02-01,4,4,4,4,8
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2011-02-01,4,1,4,1,5
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2011-02-01,4,1,4,1,5
GUTIERREZ,internaciones,fallecidos a partir de las 48 horas,2011-02-01,0,1,0,1,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2011-02-01,45,54,45,54,99
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2011-02-01,0,1,0,1,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2011-02-01,1,2,1,2,3
ORURO,internaciones,fallecidos a partir de las 48 horas,2011-02-01,18,9,18,9,27
PAILON,internaciones,fallecidos a partir de las 48 horas,2011-02-01,1,0,1,0,1
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2011-02-01,1,0,1,0,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2011-02-01,21,10,21,10,31
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 horas,2011-02-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2011-02-01,2,5,2,5,7
ROBORE,internaciones,fallecidos a partir de las 48 horas,2011-02-01,0,1,0,1,1
RURRENABAQUE,internaciones,fallecidos a partir de las 48 horas,2011-02-01,0,1,0,1,1
SACABA,internaciones,fallecidos a partir de las 48 horas,2011-02-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2011-02-01,0,1,0,1,1
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2011-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2011-02-01,87,61,87,61,148
SANTUARIO DE QUILLACAS,internaciones,fallecidos a partir de las 48 horas,2011-02-01,0,1,0,1,1
SORATA,internaciones,fallecidos a partir de las 48 horas,2011-02-01,0,1,0,1,1
SUCRE,internaciones,fallecidos a partir de las 48 horas,2011-02-01,17,12,17,12,29
TARIJA,internaciones,fallecidos a partir de las 48 horas,2011-02-01,16,24,16,24,40
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2011-02-01,9,4,9,4,13
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2011-02-01,0,2,0,2,2
UYUNI,internaciones,fallecidos a partir de las 48 horas,2011-02-01,1,0,1,0,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2011-02-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2011-02-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2011-03-01,0,1,0,1,1
BOYUIBE,internaciones,fallecidos a partir de las 48 horas,2011-03-01,0,1,0,1,1
CABEZAS,internaciones,fallecidos a partir de las 48 horas,2011-03-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2011-03-01,0,3,0,3,3
CHARAGUA,internaciones,fallecidos a partir de las 48 horas,2011-03-01,1,1,1,1,2
COBIJA,internaciones,fallecidos a partir de las 48 horas,2011-03-01,1,2,1,2,3
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2011-03-01,36,46,36,46,82
COROICO,internaciones,fallecidos a partir de las 48 horas,2011-03-01,1,0,1,0,1
COTAGAITA,internaciones,fallecidos a partir de las 48 horas,2011-03-01,1,0,1,0,1
CULPINA,internaciones,fallecidos a partir de las 48 horas,2011-03-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2011-03-01,4,6,4,6,10
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2011-03-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2011-03-01,0,1,0,1,1
JESUS DE MACHACA,internaciones,fallecidos a partir de las 48 horas,2011-03-01,1,0,1,0,1
LA ASUNTA,internaciones,fallecidos a partir de las 48 horas,2011-03-01,0,2,0,2,2
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2011-03-01,57,53,57,53,110
MONTERO,internaciones,fallecidos a partir de las 48 horas,2011-03-01,1,1,1,1,2
ORURO,internaciones,fallecidos a partir de las 48 horas,2011-03-01,19,11,19,11,30
PALOS BLANCOS,internaciones,fallecidos a partir de las 48 horas,2011-03-01,2,0,2,0,2
POTOSI,internaciones,fallecidos a partir de las 48 horas,2011-03-01,14,9,14,9,23
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 horas,2011-03-01,1,1,1,1,2
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2011-03-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2011-03-01,7,2,7,2,9
ROBORE,internaciones,fallecidos a partir de las 48 horas,2011-03-01,1,1,1,1,2
SACABA,internaciones,fallecidos a partir de las 48 horas,2011-03-01,1,0,1,0,1
SAMAIPATA,internaciones,fallecidos a partir de las 48 horas,2011-03-01,1,0,1,0,1
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2011-03-01,2,0,2,0,2
SAN CARLOS,internaciones,fallecidos a partir de las 48 horas,2011-03-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2011-03-01,0,1,0,1,1
