,group,variable,month,INGRESOS ESPONTÁNEOS CANTIDAD,INGRESOS ESPONTÁNEOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,internaciones,ingresos espontaneos,2011-01-01,0,1,0,1,1
ACHACACHI,internaciones,ingresos espontaneos,2011-01-01,13,51,13,51,64
ACHOCALLA,internaciones,ingresos espontaneos,2011-01-01,0,11,0,11,11
AIQUILE,internaciones,ingresos espontaneos,2011-01-01,31,62,31,62,93
ALCALA,internaciones,ingresos espontaneos,2011-01-01,0,7,0,7,7
ALTO BENI,internaciones,ingresos espontaneos,2011-01-01,0,6,0,6,6
ANCORAIMES,internaciones,ingresos espontaneos,2011-01-01,1,8,1,8,9
ANZALDO,internaciones,ingresos espontaneos,2011-01-01,2,3,2,3,5
APOLO,internaciones,ingresos espontaneos,2011-01-01,2,18,2,18,20
ARANI,internaciones,ingresos espontaneos,2011-01-01,0,3,0,3,3
ARBIETO,internaciones,ingresos espontaneos,2011-01-01,0,4,0,4,4
ARQUE,internaciones,ingresos espontaneos,2011-01-01,1,1,1,1,2
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2011-01-01,55,142,55,142,197
ATOCHA,internaciones,ingresos espontaneos,2011-01-01,31,50,31,50,81
AYATA,internaciones,ingresos espontaneos,2011-01-01,1,5,1,5,6
AYO AYO,internaciones,ingresos espontaneos,2011-01-01,0,5,0,5,5
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2011-01-01,7,29,7,29,36
AZURDUY,internaciones,ingresos espontaneos,2011-01-01,4,10,4,10,14
BATALLAS,internaciones,ingresos espontaneos,2011-01-01,3,6,3,6,9
BAURES,internaciones,ingresos espontaneos,2011-01-01,5,15,5,15,20
BELEN DE ANDAMARCA,internaciones,ingresos espontaneos,2011-01-01,1,1,1,1,2
BERMEJO,internaciones,ingresos espontaneos,2011-01-01,76,169,76,169,245
BETANZOS,internaciones,ingresos espontaneos,2011-01-01,7,34,7,34,41
BOLIVAR,internaciones,ingresos espontaneos,2011-01-01,0,1,0,1,1
BOYUIBE,internaciones,ingresos espontaneos,2011-01-01,11,29,11,29,40
BUENA VISTA,internaciones,ingresos espontaneos,2011-01-01,17,21,17,21,38
CABEZAS,internaciones,ingresos espontaneos,2011-01-01,8,17,8,17,25
CAIROMA,internaciones,ingresos espontaneos,2011-01-01,0,7,0,7,7
"CAIZA ""D""",internaciones,ingresos espontaneos,2011-01-01,1,4,1,4,5
CAJUATA,internaciones,ingresos espontaneos,2011-01-01,0,12,0,12,12
CALAMARCA,internaciones,ingresos espontaneos,2011-01-01,0,2,0,2,2
CAMARGO,internaciones,ingresos espontaneos,2011-01-01,57,148,57,148,205
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos espontaneos,2011-01-01,1,5,1,5,6
CAMIRI,internaciones,ingresos espontaneos,2011-01-01,85,152,85,152,237
CAPINOTA,internaciones,ingresos espontaneos,2011-01-01,10,58,10,58,68
CAQUIAVIRI,internaciones,ingresos espontaneos,2011-01-01,0,4,0,4,4
CARACOLLO,internaciones,ingresos espontaneos,2011-01-01,1,31,1,31,32
CARANAVI,internaciones,ingresos espontaneos,2011-01-01,30,152,30,152,182
CARAPARI,internaciones,ingresos espontaneos,2011-01-01,4,4,4,4,8
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2011-01-01,2,21,2,21,23
CHALLAPATA,internaciones,ingresos espontaneos,2011-01-01,19,65,19,65,84
CHAQUI,internaciones,ingresos espontaneos,2011-01-01,0,1,0,1,1
CHARAGUA,internaciones,ingresos espontaneos,2011-01-01,63,127,63,127,190
CHARAÑA,internaciones,ingresos espontaneos,2011-01-01,0,1,0,1,1
CHAYANTA,internaciones,ingresos espontaneos,2011-01-01,2,10,2,10,12
CHIMORE,internaciones,ingresos espontaneos,2011-01-01,7,26,7,26,33
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos espontaneos,2011-01-01,27,75,27,75,102
CHUMA,internaciones,ingresos espontaneos,2011-01-01,0,1,0,1,1
CKOCHAS,internaciones,ingresos espontaneos,2011-01-01,0,2,0,2,2
