,group,variable,month,RETORNADOS CANTIDAD,RETORNADOS CANTIDAD,TOTALES,TOTALES,TOTALES
TARVITA,internaciones,retornados,2011-02-01,0,1,0,1,1
TOMINA,internaciones,retornados,2011-02-01,0,1,0,1,1
VIACHA,internaciones,retornados,2011-02-01,1,1,1,1,2
VILLA MONTES,internaciones,retornados,2011-02-01,2,1,2,1,3
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,retornados,2011-02-01,1,0,1,0,1
VILLAZON,internaciones,retornados,2011-02-01,1,0,1,0,1
YACUIBA,internaciones,retornados,2011-02-01,2,3,2,3,5
ASCENCION DE GUARAYOS,internaciones,retornados,2011-03-01,1,2,1,2,3
CABEZAS,internaciones,retornados,2011-03-01,2,2,2,2,4
CAMARGO,internaciones,retornados,2011-03-01,1,3,1,3,4
COCHABAMBA,internaciones,retornados,2011-03-01,7,270,7,270,277
COTAGAITA,internaciones,retornados,2011-03-01,1,4,1,4,5
COTOCA,internaciones,retornados,2011-03-01,0,6,0,6,6
CUATRO CAÑADAS,internaciones,retornados,2011-03-01,3,7,3,7,10
EL ALTO,internaciones,retornados,2011-03-01,9,91,9,91,100
EL VILLAR,internaciones,retornados,2011-03-01,0,1,0,1,1
ESCOMA,internaciones,retornados,2011-03-01,1,0,1,0,1
FERNANDEZ ALONSO,internaciones,retornados,2011-03-01,1,0,1,0,1
FILADELFIA,internaciones,retornados,2011-03-01,0,4,0,4,4
GUAYARAMERIN,internaciones,retornados,2011-03-01,0,29,0,29,29
GUTIERREZ,internaciones,retornados,2011-03-01,1,0,1,0,1
HUACARETA,internaciones,retornados,2011-03-01,0,1,0,1,1
LA PAZ,internaciones,retornados,2011-03-01,7,4,7,4,11
MAIRANA,internaciones,retornados,2011-03-01,0,7,0,7,7
MOJOCOYA,internaciones,retornados,2011-03-01,0,1,0,1,1
MONTERO,internaciones,retornados,2011-03-01,0,49,0,49,49
OKINAWA,internaciones,retornados,2011-03-01,0,1,0,1,1
ORURO,internaciones,retornados,2011-03-01,3,0,3,0,3
PAILON,internaciones,retornados,2011-03-01,0,1,0,1,1
POJO (CBBA),internaciones,retornados,2011-03-01,0,1,0,1,1
POTOSI,internaciones,retornados,2011-03-01,0,15,0,15,15
PUCARA,internaciones,retornados,2011-03-01,0,1,0,1,1
RIBERALTA,internaciones,retornados,2011-03-01,47,144,47,144,191
SAMAIPATA,internaciones,retornados,2011-03-01,1,0,1,0,1
SAN BORJA,internaciones,retornados,2011-03-01,1,7,1,7,8
SAN CARLOS,internaciones,retornados,2011-03-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,internaciones,retornados,2011-03-01,3,14,3,14,17
SAN LUCAS,internaciones,retornados,2011-03-01,0,10,0,10,10
SAN PEDRO,internaciones,retornados,2011-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2011-03-01,2,2,2,2,4
SUCRE,internaciones,retornados,2011-03-01,0,21,0,21,21
TARVITA,internaciones,retornados,2011-03-01,0,1,0,1,1
TOMINA,internaciones,retornados,2011-03-01,0,3,0,3,3
VILLA MONTES,internaciones,retornados,2011-03-01,3,2,3,2,5
VILLA TUNARI,internaciones,retornados,2011-03-01,0,3,0,3,3
VILLAZON,internaciones,retornados,2011-03-01,0,1,0,1,1
YACUIBA,internaciones,retornados,2011-03-01,7,7,7,7,14
ASCENCION DE GUARAYOS,internaciones,retornados,2011-04-01,0,3,0,3,3
AYATA,internaciones,retornados,2011-04-01,0,1,0,1,1
BERMEJO,internaciones,retornados,2011-04-01,0,2,0,2,2
COBIJA,internaciones,retornados,2011-04-01,2,55,2,55,57
COCHABAMBA,internaciones,retornados,2011-04-01,7,259,7,259,266
COMARAPA,internaciones,retornados,2011-04-01,0,4,0,4,4
COTAGAITA,internaciones,retornados,2011-04-01,0,2,0,2,2
COTOCA,internaciones,retornados,2011-04-01,0,1,0,1,1
EL ALTO,internaciones,retornados,2011-04-01,13,105,13,105,118
ENTRE RIOS CBBA,internaciones,retornados,2011-04-01,1,0,1,0,1
INCAHUASI,internaciones,retornados,2011-04-01,1,1,1,1,2
LA PAZ,internaciones,retornados,2011-04-01,4,12,4,12,16
MACHARETI,internaciones,retornados,2011-04-01,2,6,2,6,8
MAIRANA,internaciones,retornados,2011-04-01,0,8,0,8,8
MONTERO,internaciones,retornados,2011-04-01,3,61,3,61,64
ORURO,internaciones,retornados,2011-04-01,3,0,3,0,3
PAILON,internaciones,retornados,2011-04-01,1,0,1,0,1
PASORAPA,internaciones,retornados,2011-04-01,0,1,0,1,1
POJO (CBBA),internaciones,retornados,2011-04-01,0,2,0,2,2
POROMA,internaciones,retornados,2011-04-01,0,3,0,3,3
RIBERALTA,internaciones,retornados,2011-04-01,16,114,16,114,130
SAMAIPATA,internaciones,retornados,2011-04-01,0,1,0,1,1
SAN BORJA,internaciones,retornados,2011-04-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,retornados,2011-04-01,4,17,4,17,21
SAN JOSE DE CHIQUITOS,internaciones,retornados,2011-04-01,0,1,0,1,1
SAN JULIAN,internaciones,retornados,2011-04-01,0,1,0,1,1
SAN LUCAS,internaciones,retornados,2011-04-01,0,13,0,13,13
SAN PEDRO,internaciones,retornados,2011-04-01,12,0,12,0,12
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2011-04-01,2,2,2,2,4
SORATA,internaciones,retornados,2011-04-01,0,5,0,5,5
SUCRE,internaciones,retornados,2011-04-01,0,8,0,8,8
TARIJA,internaciones,retornados,2011-04-01,1,0,1,0,1
TARVITA,internaciones,retornados,2011-04-01,0,1,0,1,1
TOMINA,internaciones,retornados,2011-04-01,0,1,0,1,1
VALLEGRANDE,internaciones,retornados,2011-04-01,2,12,2,12,14
VIACHA,internaciones,retornados,2011-04-01,1,2,1,2,3
VILLA MONTES,internaciones,retornados,2011-04-01,2,3,2,3,5
VILLA SERRANO,internaciones,retornados,2011-04-01,0,1,0,1,1
VILLA TUNARI,internaciones,retornados,2011-04-01,0,1,0,1,1
VILLAZON,internaciones,retornados,2011-04-01,1,0,1,0,1
YACUIBA,internaciones,retornados,2011-04-01,1,7,1,7,8
ASCENCION DE GUARAYOS,internaciones,retornados,2011-05-01,3,3,3,3,6
BERMEJO,internaciones,retornados,2011-05-01,0,1,0,1,1
CAMARGO,internaciones,retornados,2011-05-01,0,1,0,1,1
CARANAVI,internaciones,retornados,2011-05-01,0,1,0,1,1
CHIMORE,internaciones,retornados,2011-05-01,0,3,0,3,3
COBIJA,internaciones,retornados,2011-05-01,4,90,4,90,94
COCHABAMBA,internaciones,retornados,2011-05-01,5,233,5,233,238
COMARAPA,internaciones,retornados,2011-05-01,1,15,1,15,16
CONCEPCION,internaciones,retornados,2011-05-01,0,1,0,1,1
COTOCA,internaciones,retornados,2011-05-01,1,2,1,2,3
EL ALTO,internaciones,retornados,2011-05-01,5,61,5,61,66
ESCOMA,internaciones,retornados,2011-05-01,1,0,1,0,1
HUACAYA (VILLA DE HUACAYA),internaciones,retornados,2011-05-01,0,1,0,1,1
HUANUNI,internaciones,retornados,2011-05-01,2,1,2,1,3
LA PAZ,internaciones,retornados,2011-05-01,6,23,6,23,29
MAIRANA,internaciones,retornados,2011-05-01,0,5,0,5,5
MIZQUE,internaciones,retornados,2011-05-01,0,2,0,2,2
MONTERO,internaciones,retornados,2011-05-01,1,34,1,34,35
ORURO,internaciones,retornados,2011-05-01,5,0,5,0,5
PASORAPA,internaciones,retornados,2011-05-01,0,2,0,2,2
POCONA,internaciones,retornados,2011-05-01,0,1,0,1,1
POJO (CBBA),internaciones,retornados,2011-05-01,0,13,0,13,13
PUERTO SUAREZ,internaciones,retornados,2011-05-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,internaciones,retornados,2011-05-01,0,1,0,1,1
SAN BORJA,internaciones,retornados,2011-05-01,6,5,6,5,11
SAN IGNACIO DE VELASCO,internaciones,retornados,2011-05-01,1,29,1,29,30
SAN JUAN DE YAPACANI,internaciones,retornados,2011-05-01,1,0,1,0,1
SAN JULIAN,internaciones,retornados,2011-05-01,39,126,39,126,165
SAN MIGUEL DE VELASCO,internaciones,retornados,2011-05-01,0,1,0,1,1
SAN PEDRO,internaciones,retornados,2011-05-01,1,2,1,2,3
SANTA ANA,internaciones,retornados,2011-05-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2011-05-01,3,2,3,2,5
SUCRE,internaciones,retornados,2011-05-01,1,19,1,19,20
TARIJA,internaciones,retornados,2011-05-01,145,277,145,277,422
TARVITA,internaciones,retornados,2011-05-01,0,1,0,1,1
VIACHA,internaciones,retornados,2011-05-01,2,2,2,2,4
VILLA MONTES,internaciones,retornados,2011-05-01,2,1,2,1,3
VILLA TUNARI,internaciones,retornados,2011-05-01,1,1,1,1,2
VILLAZON,internaciones,retornados,2011-05-01,1,1,1,1,2
WARNES,internaciones,retornados,2011-05-01,0,1,0,1,1
YACUIBA,internaciones,retornados,2011-05-01,4,6,4,6,10
ASCENCION DE GUARAYOS,internaciones,retornados,2011-06-01,2,1,2,1,3
ATOCHA,internaciones,retornados,2011-06-01,0,1,0,1,1
CAMATAQUI (C. VILLA ABECIA),internaciones,retornados,2011-06-01,0,1,0,1,1
CHIMORE,internaciones,retornados,2011-06-01,0,3,0,3,3
COBIJA,internaciones,retornados,2011-06-01,7,66,7,66,73
COCHABAMBA,internaciones,retornados,2011-06-01,7,230,7,230,237
CONCEPCION,internaciones,retornados,2011-06-01,0,1,0,1,1
COTAGAITA,internaciones,retornados,2011-06-01,0,1,0,1,1
COTOCA,internaciones,retornados,2011-06-01,1,0,1,0,1
EL ALTO,internaciones,retornados,2011-06-01,11,72,11,72,83
EL TORNO,internaciones,retornados,2011-06-01,0,1,0,1,1
ESCOMA,internaciones,retornados,2011-06-01,1,0,1,0,1
FERNANDEZ ALONSO,internaciones,retornados,2011-06-01,1,1,1,1,2
LA PAZ,internaciones,retornados,2011-06-01,3,16,3,16,19
MACHARETI,internaciones,retornados,2011-06-01,2,32,2,32,34
MONTEAGUDO,internaciones,retornados,2011-06-01,0,1,0,1,1
MONTERO,internaciones,retornados,2011-06-01,0,1,0,1,1
ORURO,internaciones,retornados,2011-06-01,3,1,3,1,4
POCONA,internaciones,retornados,2011-06-01,0,1,0,1,1
POJO (CBBA),internaciones,retornados,2011-06-01,0,3,0,3,3
POROMA,internaciones,retornados,2011-06-01,0,5,0,5,5
PUERTO GONZALO MORENO,internaciones,retornados,2011-06-01,0,1,0,1,1
PUERTO VILLARROEL,internaciones,retornados,2011-06-01,0,2,0,2,2
RIBERALTA,internaciones,retornados,2011-06-01,1,48,1,48,49
SAN BORJA,internaciones,retornados,2011-06-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,retornados,2011-06-01,0,3,0,3,3
SAN JULIAN,internaciones,retornados,2011-06-01,0,1,0,1,1
SAN LUCAS,internaciones,retornados,2011-06-01,0,9,0,9,9
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2011-06-01,1,9,1,9,10
SORATA,internaciones,retornados,2011-06-01,0,1,0,1,1
SUCRE,internaciones,retornados,2011-06-01,0,18,0,18,18
TARIJA,internaciones,retornados,2011-06-01,0,1,0,1,1
VALLEGRANDE,internaciones,retornados,2011-06-01,0,5,0,5,5
VILLA MONTES,internaciones,retornados,2011-06-01,2,1,2,1,3
VILLA TUNARI,internaciones,retornados,2011-06-01,1,0,1,0,1
VINTO,internaciones,retornados,2011-06-01,1,0,1,0,1
YACUIBA,internaciones,retornados,2011-06-01,2,7,2,7,9
ASCENCION DE GUARAYOS,internaciones,retornados,2011-07-01,0,1,0,1,1
CAMARGO,internaciones,retornados,2011-07-01,2,4,2,4,6
CHUMA,internaciones,retornados,2011-07-01,0,3,0,3,3
COBIJA,internaciones,retornados,2011-07-01,14,74,14,74,88
COCHABAMBA,internaciones,retornados,2011-07-01,7,239,7,239,246
COLQUECHACA,internaciones,retornados,2011-07-01,0,4,0,4,4
COMARAPA,internaciones,retornados,2011-07-01,0,5,0,5,5
CONCEPCION,internaciones,retornados,2011-07-01,0,6,0,6,6
COTOCA,internaciones,retornados,2011-07-01,1,0,1,0,1
EL ALTO,internaciones,retornados,2011-07-01,3,61,3,61,64
LA PAZ,internaciones,retornados,2011-07-01,5,3,5,3,8
MAIRANA,internaciones,retornados,2011-07-01,0,1,0,1,1
ORURO,internaciones,retornados,2011-07-01,4,2,4,2,6
QUILLACOLLO,internaciones,retornados,2011-07-01,2,0,2,0,2
RIBERALTA,internaciones,retornados,2011-07-01,23,131,23,131,154
ROBORE,internaciones,retornados,2011-07-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,internaciones,retornados,2011-07-01,5,17,5,17,22
SAN IGNACIO DE VELASCO,internaciones,retornados,2011-07-01,0,3,0,3,3
SAN LUCAS,internaciones,retornados,2011-07-01,0,2,0,2,2
SAN MIGUEL DE VELASCO,internaciones,retornados,2011-07-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2011-07-01,1,1,1,1,2
SUCRE,internaciones,retornados,2011-07-01,0,15,0,15,15
TARABUCO,internaciones,retornados,2011-07-01,0,3,0,3,3
TARVITA,internaciones,retornados,2011-07-01,1,1,1,1,2
VIACHA,internaciones,retornados,2011-07-01,2,1,2,1,3
VILLA MONTES,internaciones,retornados,2011-07-01,2,1,2,1,3
VILLA TUNARI,internaciones,retornados,2011-07-01,0,3,0,3,3
VILLAZON,internaciones,retornados,2011-07-01,0,2,0,2,2
YACUIBA,internaciones,retornados,2011-07-01,1,3,1,3,4
ASCENCION DE GUARAYOS,internaciones,retornados,2011-08-01,2,12,2,12,14
ATOCHA,internaciones,retornados,2011-08-01,1,0,1,0,1
BERMEJO,internaciones,retornados,2011-08-01,0,3,0,3,3
CAMARGO,internaciones,retornados,2011-08-01,2,4,2,4,6
CHARAGUA,internaciones,retornados,2011-08-01,1,0,1,0,1
COBIJA,internaciones,retornados,2011-08-01,4,71,4,71,75
COCHABAMBA,internaciones,retornados,2011-08-01,16,226,16,226,242
COMARAPA,internaciones,retornados,2011-08-01,0,87,0,87,87
CONCEPCION,internaciones,retornados,2011-08-01,2,7,2,7,9
EL ALTO,internaciones,retornados,2011-08-01,3,64,3,64,67
HUANUNI,internaciones,retornados,2011-08-01,0,2,0,2,2
ICLA,internaciones,retornados,2011-08-01,1,0,1,0,1
LA GUARDIA,internaciones,retornados,2011-08-01,0,1,0,1,1
LA PAZ,internaciones,retornados,2011-08-01,6,15,6,15,21
MACHARETI,internaciones,retornados,2011-08-01,1,3,1,3,4
MAIRANA,internaciones,retornados,2011-08-01,0,2,0,2,2
MOROCHATA,internaciones,retornados,2011-08-01,0,1,0,1,1
ORURO,internaciones,retornados,2011-08-01,3,0,3,0,3
PAILON,internaciones,retornados,2011-08-01,2,0,2,0,2
PAMPA GRANDE,internaciones,retornados,2011-08-01,0,1,0,1,1
POROMA,internaciones,retornados,2011-08-01,0,4,0,4,4
PRESTO,internaciones,retornados,2011-08-01,0,3,0,3,3
PUERTO SUAREZ,internaciones,retornados,2011-08-01,0,1,0,1,1
PUERTO VILLARROEL,internaciones,retornados,2011-08-01,0,3,0,3,3
QUILLACOLLO,internaciones,retornados,2011-08-01,1,1,1,1,2
SAN ANTONIO DE LOMERIO,internaciones,retornados,2011-08-01,3,12,3,12,15
SAN CARLOS,internaciones,retornados,2011-08-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,retornados,2011-08-01,3,3,3,3,6
SAN LUCAS,internaciones,retornados,2011-08-01,0,13,0,13,13
SAN MATIAS,internaciones,retornados,2011-08-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2011-08-01,0,0,0,0,0
SENA,internaciones,retornados,2011-08-01,0,2,0,2,2
SUCRE,internaciones,retornados,2011-08-01,0,23,0,23,23
TARATA,internaciones,retornados,2011-08-01,1,0,1,0,1
TARIJA,internaciones,retornados,2011-08-01,0,1,0,1,1
TARVITA,internaciones,retornados,2011-08-01,0,1,0,1,1
TIPUANI,internaciones,retornados,2011-08-01,0,1,0,1,1
TOMAVE,internaciones,retornados,2011-08-01,5,0,5,0,5
TUPIZA,internaciones,retornados,2011-08-01,1,0,1,0,1
VACAS,internaciones,retornados,2011-08-01,0,8,0,8,8
VIACHA,internaciones,retornados,2011-08-01,2,2,2,2,4
VILLA MONTES,internaciones,retornados,2011-08-01,2,2,2,2,4
VILLAZON,internaciones,retornados,2011-08-01,0,2,0,2,2
YACUIBA,internaciones,retornados,2011-08-01,3,7,3,7,10
YAMPARAEZ,internaciones,retornados,2011-08-01,0,1,0,1,1
APOLO,internaciones,retornados,2011-09-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,retornados,2011-09-01,1,4,1,4,5
CHULUMANI (V. DE LA LIBERTAD),internaciones,retornados,2011-09-01,0,1,0,1,1
COBIJA,internaciones,retornados,2011-09-01,6,58,6,58,64
COCHABAMBA,internaciones,retornados,2011-09-01,8,243,8,243,251
EL ALTO,internaciones,retornados,2011-09-01,2,106,2,106,108
ICLA,internaciones,retornados,2011-09-01,1,1,1,1,2
INCAHUASI,internaciones,retornados,2011-09-01,0,1,0,1,1
JESUS DE MACHACA,internaciones,retornados,2011-09-01,0,21,0,21,21
LA PAZ,internaciones,retornados,2011-09-01,12,14,12,14,26
MACHARETI,internaciones,retornados,2011-09-01,0,2,0,2,2
MAPIRI,internaciones,retornados,2011-09-01,0,1,0,1,1
MONTERO,internaciones,retornados,2011-09-01,2,52,2,52,54
MOROCHATA,internaciones,retornados,2011-09-01,0,1,0,1,1
OCURI,internaciones,retornados,2011-09-01,0,4,0,4,4
ORURO,internaciones,retornados,2011-09-01,2,0,2,0,2
PADCAYA,internaciones,retornados,2011-09-01,0,2,0,2,2
PASORAPA,internaciones,retornados,2011-09-01,0,1,0,1,1
POJO (CBBA),internaciones,retornados,2011-09-01,0,1,0,1,1
PUERTO GONZALO MORENO,internaciones,retornados,2011-09-01,0,1,0,1,1
PUERTO VILLARROEL,internaciones,retornados,2011-09-01,0,1,0,1,1
QUILLACOLLO,internaciones,retornados,2011-09-01,0,1,0,1,1
SAN IGNACIO,internaciones,retornados,2011-09-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,retornados,2011-09-01,6,5,6,5,11
SAN MATIAS,internaciones,retornados,2011-09-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,internaciones,retornados,2011-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2011-09-01,0,0,0,0,0
SUCRE,internaciones,retornados,2011-09-01,0,22,0,22,22
TARVITA,internaciones,retornados,2011-09-01,4,1,4,1,5
TOMINA,internaciones,retornados,2011-09-01,0,1,0,1,1
VIACHA,internaciones,retornados,2011-09-01,1,2,1,2,3
VILLA MONTES,internaciones,retornados,2011-09-01,2,2,2,2,4
VILLA TUNARI,internaciones,retornados,2011-09-01,1,6,1,6,7
VILLAZON,internaciones,retornados,2011-09-01,0,1,0,1,1
YACUIBA,internaciones,retornados,2011-09-01,1,5,1,5,6
ASCENCION DE GUARAYOS,internaciones,retornados,2011-10-01,1,1,1,1,2
CARACOLLO,internaciones,retornados,2011-10-01,0,1,0,1,1
COBIJA,internaciones,retornados,2011-10-01,7,68,7,68,75
COCHABAMBA,internaciones,retornados,2011-10-01,7,215,7,215,222
EL ALTO,internaciones,retornados,2011-10-01,7,86,7,86,93
GUANAY,internaciones,retornados,2011-10-01,1,0,1,0,1
HUACHACALLA,internaciones,retornados,2011-10-01,0,3,0,3,3
HUANUNI,internaciones,retornados,2011-10-01,0,2,0,2,2
LA PAZ,internaciones,retornados,2011-10-01,5,13,5,13,18
LAGUNILLAS,internaciones,retornados,2011-10-01,0,2,0,2,2
MONTEAGUDO,internaciones,retornados,2011-10-01,1,0,1,0,1
MONTERO,internaciones,retornados,2011-10-01,0,45,0,45,45
OCURI,internaciones,retornados,2011-10-01,0,1,0,1,1
ORURO,internaciones,retornados,2011-10-01,2,0,2,0,2
PRESTO,internaciones,retornados,2011-10-01,0,2,0,2,2
QUILLACOLLO,internaciones,retornados,2011-10-01,1,0,1,0,1
ROBORE,internaciones,retornados,2011-10-01,0,2,0,2,2
SACABAMBA,internaciones,retornados,2011-10-01,0,1,0,1,1
SAN BORJA,internaciones,retornados,2011-10-01,1,0,1,0,1
SAN BUENA VENTURA,internaciones,retornados,2011-10-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,retornados,2011-10-01,3,4,3,4,7
SAN JUAN DE YAPACANI,internaciones,retornados,2011-10-01,0,1,0,1,1
SAN JULIAN,internaciones,retornados,2011-10-01,1,3,1,3,4
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2011-10-01,0,7,0,7,7
SOPACHUY,internaciones,retornados,2011-10-01,0,1,0,1,1
SUCRE,internaciones,retornados,2011-10-01,0,14,0,14,14
TACACOMA,internaciones,retornados,2011-10-01,0,1,0,1,1
TAPACARI,internaciones,retornados,2011-10-01,0,1,0,1,1
TARVITA,internaciones,retornados,2011-10-01,1,1,1,1,2
TIPUANI,internaciones,retornados,2011-10-01,4,0,4,0,4
VIACHA,internaciones,retornados,2011-10-01,2,2,2,2,4
VILLA MONTES,internaciones,retornados,2011-10-01,1,1,1,1,2
VILLAZON,internaciones,retornados,2011-10-01,0,1,0,1,1
VINTO,internaciones,retornados,2011-10-01,1,0,1,0,1
YACUIBA,internaciones,retornados,2011-10-01,3,6,3,6,9
ATOCHA,internaciones,retornados,2011-11-01,1,0,1,0,1
BOYUIBE,internaciones,retornados,2011-11-01,1,0,1,0,1
BUENA VISTA,internaciones,retornados,2011-11-01,0,1,0,1,1
CAMIRI,internaciones,retornados,2011-11-01,0,2,0,2,2
CARANAVI,internaciones,retornados,2011-11-01,1,0,1,0,1
COBIJA,internaciones,retornados,2011-11-01,17,81,17,81,98
COCHABAMBA,internaciones,retornados,2011-11-01,3,252,3,252,255
COMARAPA,internaciones,retornados,2011-11-01,1,0,1,0,1
CONCEPCION,internaciones,retornados,2011-11-01,0,6,0,6,6
CORIPATA,internaciones,retornados,2011-11-01,0,1,0,1,1
EL ALTO,internaciones,retornados,2011-11-01,1,23,1,23,24
EL VILLAR,internaciones,retornados,2011-11-01,0,6,0,6,6
ICLA,internaciones,retornados,2011-11-01,0,3,0,3,3
LA PAZ,internaciones,retornados,2011-11-01,2,7,2,7,9
LLICA,internaciones,retornados,2011-11-01,0,2,0,2,2
MACHACAMARCA,internaciones,retornados,2011-11-01,0,1,0,1,1
MACHARETI,internaciones,retornados,2011-11-01,0,1,0,1,1
MAIRANA,internaciones,retornados,2011-11-01,0,1,0,1,1
MONTERO,internaciones,retornados,2011-11-01,0,43,0,43,43
ORURO,internaciones,retornados,2011-11-01,3,4,3,4,7
POJO (CBBA),internaciones,retornados,2011-11-01,0,1,0,1,1
PORCO,internaciones,retornados,2011-11-01,0,8,0,8,8
PORVENIR,internaciones,retornados,2011-11-01,0,1,0,1,1
PUERTO GONZALO MORENO,internaciones,retornados,2011-11-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,internaciones,retornados,2011-11-01,1,1,1,1,2
SAN BORJA,internaciones,retornados,2011-11-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,internaciones,retornados,2011-11-01,0,3,0,3,3
SAN JULIAN,internaciones,retornados,2011-11-01,1,1,1,1,2
SAN MIGUEL DE VELASCO,internaciones,retornados,2011-11-01,1,0,1,0,1
