,group,variable,month,EGRESOS CANTIDAD,EGRESOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,internaciones,egresos,2011-01-01,0,1,0,1,1
ACHACACHI,internaciones,egresos,2011-01-01,15,61,15,61,76
ACHOCALLA,internaciones,egresos,2011-01-01,0,11,0,11,11
AIQUILE,internaciones,egresos,2011-01-01,29,61,29,61,90
ALCALA,internaciones,egresos,2011-01-01,0,7,0,7,7
ALTO BENI,internaciones,egresos,2011-01-01,0,6,0,6,6
ANCORAIMES,internaciones,egresos,2011-01-01,1,4,1,4,5
ANZALDO,internaciones,egresos,2011-01-01,2,3,2,3,5
APOLO,internaciones,egresos,2011-01-01,2,18,2,18,20
ARANI,internaciones,egresos,2011-01-01,0,3,0,3,3
ARBIETO,internaciones,egresos,2011-01-01,0,4,0,4,4
ASCENCION DE GUARAYOS,internaciones,egresos,2011-01-01,46,139,46,139,185
ATOCHA,internaciones,egresos,2011-01-01,31,50,31,50,81
AYATA,internaciones,egresos,2011-01-01,1,8,1,8,9
AYO AYO,internaciones,egresos,2011-01-01,0,5,0,5,5
AYOPAYA (V. DE INDEPENDENCIA),internaciones,egresos,2011-01-01,9,31,9,31,40
AZURDUY,internaciones,egresos,2011-01-01,4,10,4,10,14
BATALLAS,internaciones,egresos,2011-01-01,3,6,3,6,9
BAURES,internaciones,egresos,2011-01-01,7,15,7,15,22
BELEN DE ANDAMARCA,internaciones,egresos,2011-01-01,1,1,1,1,2
BERMEJO,internaciones,egresos,2011-01-01,72,178,72,178,250
BETANZOS,internaciones,egresos,2011-01-01,5,33,5,33,38
BOLIVAR,internaciones,egresos,2011-01-01,0,1,0,1,1
BOYUIBE,internaciones,egresos,2011-01-01,10,24,10,24,34
BUENA VISTA,internaciones,egresos,2011-01-01,10,19,10,19,29
CABEZAS,internaciones,egresos,2011-01-01,8,17,8,17,25
CAIROMA,internaciones,egresos,2011-01-01,0,7,0,7,7
"CAIZA ""D""",internaciones,egresos,2011-01-01,1,4,1,4,5
CAJUATA,internaciones,egresos,2011-01-01,0,12,0,12,12
CALAMARCA,internaciones,egresos,2011-01-01,0,2,0,2,2
CAMARGO,internaciones,egresos,2011-01-01,40,132,40,132,172
CAMATAQUI (C. VILLA ABECIA),internaciones,egresos,2011-01-01,1,5,1,5,6
CAMIRI,internaciones,egresos,2011-01-01,173,273,173,273,446
CAPINOTA,internaciones,egresos,2011-01-01,9,61,9,61,70
CAQUIAVIRI,internaciones,egresos,2011-01-01,0,4,0,4,4
CARACOLLO,internaciones,egresos,2011-01-01,1,30,1,30,31
CARANAVI,internaciones,egresos,2011-01-01,33,174,33,174,207
CARAPARI,internaciones,egresos,2011-01-01,4,4,4,4,8
CARMEN RIVERO TORREZ,internaciones,egresos,2011-01-01,2,21,2,21,23
CHALLAPATA,internaciones,egresos,2011-01-01,19,65,19,65,84
CHAQUI,internaciones,egresos,2011-01-01,0,1,0,1,1
CHARAGUA,internaciones,egresos,2011-01-01,62,128,62,128,190
CHARAÑA,internaciones,egresos,2011-01-01,0,1,0,1,1
CHAYANTA,internaciones,egresos,2011-01-01,2,10,2,10,12
CHIMORE,internaciones,egresos,2011-01-01,7,26,7,26,33
CHULUMANI (V. DE LA LIBERTAD),internaciones,egresos,2011-01-01,25,77,25,77,102
CHUMA,internaciones,egresos,2011-01-01,0,1,0,1,1
CKOCHAS,internaciones,egresos,2011-01-01,0,2,0,2,2
CLIZA,internaciones,egresos,2011-01-01,7,29,7,29,36
COBIJA,internaciones,egresos,2011-01-01,97,297,97,297,394
COCAPATA,internaciones,egresos,2011-01-01,1,8,1,8,9
COCHABAMBA,internaciones,egresos,2011-01-01,2706,5029,2706,5029,7735
COIPASA,internaciones,egresos,2011-01-01,0,1,0,1,1
COLCAPIRHUA,internaciones,egresos,2011-01-01,60,108,60,108,168
"COLCHA ""K""",internaciones,egresos,2011-01-01,0,3,0,3,3
COLLANA,internaciones,egresos,2011-01-01,0,5,0,5,5
COLOMI,internaciones,egresos,2011-01-01,0,29,0,29,29
COLPA BELGICA,internaciones,egresos,2011-01-01,8,11,8,11,19
