department,municipality_id,municipality,year,month,population,value
La Paz,20302,Caquiaviri,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,12
Cochabamba,30801,Cliza,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,10
Pando,90101,Cobija,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,11
Cochabamba,30101,Cochabamba,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,3
La Paz,21004,Colquiri,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,0
La Paz,20304,Comanche,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,2
La Paz,20301,Coro Coro,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,1
Santa Cruz,70102,Cotoca,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,11
La Paz,20105,El Alto,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,30
Santa Cruz,70105,El Torno,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,17
Cochabamba,31206,Entre Rios Cbba,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,4
Beni,80202,Guayaramerin,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,16
Chuquisaca,10703,Incahuasi,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,1
Santa Cruz,70104,La Guardia,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,4
La Paz,20101,La Paz,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,28
Santa Cruz,70701,Lagunillas,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,3
Chuquisaca,10903,Las Carreras,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,2
Potosí,50203,Llallagua,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,1
Beni,80801,Magdalena,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,7
Santa Cruz,70903,Mairana,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,10
Oruro,40101,Oruro,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,1
La Paz,21104,Palos Blancos,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,2
Potosí,50101,Potosi,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,5
Santa Cruz,71402,Puerto Quijarro,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,2
Santa Cruz,71401,Puerto Suarez,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,5
Cochabamba,31205,Puerto Villarroel,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,8
Cochabamba,30901,Quillacollo,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,1
Santa Cruz,70904,Quirusillas,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,0
Beni,80301,Reyes,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,3
Cochabamba,31001,Sacaba,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,0
Beni,80302,San Borja,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,0
Santa Cruz,70301,San Ignacio De Velasco,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,7
Chuquisaca,10702,San Lucas,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,0
Santa Cruz,71201,San Matias,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,2
Santa Cruz,70302,San Miguel De Velasco,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,6
Santa Cruz,71005,San Pedro,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,1
Santa Cruz,70303,San Rafael,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,3
Beni,80702,San Ramon Beni,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,2
Santa Cruz,70101,Santa Cruz De La Sierra,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,132
Pando,90303,Sena,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,2
Oruro,40104,Soracachi,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,1
La Paz,20601,Sorata,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,0
Chuquisaca,10101,Sucre,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,37
Potosí,51402,Tahua,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,0
Tarija,60101,Tarija,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,56
Cochabamba,30903,Tiquipaya,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,1
Oruro,41001,Toledo,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,0
Tarija,60401,Uriondo (a. Concepcion),2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,2
Chuquisaca,10704,Villa Charcas,2011,1,DPT 5TA DOSIS CANTIDAD / DENTRO,2
