,group,variable,month,L 1711 NEUMOCÓCICA 2DA. DOSIS,L 1711 NEUMOCÓCICA 2DA. DOSIS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,l 1711       neumococica 2da. dosis,2012-01-01,0.0,0.0,0.0
SENA,vacunaciones en menores de 1 ano,l 1711       neumococica 2da. dosis,2012-08-01,5.0,0.0,5.0
SAN LORENZO(PND),vacunaciones en menores de 1 ano,l 1711       neumococica 2da. dosis,2012-11-01,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,l 1711       neumococica 2da. dosis,2012-11-01,16.0,0.0,16.0
