,group,variable,month,L 23.3 N° DE TBP BAAR (-) NUEVOS CANTIDAD,L 23.3 N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AYATA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,1,0,1
CALAMARCA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,1,0,1
CHARAGUA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,5,7,12
COCHABAMBA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,6,9,15
COLCAPIRHUA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,7,0,7
CONCEPCION,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,5,3,8
CORIPATA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,1,0,1
COROICO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,3,2,5
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,0,1,1
LA ASUNTA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,1,0,1
LA GUARDIA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,2,0,2
LA PAZ,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,22,18,40
MAPIRI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,1,0,1
ORURO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,1,1,2
POCOATA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,0,4,4
PORTACHUELO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,5,1,6
PUERTO CARABUCO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,0,1,1
SAN ANDRES DE MACHACA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,1,0,1
SAN BORJA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,5,1,6
SUCRE,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,0,2,2
TARIJA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,1,0,1
TIPUANI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,2,0,2
TRINIDAD,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-01-01,4,0,4
ACHACACHI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,1,0,1
CHALLAPATA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,1,0,1
CHARAGUA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,2,2,4
COBIJA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,2,3,5
COLCAPIRHUA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,2,1,3
CONCEPCION,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,6,3,9
EL ALTO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,4,0,4
